Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.1027 | ADP:0.1849 | ADV:0.0068 | AUX:0.0205 | CCONJ:0.0411 | DET:0.0411 | NOUN:0.3493 | NUM:0.0068 | PART:0.0205 | PRON:0.0205 | PUNCT:0.0753 | SCONJ:0.0274 | VERB:0.1027,ADJ:0.0794 | ADP:0.1053 | ADV:0.0616 | AUX:0.0405 | CCONJ:0.0551 | DET:0.0259 | NOUN:0.2528 | NUM:0.0081 | PART:0.0162 | PRON:0.0827 | PROPN:0.0130 | PUNCT:0.0940 | SCONJ:0.0373 | SYM:0.0016 | VERB:0.1264,146,617
ADJ:0.0963 | ADP:0.1560 | ADV:0.0321 | AUX:0.0275 | CCONJ:0.0459 | DET:0.0275 | NOUN:0.3165 | NUM:0.0321 | PART:0.0046 | PRON:0.0550 | PROPN:0.0092 | PUNCT:0.0826 | SCONJ:0.0183 | VERB:0.0963,ADJ:0.0443 | ADP:0.0968 | ADV:0.0844 | AUX:0.0415 | CCONJ:0.0401 | DET:0.0152 | NOUN:0.2185 | NUM:0.0055 | PART:0.0111 | PRON:0.1079 | PROPN:0.0111 | PUNCT:0.1189 | SCONJ:0.0332 | SYM:0.0014 | VERB:0.1701,218,723
ADJ:0.0471 | ADP:0.1490 | ADV:0.0627 | AUX:0.0863 | CCONJ:0.0431 | DET:0.0353 | NOUN:0.2196 | NUM:0.0078 | PART:0.0275 | PRON:0.1137 | PUNCT:0.0627 | SCONJ:0.0353 | VERB:0.1098,ADJ:0.0568 | ADP:0.1061 | ADV:0.0833 | AUX:0.0189 | CCONJ:0.0417 | DET:0.0303 | NOUN:0.2652 | NUM:0.0057 | PART:0.0152 | PRON:0.0739 | PROPN:0.0057 | PUNCT:0.0909 | SCONJ:0.0436 | VERB:0.1629,255,528
ADJ:0.1048 | ADP:0.1333 | ADV:0.0286 | AUX:0.0571 | CCONJ:0.0762 | DET:0.0476 | NOUN:0.2857 | NUM:0.0190 | PART:0.0095 | PRON:0.0571 | PUNCT:0.0667 | SCONJ:0.0381 | VERB:0.0762,ADJ:0.0816 | ADP:0.0941 | ADV:0.0753 | AUX:0.0335 | CCONJ:0.0544 | DET:0.0460 | NOUN:0.2824 | PART:0.0146 | PRON:0.0690 | PUNCT:0.0858 | SCONJ:0.0230 | VERB:0.1402,105,478
ADJ:0.0821 | ADP:0.1418 | ADV:0.0299 | AUX:0.0075 | CCONJ:0.0672 | DET:0.0672 | NOUN:0.2985 | NUM:0.0224 | PART:0.0075 | PRON:0.0522 | PUNCT:0.0896 | SCONJ:0.0224 | SYM:0.0075 | VERB:0.1045,ADJ:0.0353 | ADP:0.1076 | ADV:0.0872 | AUX:0.0241 | CCONJ:0.0519 | DET:0.0334 | NOUN:0.2857 | PART:0.0037 | PRON:0.0872 | PROPN:0.0019 | PUNCT:0.1169 | SCONJ:0.0334 | VERB:0.1317,134,539
ADJ:0.0577 | ADP:0.1250 | ADV:0.0577 | AUX:0.0577 | CCONJ:0.0192 | DET:0.0673 | NOUN:0.2115 | NUM:0.0192 | PART:0.0096 | PRON:0.1058 | PROPN:0.0673 | PUNCT:0.0865 | SCONJ:0.0096 | VERB:0.1058,ADJ:0.0412 | ADP:0.0936 | ADV:0.0624 | AUX:0.0161 | CCONJ:0.0322 | DET:0.0362 | INTJ:0.0010 | NOUN:0.1861 | NUM:0.0211 | PART:0.0221 | PRON:0.0926 | PROPN:0.0825 | PUNCT:0.1147 | SCONJ:0.0423 | VERB:0.1559,104,994
ADJ:0.1020 | ADP:0.1412 | ADV:0.0784 | AUX:0.0431 | CCONJ:0.0392 | DET:0.0784 | NOUN:0.2392 | NUM:0.0235 | PART:0.0157 | PRON:0.0627 | PROPN:0.0078 | PUNCT:0.0706 | SCONJ:0.0157 | VERB:0.0824,ADJ:0.0676 | ADP:0.1216 | ADV:0.0473 | AUX:0.0225 | CCONJ:0.0450 | DET:0.0541 | NOUN:0.2658 | NUM:0.0158 | PART:0.0068 | PRON:0.0878 | PROPN:0.0248 | PUNCT:0.0968 | SCONJ:0.0248 | VERB:0.1194,255,444
ADJ:0.1718 | ADP:0.1411 | ADV:0.0491 | AUX:0.0245 | CCONJ:0.0675 | DET:0.0613 | NOUN:0.2822 | PART:0.0123 | PRON:0.0123 | PROPN:0.0061 | PUNCT:0.0613 | SCONJ:0.0368 | VERB:0.0736,ADJ:0.0643 | ADP:0.1040 | ADV:0.0662 | AUX:0.0321 | CCONJ:0.0435 | DET:0.0454 | NOUN:0.2798 | NUM:0.0019 | PART:0.0076 | PRON:0.0643 | PROPN:0.0019 | PUNCT:0.0983 | SCONJ:0.0473 | VERB:0.1437,163,529
ADJ:0.0841 | ADP:0.1681 | ADV:0.0442 | AUX:0.0487 | CCONJ:0.0398 | DET:0.0752 | NOUN:0.2522 | NUM:0.0088 | PART:0.0354 | PRON:0.0354 | PROPN:0.0177 | PUNCT:0.0619 | SCONJ:0.0221 | VERB:0.1062,ADJ:0.0955 | ADP:0.1030 | ADV:0.0779 | AUX:0.0226 | CCONJ:0.0377 | DET:0.0302 | NOUN:0.2538 | PART:0.0075 | PRON:0.0829 | PROPN:0.0075 | PUNCT:0.0879 | SCONJ:0.0377 | VERB:0.1558,226,398
ADJ:0.0462 | ADP:0.1462 | ADV:0.0385 | AUX:0.0385 | CCONJ:0.0462 | DET:0.0385 | NOUN:0.3308 | NUM:0.0154 | PRON:0.0462 | PROPN:0.0692 | PUNCT:0.1077 | SCONJ:0.0077 | VERB:0.0692,ADJ:0.0373 | ADP:0.1009 | ADV:0.0526 | AUX:0.0088 | CCONJ:0.0482 | DET:0.0197 | NOUN:0.2434 | PART:0.0219 | PRON:0.1184 | PROPN:0.0373 | PUNCT:0.1206 | SCONJ:0.0197 | VERB:0.1711,130,456
ADJ:0.0993 | ADP:0.1348 | ADV:0.0284 | AUX:0.0355 | CCONJ:0.0284 | DET:0.0426 | NOUN:0.3050 | NUM:0.0284 | PART:0.0071 | PRON:0.0213 | PROPN:0.0071 | PUNCT:0.1206 | SCONJ:0.0142 | VERB:0.1277,ADJ:0.0874 | ADP:0.1011 | ADV:0.0920 | AUX:0.0299 | CCONJ:0.0368 | DET:0.0437 | NOUN:0.2736 | PART:0.0138 | PRON:0.0483 | PUNCT:0.0920 | SCONJ:0.0299 | VERB:0.1517,141,435
ADJ:0.0891 | ADP:0.1894 | ADV:0.0334 | AUX:0.0251 | CCONJ:0.0585 | DET:0.0474 | NOUN:0.3231 | NUM:0.0111 | PART:0.0111 | PRON:0.0446 | PROPN:0.0028 | PUNCT:0.0864 | SCONJ:0.0139 | VERB:0.0641,ADJ:0.0878 | ADP:0.0901 | ADV:0.0716 | AUX:0.0254 | CCONJ:0.0393 | DET:0.0416 | NOUN:0.2102 | PART:0.0277 | PRON:0.1016 | PUNCT:0.1039 | SCONJ:0.0300 | SPACE:0.0023 | VERB:0.1686,359,433
ADJ:0.1416 | ADP:0.1507 | ADV:0.0639 | AUX:0.0594 | CCONJ:0.0091 | DET:0.0594 | NOUN:0.2237 | NUM:0.0046 | PART:0.0183 | PRON:0.0685 | PUNCT:0.0548 | SCONJ:0.0457 | VERB:0.1005,ADJ:0.0721 | ADP:0.0930 | ADV:0.0474 | AUX:0.0455 | CCONJ:0.0474 | DET:0.0531 | NOUN:0.2486 | NUM:0.0228 | PART:0.0076 | PRON:0.0702 | PROPN:0.0095 | PUNCT:0.1025 | SCONJ:0.0380 | VERB:0.1423,219,527
ADJ:0.0885 | ADP:0.1062 | ADV:0.0442 | AUX:0.0265 | CCONJ:0.0531 | DET:0.0265 | NOUN:0.2478 | NUM:0.0442 | PART:0.0177 | PRON:0.0442 | PROPN:0.0619 | PUNCT:0.1062 | SCONJ:0.0177 | VERB:0.1150,ADJ:0.0702 | ADP:0.1214 | ADV:0.0949 | AUX:0.0436 | CCONJ:0.0607 | DET:0.0228 | NOUN:0.2505 | NUM:0.0057 | PART:0.0076 | PRON:0.0474 | PROPN:0.0455 | PUNCT:0.0854 | SCONJ:0.0228 | SYM:0.0209 | VERB:0.1006,113,527
ADJ:0.0850 | ADP:0.1525 | ADV:0.0733 | AUX:0.0381 | CCONJ:0.0733 | DET:0.0205 | NOUN:0.2669 | NUM:0.0645 | PART:0.0176 | PRON:0.0235 | PROPN:0.0029 | PUNCT:0.0850 | SCONJ:0.0147 | VERB:0.0821,ADJ:0.0850 | ADP:0.1050 | ADV:0.0875 | AUX:0.0300 | CCONJ:0.0575 | DET:0.0250 | INTJ:0.0025 | NOUN:0.2650 | NUM:0.0075 | PART:0.0100 | PRON:0.0475 | PROPN:0.0100 | PUNCT:0.1075 | SCONJ:0.0350 | VERB:0.1250,341,400
ADJ:0.0627 | ADP:0.0784 | ADV:0.0235 | AUX:0.0235 | CCONJ:0.0784 | DET:0.0353 | NOUN:0.3137 | NUM:0.1098 | PART:0.0118 | PRON:0.0078 | PROPN:0.0078 | PUNCT:0.1373 | SCONJ:0.0078 | SPACE:0.0196 | VERB:0.0824,ADJ:0.0712 | ADP:0.0894 | ADV:0.0949 | AUX:0.0292 | CCONJ:0.0401 | DET:0.0347 | NOUN:0.2646 | NUM:0.0109 | PART:0.0055 | PRON:0.0693 | PROPN:0.0073 | PUNCT:0.1077 | SCONJ:0.0456 | VERB:0.1296,255,548
ADJ:0.1008 | ADP:0.1371 | ADV:0.0605 | AUX:0.0282 | CCONJ:0.0645 | DET:0.0444 | NOUN:0.2863 | PART:0.0242 | PRON:0.0323 | PROPN:0.0081 | PUNCT:0.0847 | SCONJ:0.0161 | VERB:0.1129,ADJ:0.0840 | ADP:0.0902 | ADV:0.0574 | AUX:0.0143 | CCONJ:0.0738 | DET:0.0451 | NOUN:0.2910 | NUM:0.0020 | PART:0.0082 | PRON:0.0594 | PROPN:0.0041 | PUNCT:0.1209 | SCONJ:0.0205 | VERB:0.1291,248,488
ADJ:0.0933 | ADP:0.1306 | ADV:0.0485 | AUX:0.0224 | CCONJ:0.0373 | DET:0.0336 | NOUN:0.2873 | NUM:0.0224 | PART:0.0261 | PRON:0.0299 | PROPN:0.0373 | PUNCT:0.0784 | SCONJ:0.0187 | SPACE:0.0224 | SYM:0.0037 | VERB:0.1082,ADJ:0.0966 | ADP:0.1232 | ADV:0.0797 | AUX:0.0217 | CCONJ:0.0531 | DET:0.0386 | NOUN:0.2440 | NUM:0.0072 | PART:0.0024 | PRON:0.0700 | PROPN:0.0217 | PUNCT:0.0676 | SCONJ:0.0290 | SYM:0.0072 | VERB:0.1377,268,414
ADJ:0.0511 | ADP:0.1168 | ADV:0.0876 | AUX:0.0511 | CCONJ:0.0365 | DET:0.0657 | NOUN:0.2263 | NUM:0.0146 | PART:0.0219 | PRON:0.0584 | PROPN:0.0292 | PUNCT:0.0803 | SCONJ:0.0146 | VERB:0.1460,ADJ:0.0482 | ADP:0.1054 | ADV:0.0452 | AUX:0.0211 | CCONJ:0.0301 | DET:0.0241 | NOUN:0.2500 | NUM:0.0090 | PART:0.0030 | PRON:0.1145 | PROPN:0.0301 | PUNCT:0.1175 | SCONJ:0.0241 | VERB:0.1777,137,332
ADJ:0.0855 | ADP:0.1316 | ADV:0.0263 | AUX:0.0724 | CCONJ:0.0329 | DET:0.1118 | NOUN:0.2171 | NUM:0.0263 | PART:0.0329 | PRON:0.0789 | PUNCT:0.0526 | SCONJ:0.0263 | VERB:0.1053,ADJ:0.0705 | ADP:0.0727 | ADV:0.0886 | AUX:0.0364 | CCONJ:0.0318 | DET:0.0523 | NOUN:0.2386 | NUM:0.0091 | PART:0.0091 | PRON:0.0841 | PROPN:0.0205 | PUNCT:0.1091 | SCONJ:0.0182 | VERB:0.1591,152,440
ADJ:0.1111 | ADP:0.1111 | ADV:0.1111 | AUX:0.0463 | CCONJ:0.0185 | DET:0.0741 | NOUN:0.1944 | PART:0.0556 | PRON:0.0370 | PROPN:0.0093 | PUNCT:0.0463 | SCONJ:0.0370 | VERB:0.1481,ADJ:0.0782 | ADP:0.0970 | ADV:0.0674 | AUX:0.0377 | CCONJ:0.0323 | DET:0.0728 | NOUN:0.2722 | PART:0.0162 | PRON:0.0728 | PUNCT:0.0782 | SCONJ:0.0350 | VERB:0.1402,108,371
ADJ:0.0727 | ADP:0.2545 | ADV:0.0182 | CCONJ:0.0182 | DET:0.0364 | NOUN:0.3636 | PART:0.0182 | PRON:0.0545 | PUNCT:0.0545 | VERB:0.1091,ADJ:0.0778 | ADP:0.0972 | ADV:0.0722 | AUX:0.0306 | CCONJ:0.0250 | DET:0.0639 | NOUN:0.2528 | NUM:0.0028 | PART:0.0222 | PRON:0.0778 | PROPN:0.0167 | PUNCT:0.0972 | SCONJ:0.0139 | VERB:0.1500,55,360
ADJ:0.0642 | ADP:0.1376 | ADV:0.0183 | AUX:0.0505 | CCONJ:0.0367 | DET:0.0780 | NOUN:0.3028 | NUM:0.0138 | PART:0.0275 | PRON:0.0505 | PROPN:0.0275 | PUNCT:0.0872 | SCONJ:0.0092 | VERB:0.0963,ADJ:0.0417 | ADP:0.1250 | ADV:0.0809 | AUX:0.0319 | CCONJ:0.0515 | DET:0.0245 | NOUN:0.2549 | PART:0.0196 | PRON:0.0784 | PROPN:0.0172 | PUNCT:0.0907 | SCONJ:0.0294 | VERB:0.1544,218,408
ADJ:0.0722 | ADP:0.1500 | ADV:0.0500 | AUX:0.0556 | CCONJ:0.0444 | DET:0.0389 | NOUN:0.2889 | NUM:0.0167 | PART:0.0444 | PRON:0.0444 | PROPN:0.0111 | PUNCT:0.0556 | SCONJ:0.0111 | VERB:0.1167,ADJ:0.0469 | ADP:0.0796 | ADV:0.0796 | AUX:0.0367 | CCONJ:0.0388 | DET:0.0224 | NOUN:0.2286 | PART:0.0245 | PRON:0.1143 | PROPN:0.0020 | PUNCT:0.1041 | SCONJ:0.0469 | VERB:0.1755,180,490
ADJ:0.1407 | ADP:0.1296 | ADV:0.0444 | AUX:0.0222 | CCONJ:0.0593 | DET:0.0481 | NOUN:0.2852 | NUM:0.0037 | PART:0.0185 | PRON:0.0296 | PUNCT:0.0852 | SCONJ:0.0259 | VERB:0.1074,ADJ:0.0533 | ADP:0.1085 | ADV:0.0496 | AUX:0.0221 | CCONJ:0.0404 | DET:0.0294 | NOUN:0.2224 | PART:0.0165 | PRON:0.1434 | PROPN:0.0018 | PUNCT:0.1140 | SCONJ:0.0349 | VERB:0.1636,270,544
ADJ:0.0735 | ADP:0.1115 | ADV:0.0493 | AUX:0.0303 | CCONJ:0.0432 | DET:0.0501 | NOUN:0.2965 | NUM:0.0086 | PART:0.0216 | PRON:0.0631 | PROPN:0.0199 | PUNCT:0.1020 | SCONJ:0.0147 | SPACE:0.0052 | SYM:0.0130 | VERB:0.0977,ADJ:0.0587 | ADP:0.1043 | ADV:0.0739 | AUX:0.0304 | CCONJ:0.0304 | DET:0.0196 | NOUN:0.2739 | NUM:0.0065 | PART:0.0087 | PRON:0.0565 | PROPN:0.0283 | PUNCT:0.1478 | SCONJ:0.0196 | VERB:0.1413,1157,460
