Abstract_Entities,Generated_Abstract_Entities
,
Sverige:LOC,
,
"Svenska kyrkan:ORG,Svenska kyrkan:ORG,Kyrkans tidning:ORG,Dagens Nyheter:WRK","Svenska kyrkan:ORG,Kyrkans tidning:ORG,Dagens Nyheter:WRK,Svenska kyrkan:ORG,Dagens Nyheter:WRK,Svenska kyrkan:ORG,Svenska kyrkan:ORG"
,
"Paulus:PRS,Paulus:PRS,Paulus:PRS,Paulus:PRS,Paulus:PRS,Rom:LOC","Paulus:PRS,Rom:LOC,Romarbrevets:WRK,Paulus:PRS,Paulus:PRS,Paulus:PRS,Rom:LOC,Paulus:PRS,Guds:PRS,Paulus:PRS,Torah:PRS,Rom:LOC,Gud:PRS,Gud:PRS,Gud:PRS,Guds:PRS,E. P. Sanders:PRS,New Perspective:WRK,Sanders:PRS,James D. G. Dunns:PRS,Paulus:PRS,Rom:LOC,Guds:PRS,N. T. Wrights:PRS,Guds:PRS,Guds:PRS,Joseph:PRS,Douglas Moo:PRS,Paulus:PRS,Gud:PRS,Gud:PRS,Rom:LOC,Paulus:PRS,Jesu:PRS,Guds:PRS,Jewett:PRS,Paulus:PRS,Rom:LOC,Rom:LOC,Paulus:PRS,Guds:PRS,Gud:PRS,Gud:PRS,Kristus:PRS,Guds:PRS,Paulus:PRS,Gud:PRS"
"Mesopotamien:LOC,Naram-Sin:PRS","Mesopotamien:LOC,Mesopotamien:LOC"
Sverige:LOC,
"Sveriges:LOC,Sverige:LOC,Sveriges:LOC,Gavlegårdarna:LOC,Gävle:LOC,Gavlegårdarna:LOC,Gavlegårdarna:LOC","Nya Nordost-projektet:WRK,Gävle:LOC,Gavlegårdarna:LOC,Nya Nordost:WRK"
"Petri Tuoris:PRS,verkLondon:LOC,Skövde:LOC,London:LOC,på 1800-talet:TME,Sweeney Todd:PRS","London:LOC,London Crysis:LOC,London:LOC,London:LOC,urban:PRS,London Crysis:LOC,London:LOC,London Crysis:LOC,London:LOC,London Crysis:LOC"
,
,
,
"Frankrike:LOC,USA:LOC",
"IFN-γ:PRS,SLIT:ORG,SCIT:ORG,SLIT:LOC,SCIT:ORG,SLIT:LOC,SCIT:ORG,IFN-γ:PRS,SLIT:LOC,SCIT:ORG,SLIT:LOC,SCIT:ORG,IFN-γ:PRS,SLIT:LOC,SCIT:ORG,SLIT:LOC,SCIT:ORG","SCIT:ORG,SLIT:ORG,SCIT:ORG,SLIT:LOC,SCIT:ORG"
Sverige:LOC,Levonorgestrel:PRS
Quinoas:PRS,
"MALDI-TOF MS:ORG,MALDI-TOF MS:ORG","MALDI-TOF MS:ORG,MALDI-TOF MS:ORG"
"The English School:ORG,Älmhult:LOC,Lpfö 98:OBJ","The English School:ORG,Älmhult:LOC"
,
,
,
"Sverige:LOC,de senaste åren:TME,Migrationsverket:ORG",Migrationsverket:ORG
"Sverige:LOC,Sverige:LOC",
Livsmedelsverket:ORG,
"Västerbottens läns landsting:ORG,Thesis:PRS,FULLTEXT01.pdf:PRS,Thesis:PRS,Thesis:PRS,Social Sciences:ORG,Malmö:LOC,Foucault:PRS,Textanalys,,https://www.diva-portal.org:PRS,Thesis:PRS,Social Sciences:ORG,Social Sciences:ORG,Abrashis:PRS,Annika Sternlund:PRS,Amanda Sundberg:PRS,Helenas Valentinsons:PRS",Västerbotten:LOC
,"Sverige:LOC,Sverige:LOC,Sverige:LOC"
"Moderaterna:ORG,Sverige:LOC,Moderaterna:ORG,Moderaterna:ORG",Moderaternas:ORG
,
,
Sverige:LOC,
,
,
Halmstad:LOC,
Sverige:LOC,
"Kalmar:LOC,de senaste åren:TME,Öland:LOC,Glasriket:LOC,Kalmar:LOC","Kalmar:LOC,Öland:LOC,Glasriket:LOC,Kalmar:LOC,Kalmar:LOC,Kalmar:LOC,Kalmar:LOC,Ölands:LOC,sommarturism:TME,Glasrikets:ORG,Kalmar:LOC,Kalmar:LOC"
Under de senaste åren:TME,
,
"Mellansverige:LOC,H. maximiliani:PRS,Mellansverige:LOC,Örebro universitet:ORG,H. maximiliani:PRS,Europa:LOC,Naturvårdsverkets:ORG,H. maximiliani:PRS",
,
"Sverige:LOC,liggerCogFLUX:PRS",
,
"Skåne:LOC,Skånes:LOC,Skånes:LOC,Film:ORG,Skåne:LOC,Skånes:LOC,Skånes:LOC","Skåne:LOC,CineSkåne:LOC,Filmbar:ORG,Skåne:LOC,Skånes:LOC,Skåne:LOC,Skånes:LOC,Skånes:LOC"
"Graneheim:PRS,Lundmans:PRS",
,
