Abstract_Entity_Counts,Generated_Abstract_Entity_Counts
,
LOC:1,
,
ORG:3 | WRK:1,ORG:5 | WRK:2
,
LOC:1 | PRS:5,LOC:7 | PRS:38 | WRK:2
LOC:1 | PRS:1,LOC:2
LOC:1,
LOC:7,LOC:2 | WRK:2
LOC:3 | PRS:2 | TME:1,LOC:9 | PRS:1
,
,
,
LOC:2,
LOC:6 | ORG:8 | PRS:3,LOC:1 | ORG:4
LOC:1 | MSR:1,PRS:1
PRS:1,
ORG:2,ORG:2
LOC:1 | OBJ:1 | ORG:1,LOC:1 | ORG:1
,
,
,
LOC:1 | ORG:1 | TME:1,ORG:1
LOC:2,
ORG:1,
LOC:1 | ORG:4 | PRS:11,LOC:1
,LOC:3
LOC:1 | ORG:3,ORG:1
,
,
LOC:1,
,
,
LOC:1,
LOC:1,
LOC:4 | TME:1,LOC:10 | ORG:1 | TME:1
TME:1,
,
LOC:3 | ORG:2 | PRS:3,
,
LOC:1 | PRS:1,
,
LOC:6 | ORG:1,LOC:7 | ORG:1
PRS:2,
,
LOC:5 | ORG:1,LOC:5 | ORG:2
,
,
ORG:1,
,
,
ORG:1,ORG:2
PRS:2,
LOC:1 | PRS:1,PRS:1
,
,LOC:5 | PRS:3
LOC:1,
LOC:1 | ORG:1,LOC:11 | ORG:4 | PRS:1
ORG:5,
,
,
ORG:1,
PRS:1 | TME:1,PRS:2
ORG:1,
,
,
LOC:3 | ORG:1,LOC:7
,
,
LOC:1 | PRS:4 | TME:1,
,
,
LOC:1,
LOC:2 | ORG:3 | PRS:3,
,
,
PRS:2,PRS:8
PRS:3,
,
PRS:1,
LOC:1,
,
PRS:1,
ORG:6 | WRK:2,
LOC:1 | ORG:1 | PRS:1 | WRK:1,ORG:2
ORG:1,ORG:1
LOC:1 | PRS:1,
ORG:1,
,PRS:1
,
PRS:4,
LOC:1 | ORG:1 | PRS:4,PRS:4
WRK:1,
LOC:10 | PRS:2 | TME:1,LOC:7
LOC:2 | ORG:2,PRS:4
LOC:1 | PRS:1,LOC:1
,
,
LOC:1 | ORG:1,
ORG:2,ORG:1
,PRS:2
LOC:1 | PRS:2,
ORG:1,
PRS:2,
,
,
LOC:1,LOC:5
LOC:2 | TME:1,
ORG:1,
LOC:19 | TME:1,LOC:6 | TME:1
PRS:4,LOC:1
,
,ORG:2
LOC:1 | ORG:1 | PRS:1,
,
LOC:4,LOC:1
PRS:2,
,
,
,PRS:2
,
,
LOC:1,
ORG:2,
LOC:1 | ORG:2 | WRK:2,
,PRS:3
PRS:1,PRS:2
LOC:1,
,
ORG:1,
,
PRS:6,LOC:2 | TME:1
,
,
,
ORG:2 | PRS:2 | TME:1,PRS:2
LOC:1 | ORG:4 | PRS:3,LOC:3 | ORG:1
,
LOC:1 | PRS:1,PRS:2
,
LOC:3 | ORG:1,LOC:8 | TME:1
,
,
LOC:1 | PRS:1,
,
LOC:1 | ORG:1 | PRS:4,
LOC:10 | PRS:2 | TME:1,LOC:17
LOC:2 | ORG:2,
LOC:1 | PRS:1,LOC:1
LOC:1 | ORG:1,ORG:1
,
LOC:1 | PRS:2,
PRS:2,
,
LOC:1,LOC:4
PRS:2,
,
,
,
ORG:2,
,
LOC:1 | ORG:2 | PRS:3,
ORG:1,
,
ORG:2 | PRS:2 | TME:1,
,
,
LOC:1 | PRS:1,
,
PRS:4,
