Abstract_POS_Counts,Generated_Abstract_POS_Counts
ADJ:15 | ADP:27 | ADV:1 | AUX:3 | CCONJ:6 | DET:6 | NOUN:51 | NUM:1 | PART:3 | PRON:3 | PUNCT:11 | SCONJ:4 | VERB:15,ADJ:27 | ADP:31 | ADV:11 | AUX:13 | CCONJ:17 | DET:9 | NOUN:72 | PART:6 | PRON:8 | PUNCT:20 | SCONJ:10 | VERB:25
ADJ:21 | ADP:34 | ADV:7 | AUX:6 | CCONJ:10 | DET:6 | NOUN:69 | NUM:7 | PART:1 | PRON:12 | PROPN:2 | PUNCT:18 | SCONJ:4 | VERB:21,ADJ:38 | ADP:58 | ADV:35 | AUX:21 | CCONJ:38 | DET:16 | NOUN:139 | PART:23 | PRON:28 | PUNCT:71 | SCONJ:19 | VERB:73
ADJ:12 | ADP:38 | ADV:16 | AUX:22 | CCONJ:11 | DET:9 | NOUN:56 | NUM:2 | PART:7 | PRON:29 | PUNCT:16 | SCONJ:9 | VERB:28,ADJ:25 | ADP:35 | ADV:26 | AUX:12 | CCONJ:20 | DET:15 | NOUN:96 | PART:7 | PRON:5 | PUNCT:32 | SCONJ:13 | VERB:40
ADJ:11 | ADP:14 | ADV:3 | AUX:6 | CCONJ:8 | DET:5 | NOUN:30 | NUM:2 | PART:1 | PRON:6 | PUNCT:7 | SCONJ:4 | VERB:8,ADJ:46 | ADP:44 | ADV:26 | AUX:5 | CCONJ:29 | DET:24 | NOUN:120 | NUM:1 | PART:7 | PRON:13 | PUNCT:34 | SCONJ:9 | VERB:44
ADJ:11 | ADP:19 | ADV:4 | AUX:1 | CCONJ:9 | DET:9 | NOUN:40 | NUM:3 | PART:1 | PRON:7 | PUNCT:12 | SCONJ:3 | SYM:1 | VERB:14,ADJ:27 | ADP:35 | ADV:35 | AUX:5 | CCONJ:34 | DET:6 | NOUN:99 | PART:10 | PRON:18 | PUNCT:54 | SCONJ:12 | VERB:45
ADJ:6 | ADP:13 | ADV:6 | AUX:6 | CCONJ:2 | DET:7 | NOUN:22 | NUM:2 | PART:1 | PRON:11 | PROPN:7 | PUNCT:9 | SCONJ:1 | VERB:11,ADJ:46 | ADP:74 | ADV:61 | AUX:19 | CCONJ:43 | DET:29 | NOUN:159 | NUM:7 | PART:15 | PRON:17 | PROPN:52 | PUNCT:72 | SCONJ:25 | SYM:1 | VERB:65
ADJ:26 | ADP:36 | ADV:20 | AUX:11 | CCONJ:10 | DET:20 | NOUN:61 | NUM:6 | PART:4 | PRON:16 | PROPN:2 | PUNCT:18 | SCONJ:4 | VERB:21,ADJ:35 | ADP:31 | ADV:22 | AUX:7 | CCONJ:21 | DET:20 | NOUN:82 | NUM:2 | PART:6 | PRON:4 | PROPN:3 | PUNCT:24 | SCONJ:13 | VERB:30
ADJ:28 | ADP:23 | ADV:8 | AUX:4 | CCONJ:11 | DET:10 | NOUN:46 | PART:2 | PRON:2 | PROPN:1 | PUNCT:10 | SCONJ:6 | VERB:12,ADJ:36 | ADP:36 | ADV:22 | AUX:8 | CCONJ:28 | DET:15 | NOUN:107 | NUM:1 | PART:5 | PRON:13 | PUNCT:33 | SCONJ:14 | VERB:44
ADJ:19 | ADP:38 | ADV:10 | AUX:11 | CCONJ:9 | DET:17 | NOUN:57 | NUM:2 | PART:8 | PRON:8 | PROPN:4 | PUNCT:14 | SCONJ:5 | VERB:24,ADJ:40 | ADP:41 | ADV:24 | AUX:10 | CCONJ:21 | DET:16 | NOUN:87 | PART:6 | PRON:9 | PROPN:2 | PUNCT:28 | SCONJ:10 | VERB:34
ADJ:6 | ADP:19 | ADV:5 | AUX:5 | CCONJ:6 | DET:5 | NOUN:43 | NUM:2 | PRON:6 | PROPN:9 | PUNCT:14 | SCONJ:1 | VERB:9,ADJ:38 | ADP:39 | ADV:28 | AUX:6 | CCONJ:27 | DET:23 | NOUN:105 | NUM:1 | PART:11 | PRON:14 | PROPN:9 | PUNCT:56 | SCONJ:10 | VERB:43
ADJ:14 | ADP:19 | ADV:4 | AUX:5 | CCONJ:4 | DET:6 | NOUN:43 | NUM:4 | PART:1 | PRON:3 | PROPN:1 | PUNCT:17 | SCONJ:2 | VERB:18,ADJ:37 | ADP:40 | ADV:32 | AUX:17 | CCONJ:24 | DET:10 | NOUN:102 | NUM:1 | PART:6 | PRON:8 | PUNCT:36 | SCONJ:11 | VERB:36
ADJ:32 | ADP:68 | ADV:12 | AUX:9 | CCONJ:21 | DET:17 | NOUN:116 | NUM:4 | PART:4 | PRON:16 | PROPN:1 | PUNCT:31 | SCONJ:5 | VERB:23,ADJ:34 | ADP:43 | ADV:23 | AUX:9 | CCONJ:23 | DET:14 | NOUN:91 | NUM:2 | PART:12 | PRON:11 | PUNCT:31 | SCONJ:10 | VERB:36
