Row,POS_Diff_ADJ,POS_Diff_ADP,POS_Diff_ADV,POS_Diff_AUX,POS_Diff_CCONJ,POS_Diff_DET,POS_Diff_INTJ,POS_Diff_NOUN,POS_Diff_NUM,POS_Diff_PART,POS_Diff_PRON,POS_Diff_PROPN,POS_Diff_PUNCT,POS_Diff_SCONJ,POS_Diff_SPACE,POS_Diff_SYM,POS_Diff_VERB
1,-0.0057,0.0604,-0.0374,-0.0317,-0.0272,0.005,0.0,0.0601,0.0068,-0.0036,-0.0116,0.0,-0.005,-0.0128,0.0,0.0,0.0023
2,0.0283,0.0522,-0.0305,-0.0101,-0.0221,-0.0011,0.0,0.0678,0.0321,-0.0365,0.0049,0.0092,-0.0444,-0.0157,0.0,0.0,-0.0343
3,-0.0296,0.0416,-0.0171,0.0495,-0.0182,-0.0107,0.0,-0.0749,0.0078,0.006,0.0984,0.0,-0.0355,-0.0046,0.0,0.0,-0.0129
4,-0.0096,0.0238,-0.0361,0.0447,0.0041,-0.0121,0.0,-0.0128,0.0165,-0.0079,0.0248,0.0,-0.0179,0.0157,0.0,0.0,-0.0333
5,0.011,0.0497,-0.0622,-0.0057,-0.0223,0.0514,0.0,0.038,0.0224,-0.0188,0.0048,0.0,-0.0525,-0.0092,0.0,0.0075,-0.0139
6,-0.0095,0.017,-0.0314,0.03,-0.0436,0.025,0.0,-0.0206,0.009,-0.0123,0.081,-0.0086,-0.0186,-0.0269,0.0,-0.0015,0.0109
7,-0.0147,0.0379,0.0051,0.0198,-0.0308,0.0117,0.0,-0.0341,0.0168,-0.0043,0.0494,-0.0022,-0.0094,-0.0276,0.0,0.0,-0.0176
8,0.0724,0.0417,-0.0117,0.0024,-0.0098,0.0199,0.0,-0.0134,-0.0028,-0.0015,-0.0236,0.0061,-0.0299,-0.0019,0.0,0.0,-0.0479
9,-0.0379,0.0431,-0.029,0.0182,-0.0242,0.0264,0.0,-0.013,0.0088,0.0171,0.008,0.0116,-0.0235,-0.0084,0.0,0.0,0.0025
10,-0.0465,0.0511,-0.0298,0.0239,-0.0197,-0.0176,0.0,0.0747,0.013,-0.0268,0.0121,0.0472,-0.0289,-0.0167,0.0,0.0,-0.0357
11,-0.0035,0.0237,-0.0605,-0.0117,-0.0383,0.0148,0.0,0.0217,0.0256,-0.0096,-0.0009,0.0071,0.0206,-0.0164,0.0,0.0,0.0277
12,-0.0112,0.0626,-0.0344,-0.0014,-0.0093,0.0061,0.0,0.0547,0.0052,-0.0243,0.0122,0.0028,-0.005,-0.0156,0.0,0.0,-0.0421
13,0.0213,0.0304,-0.0038,0.0293,-0.0623,0.0218,0.0,-0.047,-0.0142,-0.0005,0.0459,-0.0038,-0.0354,0.0194,-0.0038,0.0,0.0028
14,-0.0396,0.0059,-0.0059,-0.0014,-0.036,-0.0069,0.0,-0.053,0.0442,0.0121,0.0191,0.0535,0.0087,-0.0129,0.0,-0.0167,0.0286
15,-0.0374,0.0301,0.0079,-0.002,0.0016,-0.0217,0.0,0.0137,0.0582,0.0049,-0.0166,-0.0055,-0.0226,-0.0064,0.0,0.0,-0.0044
16,-0.0872,-0.0293,-0.0504,-0.0318,-0.0014,-0.0012,0.0,0.0642,0.1097,0.0004,-0.0153,0.0057,0.0586,-0.0222,0.0,-0.0023,0.0026
17,-0.0082,0.0376,-0.0059,-0.0002,-0.0374,0.0065,0.0,-0.0146,0.0,0.0171,-0.0009,0.0057,-0.0101,-0.0123,0.0,0.0,0.0229
18,-0.0229,0.0,-0.042,-0.0267,-0.0038,-0.0038,0.0,0.0038,0.0153,0.0152,0.0114,0.0191,0.0077,0.0038,0.0,-0.0038,0.0267
19,-0.0317,-0.0123,0.0148,0.0213,-0.0297,0.0326,0.0,-0.075,0.0113,-0.0046,0.0352,0.016,-0.0058,-0.002,0.0,0.0,0.0301
20,-0.0222,0.0239,-0.0593,0.0365,-0.0223,0.0787,0.0,-0.0453,0.0263,0.0108,0.0513,0.0,-0.0745,0.0014,0.0,0.0,-0.0052
21,0.0244,-0.0056,0.0411,0.013,-0.0348,-0.0159,0.0,-0.0589,0.0,0.0223,0.0037,0.0093,-0.027,0.0137,0.0,0.0,0.0148
22,-0.0738,0.1282,-0.0601,-0.0177,-0.0348,-0.0065,0.0,0.0909,-0.0025,0.0005,0.0368,-0.0101,-0.044,-0.0101,0.0,0.0,0.003
23,-0.031,0.0186,-0.0531,0.0188,-0.0347,0.033,0.0,0.0012,0.0112,0.0063,0.0346,0.0196,-0.008,-0.0093,0.0,0.0,-0.0069
24,-0.008,0.0404,-0.0168,0.0396,-0.0331,0.0015,0.0,-0.0052,0.0167,0.023,0.0096,0.0111,-0.0433,-0.0317,0.0,0.0,-0.0036
25,0.0513,0.0214,-0.0238,0.001,-0.0136,0.0034,0.0,0.0123,0.0037,-0.0121,-0.0151,0.0,-0.0254,0.0024,0.0,0.0,-0.0055
26,-0.0485,0.0007,-0.0165,0.0087,-0.0517,0.0205,0.0,-0.0127,0.0069,-0.0028,0.0471,0.01,0.0074,0.0039,0.0,0.013,0.014
27,-0.006,0.019,-0.0095,-0.0195,0.0431,-0.03,0.0,0.0793,0.0127,-0.0193,-0.009,-0.0086,-0.0395,-0.0279,0.0,0.0,0.0152
28,-0.0241,0.0102,-0.022,0.0406,-0.0281,0.0292,0.0,-0.078,0.0071,0.0406,0.0447,0.0071,-0.0418,-0.0207,0.0,0.0,0.0349
29,0.0299,0.0225,-0.0496,-0.0075,-0.0658,0.0503,0.0,-0.0454,0.0205,-0.0008,0.0349,-0.0053,-0.0084,0.0033,0.0,0.0,0.0217
30,-0.0348,0.0294,-0.0264,0.0371,-0.0298,0.0332,0.0,-0.0686,0.0097,0.0207,0.03,0.0,-0.0377,-0.0111,0.0,0.0,0.0485
31,-0.0233,0.0469,-0.0148,0.0109,0.0043,-0.01,0.0,0.028,0.0035,-0.0174,0.0128,0.0,-0.0183,-0.0101,0.0,0.0,-0.0125
32,-0.0172,0.0281,-0.0331,0.0718,-0.0198,0.0057,0.0,-0.0413,0.0063,0.0137,0.0532,0.0116,-0.0437,-0.0361,0.0,-0.0027,0.0032
33,-0.039,0.057,0.0004,0.0507,-0.0133,-0.0329,0.0,-0.0949,0.0078,0.0097,0.087,0.0,-0.0263,-0.0003,0.0,0.0,-0.0059
34,-0.014,0.0467,-0.014,-0.0013,-0.0453,0.0259,0.0,0.0047,0.0,-0.0068,0.0304,-0.0004,-0.0249,0.0021,0.0,0.0,-0.003
35,0.0209,0.027,-0.0456,0.0088,-0.0259,0.0343,0.0,-0.019,0.0023,0.0035,0.002,0.0098,0.0066,-0.0018,0.0,0.0,-0.0228
36,-0.0304,0.0262,0.0099,0.0237,-0.0149,-0.0075,0.0,-0.0953,0.0,0.0288,0.0711,0.0143,-0.0273,-0.026,0.0,0.0,0.0274
37,-0.02,0.0105,-0.0352,0.0237,-0.0275,0.0149,0.0,-0.0357,0.0,0.0023,0.0841,0.0,-0.0251,-0.0024,0.0,0.0,0.0102
38,0.006,-0.0103,-0.0329,0.003,-0.0312,0.0373,0.0,-0.0502,0.0293,0.0081,0.0178,0.0146,-0.0362,0.0243,0.0,0.0,0.0206
39,0.0041,0.0299,-0.02,-0.0146,-0.0209,-0.0056,0.0043,-0.0246,0.015,-0.0075,0.0074,0.0509,0.0009,-0.0163,0.0,-0.0002,-0.0026
40,0.0046,0.0074,-0.0212,0.0144,-0.047,0.0373,0.0,-0.0135,0.0357,-0.01,0.0129,0.0071,-0.0369,-0.0014,0.0,0.0115,-0.0011
41,-0.0233,0.0009,-0.0199,-0.0095,-0.0135,0.0189,0.0,-0.0146,0.007,0.0221,0.034,0.0101,-0.022,-0.0104,0.0,0.0,0.0203
42,0.0466,0.0426,-0.0309,0.0208,-0.0024,0.0148,0.0,-0.0074,0.0099,-0.0176,-0.0217,0.0,-0.0286,0.0006,0.0,0.0,-0.0267
43,-0.0373,0.0624,-0.0253,0.0136,-0.0248,0.0151,0.0,0.0124,0.0048,-0.016,0.0377,0.0142,-0.0608,0.007,0.0,0.0096,-0.0125
44,-0.0464,-0.0196,-0.0375,-0.0006,0.0146,-0.0329,0.0,0.0761,0.0132,0.0063,-0.0408,0.0132,0.0419,-0.0134,0.0,0.0,0.0259
45,0.0014,0.0229,-0.0484,-0.0058,0.003,0.0149,0.0,0.0602,0.009,-0.0103,0.0032,0.0,0.0236,-0.0284,0.0,0.0045,-0.0499
46,-0.0439,-0.026,-0.0068,0.0362,-0.008,0.0299,0.0,0.0137,0.0122,-0.0186,0.0033,0.0167,0.0176,0.0045,0.0,0.0,-0.0305
47,-0.0218,0.0195,-0.0205,0.0101,-0.0264,0.0238,0.0,0.0031,0.02,-0.0024,0.0397,0.0,-0.0074,-0.0315,0.0,0.0,-0.0063
48,-0.0179,0.0238,-0.0251,0.0255,-0.0008,0.0047,0.0,0.0428,0.0081,-0.0071,0.0007,0.0,-0.0747,0.0129,0.0,0.0,0.0075
49,-0.0402,0.0415,-0.0257,0.0199,-0.0362,0.0336,0.0,0.0413,0.008,0.0111,0.0317,0.0016,-0.0789,-0.0022,0.0,-0.0103,0.0046
50,-0.0461,0.0605,-0.0484,-0.0369,-0.0114,-0.0023,0.0,0.0515,0.007,0.007,0.0093,0.0,-0.0345,-0.0069,0.0,0.0,0.0512
51,-0.0233,-0.0143,-0.0196,0.0291,-0.0429,0.0721,0.0,-0.0253,0.0069,-0.0028,0.0162,0.0,-0.0162,-0.0071,0.0,0.0,0.0273
52,-0.0128,-0.0123,-0.0232,-0.0008,-0.0162,0.0366,0.0,-0.0913,0.0083,-0.0018,0.0812,0.0083,0.0172,-0.0061,0.0,0.0,0.0129
53,-0.0337,0.0289,-0.0299,0.0195,0.012,-0.0037,0.0,0.0367,0.0143,-0.0279,0.0079,0.0286,-0.0014,-0.0172,0.0,0.0,-0.0338
54,-0.0131,0.0678,-0.0386,0.0026,-0.0582,-0.0177,0.0,0.0252,0.0074,-0.0116,0.0093,0.0262,-0.0131,-0.0035,0.0,0.0,0.0171
55,-0.0261,0.01,-0.021,0.0327,0.0353,-0.0205,0.0,0.0463,0.0,-0.0111,0.0086,0.0,-0.0184,-0.0279,0.0,0.0,-0.008
56,-0.066,0.0344,-0.0496,0.0297,-0.0466,0.0181,0.0,-0.0585,0.0483,0.0191,0.0913,-0.0116,-0.0404,-0.0173,0.0,0.0,0.0491
57,-0.019,0.0087,-0.0534,0.0245,-0.0207,0.0099,0.0,-0.0376,0.0,0.014,0.0471,0.004,0.0223,-0.0008,0.0,0.0,0.0011
58,0.0367,-0.0107,-0.0098,-0.0009,-0.0367,0.0381,0.0,-0.0284,-0.0023,-0.0163,0.0121,-0.0009,-0.0293,0.0014,0.0,0.0,0.047
59,0.0217,0.0142,-0.0058,0.033,-0.0579,0.0189,0.0,-0.0271,0.0095,0.0166,-0.0125,0.0095,-0.0488,-0.0006,0.0,0.0,0.0295
60,-0.05,0.004,-0.0186,0.018,-0.0193,0.04,0.0,0.0073,0.0,0.0124,0.0457,0.0,-0.038,-0.0283,0.0,0.0,0.027
61,0.0295,0.0114,-0.0082,0.0019,-0.0499,0.0297,0.0,0.0068,0.0,0.0099,0.0039,-0.004,-0.0322,-0.01,0.0,-0.004,0.0154
62,-0.0112,0.09,-0.0588,-0.0371,-0.0013,0.0259,0.0,0.1383,-0.0149,0.0154,0.0338,-0.005,-0.1677,-0.0272,0.0,-0.0025,0.0226
63,0.0325,-0.0349,-0.0389,0.0131,-0.0286,0.0297,0.0,-0.0093,0.031,-0.0139,0.0249,-0.0102,0.0089,0.0012,0.0,0.0,-0.0055
64,0.0083,0.0216,-0.0287,0.0057,-0.0366,0.0461,0.0,-0.0372,0.017,0.0024,0.0395,-0.0006,0.0014,-0.0035,0.0,-0.0059,-0.0298
65,-0.0338,0.0393,-0.0797,0.0134,-0.0307,0.0327,0.0,0.0336,0.0336,0.0133,0.029,0.0,-0.0496,0.0014,0.0,0.0,-0.0027
66,0.0217,0.0762,0.007,0.0023,-0.0202,0.0271,0.0,0.0129,-0.0001,0.0048,0.0269,-0.005,-0.1599,-0.0101,0.0,-0.0075,0.0241
67,-0.0092,0.0562,-0.0262,0.0263,-0.0205,-0.0057,0.0,-0.0502,0.0016,0.0031,0.0587,-0.0087,-0.0298,-0.0056,0.0,0.0,0.0103
68,0.019,0.0221,-0.0556,-0.0128,-0.0356,0.0381,0.0,0.015,0.0203,-0.0012,0.0254,0.0068,-0.0193,-0.0212,0.0,0.0,-0.0007
69,-0.0208,0.0157,-0.0117,-0.0172,-0.0455,0.0361,-0.0028,-0.0295,0.0131,0.0086,0.0612,0.0,-0.0218,-0.0125,0.0,0.0,0.0271
