Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.1027 | ADP:0.1849 | ADV:0.0068 | AUX:0.0205 | CCONJ:0.0411 | DET:0.0411 | NOUN:0.3493 | NUM:0.0068 | PART:0.0205 | PRON:0.0205 | PUNCT:0.0753 | SCONJ:0.0274 | VERB:0.1027,ADJ:0.1084 | ADP:0.1245 | ADV:0.0442 | AUX:0.0522 | CCONJ:0.0683 | DET:0.0361 | NOUN:0.2892 | PART:0.0241 | PRON:0.0321 | PUNCT:0.0803 | SCONJ:0.0402 | VERB:0.1004,146,249
ADJ:0.0963 | ADP:0.1560 | ADV:0.0321 | AUX:0.0275 | CCONJ:0.0459 | DET:0.0275 | NOUN:0.3165 | NUM:0.0321 | PART:0.0046 | PRON:0.0550 | PROPN:0.0092 | PUNCT:0.0826 | SCONJ:0.0183 | VERB:0.0963,ADJ:0.0680 | ADP:0.1038 | ADV:0.0626 | AUX:0.0376 | CCONJ:0.0680 | DET:0.0286 | NOUN:0.2487 | PART:0.0411 | PRON:0.0501 | PUNCT:0.1270 | SCONJ:0.0340 | VERB:0.1306,218,559
ADJ:0.0471 | ADP:0.1490 | ADV:0.0627 | AUX:0.0863 | CCONJ:0.0431 | DET:0.0353 | NOUN:0.2196 | NUM:0.0078 | PART:0.0275 | PRON:0.1137 | PUNCT:0.0627 | SCONJ:0.0353 | VERB:0.1098,ADJ:0.0767 | ADP:0.1074 | ADV:0.0798 | AUX:0.0368 | CCONJ:0.0613 | DET:0.0460 | NOUN:0.2945 | PART:0.0215 | PRON:0.0153 | PUNCT:0.0982 | SCONJ:0.0399 | VERB:0.1227,255,326
ADJ:0.1048 | ADP:0.1333 | ADV:0.0286 | AUX:0.0571 | CCONJ:0.0762 | DET:0.0476 | NOUN:0.2857 | NUM:0.0190 | PART:0.0095 | PRON:0.0571 | PUNCT:0.0667 | SCONJ:0.0381 | VERB:0.0762,ADJ:0.1144 | ADP:0.1095 | ADV:0.0647 | AUX:0.0124 | CCONJ:0.0721 | DET:0.0597 | NOUN:0.2985 | NUM:0.0025 | PART:0.0174 | PRON:0.0323 | PUNCT:0.0846 | SCONJ:0.0224 | VERB:0.1095,105,402
ADJ:0.0821 | ADP:0.1418 | ADV:0.0299 | AUX:0.0075 | CCONJ:0.0672 | DET:0.0672 | NOUN:0.2985 | NUM:0.0224 | PART:0.0075 | PRON:0.0522 | PUNCT:0.0896 | SCONJ:0.0224 | SYM:0.0075 | VERB:0.1045,ADJ:0.0711 | ADP:0.0921 | ADV:0.0921 | AUX:0.0132 | CCONJ:0.0895 | DET:0.0158 | NOUN:0.2605 | PART:0.0263 | PRON:0.0474 | PUNCT:0.1421 | SCONJ:0.0316 | VERB:0.1184,134,380
ADJ:0.0577 | ADP:0.1250 | ADV:0.0577 | AUX:0.0577 | CCONJ:0.0192 | DET:0.0673 | NOUN:0.2115 | NUM:0.0192 | PART:0.0096 | PRON:0.1058 | PROPN:0.0673 | PUNCT:0.0865 | SCONJ:0.0096 | VERB:0.1058,ADJ:0.0672 | ADP:0.1080 | ADV:0.0891 | AUX:0.0277 | CCONJ:0.0628 | DET:0.0423 | NOUN:0.2321 | NUM:0.0102 | PART:0.0219 | PRON:0.0248 | PROPN:0.0759 | PUNCT:0.1051 | SCONJ:0.0365 | SYM:0.0015 | VERB:0.0949,104,685
ADJ:0.1020 | ADP:0.1412 | ADV:0.0784 | AUX:0.0431 | CCONJ:0.0392 | DET:0.0784 | NOUN:0.2392 | NUM:0.0235 | PART:0.0157 | PRON:0.0627 | PROPN:0.0078 | PUNCT:0.0706 | SCONJ:0.0157 | VERB:0.0824,ADJ:0.1167 | ADP:0.1033 | ADV:0.0733 | AUX:0.0233 | CCONJ:0.0700 | DET:0.0667 | NOUN:0.2733 | NUM:0.0067 | PART:0.0200 | PRON:0.0133 | PROPN:0.0100 | PUNCT:0.0800 | SCONJ:0.0433 | VERB:0.1000,255,300
ADJ:0.1718 | ADP:0.1411 | ADV:0.0491 | AUX:0.0245 | CCONJ:0.0675 | DET:0.0613 | NOUN:0.2822 | PART:0.0123 | PRON:0.0123 | PROPN:0.0061 | PUNCT:0.0613 | SCONJ:0.0368 | VERB:0.0736,ADJ:0.0994 | ADP:0.0994 | ADV:0.0608 | AUX:0.0221 | CCONJ:0.0773 | DET:0.0414 | NOUN:0.2956 | NUM:0.0028 | PART:0.0138 | PRON:0.0359 | PUNCT:0.0912 | SCONJ:0.0387 | VERB:0.1215,163,362
ADJ:0.0841 | ADP:0.1681 | ADV:0.0442 | AUX:0.0487 | CCONJ:0.0398 | DET:0.0752 | NOUN:0.2522 | NUM:0.0088 | PART:0.0354 | PRON:0.0354 | PROPN:0.0177 | PUNCT:0.0619 | SCONJ:0.0221 | VERB:0.1062,ADJ:0.1220 | ADP:0.1250 | ADV:0.0732 | AUX:0.0305 | CCONJ:0.0640 | DET:0.0488 | NOUN:0.2652 | PART:0.0183 | PRON:0.0274 | PROPN:0.0061 | PUNCT:0.0854 | SCONJ:0.0305 | VERB:0.1037,226,328
ADJ:0.0462 | ADP:0.1462 | ADV:0.0385 | AUX:0.0385 | CCONJ:0.0462 | DET:0.0385 | NOUN:0.3308 | NUM:0.0154 | PRON:0.0462 | PROPN:0.0692 | PUNCT:0.1077 | SCONJ:0.0077 | VERB:0.0692,ADJ:0.0927 | ADP:0.0951 | ADV:0.0683 | AUX:0.0146 | CCONJ:0.0659 | DET:0.0561 | NOUN:0.2561 | NUM:0.0024 | PART:0.0268 | PRON:0.0341 | PROPN:0.0220 | PUNCT:0.1366 | SCONJ:0.0244 | VERB:0.1049,130,410
