Abstract_Entities,Generated_Abstract_Entities
,
Sverige:LOC,
,
"Svenska kyrkan:ORG,Svenska kyrkan:ORG,Kyrkans tidning:ORG,Dagens Nyheter:WRK","Svenska kyrkan:ORG,Kyrkans Tidning:ORG,Dagens Nyheter:WRK,Svenska kyrkan:ORG,Svenska kyrkans:ORG"
,
"Paulus:PRS,Paulus:PRS,Paulus:PRS,Paulus:PRS,Paulus:PRS,Rom:LOC","Paulus:PRS,Rom:LOC,Guds:PRS,Romarbrevet:WRK,Paulus:PRS,Guds:PRS,Paulus:PRS,Rom:LOC,Rom:LOC,Sander:PRS,Dunn:PRS,Wright:PRS,Moo:LOC,Sanders:PRS,Dunn:PRS,Wright:PRS,Paulus:PRS,Rom:LOC,Guds:PRS,Paulus:PRS,Paulus’:PRS,Paulus:PRS,Rom:LOC,Jesus Kristus:PRS,Paulus’:PRS,Kristus:PRS,Rom:LOC,Paulus’:PRS,Guds:PRS,Kristus:PRS"
"Mesopotamien:LOC,Naram-Sin:PRS","Mesopotamien:LOC,Mesopotamien:LOC"
Sverige:LOC,
"Sveriges:LOC,Sverige:LOC,Sveriges:LOC,Gavlegårdarna:LOC,Gävle:LOC,Gavlegårdarna:LOC,Gavlegårdarna:LOC","Nya Nordostprojektet:WRK,Gävle:LOC,Gavlegårdarnas:ORG,Nya Nordost:LOC"
"Petri Tuoris:PRS,verkLondon:LOC,Skövde:LOC,London:LOC,på 1800-talet:TME,Sweeney Todd:PRS","London:LOC,London Crysis:LOC,London:LOC,London Crysis:LOC,London:LOC"
,
,
,
"Frankrike:LOC,USA:LOC",
"IFN-γ:PRS,SLIT:ORG,SCIT:ORG,SLIT:LOC,SCIT:ORG,SLIT:LOC,SCIT:ORG,IFN-γ:PRS,SLIT:LOC,SCIT:ORG,SLIT:LOC,SCIT:ORG,IFN-γ:PRS,SLIT:LOC,SCIT:ORG,SLIT:LOC,SCIT:ORG","SLIT:ORG,SCIT:ORG,SLIT:ORG,SCIT:ORG"
Sverige:LOC,"Sverige:LOC,Levonorgestrel:PRS"
Quinoas:PRS,
"MALDI-TOF MS:ORG,MALDI-TOF MS:ORG","MALDI-TOF MS:ORG,MALDI-TOF MS:EVN"
"The English School:ORG,Älmhult:LOC,Lpfö 98:OBJ","The English School:ORG,Älmhult:LOC"
,
,
,
"Sverige:LOC,de senaste åren:TME,Migrationsverket:ORG",
"Sverige:LOC,Sverige:LOC",
Livsmedelsverket:ORG,
"Västerbottens läns landsting:ORG,Thesis:PRS,FULLTEXT01.pdf:PRS,Thesis:PRS,Thesis:PRS,Social Sciences:ORG,Malmö:LOC,Foucault:PRS,Textanalys,,https://www.diva-portal.org:PRS,Thesis:PRS,Social Sciences:ORG,Social Sciences:ORG,Abrashis:PRS,Annika Sternlund:PRS,Amanda Sundberg:PRS,Helenas Valentinsons:PRS",Västerbotten:LOC
,"Sverige:LOC,Arbetsförmedlingen:ORG,Maslows:PRS,Maslow:PRS"
"Moderaterna:ORG,Sverige:LOC,Moderaterna:ORG,Moderaterna:ORG","Sverige:LOC,Moderaternas:ORG"
,
,
Sverige:LOC,
,
,
Halmstad:LOC,
Sverige:LOC,
"Kalmar:LOC,de senaste åren:TME,Öland:LOC,Glasriket:LOC,Kalmar:LOC","Kalmar:LOC,Öland:LOC,Glasriket:LOC,Kalmar:LOC,Kalmar:LOC,Öland:LOC,Glasriket:LOC,Kalmars:LOC,Kalmars:LOC,Kalmar:LOC"
Under de senaste åren:TME,
,
"Mellansverige:LOC,H. maximiliani:PRS,Mellansverige:LOC,Örebro universitet:ORG,H. maximiliani:PRS,Europa:LOC,Naturvårdsverkets:ORG,H. maximiliani:PRS",
,
"Sverige:LOC,liggerCogFLUX:PRS",
,
"Skåne:LOC,Skånes:LOC,Skånes:LOC,Film:ORG,Skåne:LOC,Skånes:LOC,Skånes:LOC","Sverige:LOC,Skånes:LOC,CineSkåne:LOC,Filmbar:ORG,Skåne:LOC,Skåne:LOC,Skånes:LOC,Skåne:LOC"
"Graneheim:PRS,Lundmans:PRS",
,
"Pensionärernas riksorganisations:ORG,Österåkers:LOC,kommun:LOC,Österåkers:LOC,kommun:LOC,Ös-teråkers:LOC","Österåkers:LOC,kommun:LOC"
,
,
Stockholms fondbörs:ORG,
,
,
Positive Accounting:ORG,Positive Accounting:ORG
"Yvonne Hirdmans:PRS,Judith Butlers:PRS",
"Danmarks:LOC,Katie Eriksson:PRS",Erikssons:PRS
,
,"Hakkaribergen:LOC,Orans:LOC"
Sverige:LOC,
