Row,POS_Diff_ADJ,POS_Diff_ADP,POS_Diff_ADV,POS_Diff_AUX,POS_Diff_CCONJ,POS_Diff_DET,POS_Diff_INTJ,POS_Diff_NOUN,POS_Diff_NUM,POS_Diff_PART,POS_Diff_PRON,POS_Diff_PROPN,POS_Diff_PUNCT,POS_Diff_SCONJ,POS_Diff_SPACE,POS_Diff_SYM,POS_Diff_VERB
1,0.0986,0.1197,0.0282,0.0423,0.0493,0.0845,0.0,0.2817,0.007,0.007,0.0634,0.0,0.0563,0.0563,0.0,0.0,0.1056
2,0.1027,0.1849,0.0068,0.0205,0.0411,0.0411,0.0,0.3493,0.0068,0.0205,0.0205,0.0,0.0753,0.0274,0.0,0.0,0.1027
3,0.0963,0.156,0.0321,0.0275,0.0459,0.0275,0.0,0.3165,0.0321,0.0046,0.055,0.0092,0.0826,0.0183,0.0,0.0,0.0963
4,0.0471,0.149,0.0627,0.0863,0.0431,0.0353,0.0,0.2196,0.0078,0.0275,0.1137,0.0,0.0627,0.0353,0.0,0.0,0.1098
5,0.1048,0.1333,0.0286,0.0571,0.0762,0.0476,0.0,0.2857,0.019,0.0095,0.0571,0.0,0.0667,0.0381,0.0,0.0,0.0762
6,0.0821,0.1418,0.0299,0.0075,0.0672,0.0672,0.0,0.2985,0.0224,0.0075,0.0522,0.0,0.0896,0.0224,0.0,0.0075,0.1045
7,0.0577,0.125,0.0577,0.0577,0.0192,0.0673,0.0,0.2115,0.0192,0.0096,0.1058,0.0673,0.0865,0.0096,0.0,0.0,0.1058
8,0.102,0.1412,0.0784,0.0431,0.0392,0.0784,0.0,0.2392,0.0235,0.0157,0.0627,0.0078,0.0706,0.0157,0.0,0.0,0.0824
9,0.1718,0.1411,0.0491,0.0245,0.0675,0.0613,0.0,0.2822,0.0,0.0123,0.0123,0.0061,0.0613,0.0368,0.0,0.0,0.0736
10,0.0841,0.1681,0.0442,0.0487,0.0398,0.0752,0.0,0.2522,0.0088,0.0354,0.0354,0.0177,0.0619,0.0221,0.0,0.0,0.1062
11,0.0462,0.1462,0.0385,0.0385,0.0462,0.0385,0.0,0.3308,0.0154,0.0,0.0462,0.0692,0.1077,0.0077,0.0,0.0,0.0692
12,0.0993,0.1348,0.0284,0.0355,0.0284,0.0426,0.0,0.305,0.0284,0.0071,0.0213,0.0071,0.1206,0.0142,0.0,0.0,0.1277
13,0.0891,0.1894,0.0334,0.0251,0.0585,0.0474,0.0,0.3231,0.0111,0.0111,0.0446,0.0028,0.0864,0.0139,0.0,0.0,0.0641
14,0.1416,0.1507,0.0639,0.0594,0.0091,0.0594,0.0,0.2237,0.0046,0.0183,0.0685,0.0,0.0548,0.0457,0.0,0.0,0.1005
15,0.0885,0.1062,0.0442,0.0265,0.0531,0.0265,0.0,0.2478,0.0442,0.0177,0.0442,0.0619,0.1062,0.0177,0.0,0.0,0.115
16,0.085,0.1525,0.0733,0.0381,0.0733,0.0205,0.0,0.2669,0.0645,0.0176,0.0235,0.0029,0.085,0.0147,0.0,0.0,0.0821
