Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:3 | case:3 | det:3 | nmod:3 | punct:3,ROOT:2 | acl:relcl:1 | advcl:1 | advmod:6 | amod:2 | appos:1 | case:3 | cc:2 | conj:2 | cop:1 | det:4 | nmod:3 | nsubj:3 | obj:2 | parataxis:2 | punct:11
ROOT:2 | acl:cleft:1 | acl:relcl:1 | advcl:6 | advmod:11 | amod:3 | appos:1 | aux:1 | case:4 | cc:3 | ccomp:1 | conj:3 | cop:4 | det:3 | expl:1 | fixed:2 | mark:6 | nmod:2 | nmod:poss:2 | nsubj:14 | obj:3 | obl:1 | obl:agent:1 | parataxis:3 | punct:8 | xcomp:3,ROOT:5 | acl:relcl:1 | advcl:4 | advmod:9 | amod:1 | aux:1 | case:7 | cc:4 | conj:3 | cop:3 | det:3 | fixed:2 | mark:5 | nmod:2 | nmod:poss:1 | nsubj:10 | obj:6 | obl:6 | parataxis:1 | punct:12 | xcomp:1
ROOT:3 | advmod:1 | amod:2 | case:2 | cc:2 | conj:1 | det:1 | nsubj:1 | obj:1 | obl:1 | punct:3,ROOT:5 | advcl:1 | advmod:10 | amod:2 | appos:1 | aux:1 | case:2 | cc:2 | compound:prt:3 | conj:5 | cop:1 | dep:1 | det:4 | fixed:1 | mark:1 | nsubj:5 | obj:3 | obl:5 | punct:10
ROOT:2 | advmod:2 | case:1 | conj:1 | nmod:poss:1 | punct:3,ROOT:6 | acl:1 | advmod:10 | amod:1 | aux:1 | case:4 | cc:4 | ccomp:2 | compound:prt:1 | conj:5 | cop:3 | csubj:1 | det:2 | mark:4 | nmod:poss:1 | nsubj:5 | obj:5 | obl:4 | punct:11 | xcomp:1
ROOT:1 | det:1 | punct:1,ROOT:4 | acl:relcl:1 | advmod:7 | amod:2 | appos:2 | aux:2 | case:3 | cc:3 | ccomp:1 | compound:prt:1 | conj:5 | cop:3 | det:5 | fixed:1 | mark:2 | nmod:1 | nsubj:7 | obj:3 | obl:3 | parataxis:1 | punct:11 | xcomp:1
ROOT:2 | acl:relcl:1 | advmod:1 | case:3 | det:1 | nsubj:2 | obj:1 | obl:3 | punct:1,ROOT:4 | acl:cleft:1 | acl:relcl:3 | advcl:2 | advmod:7 | amod:2 | appos:1 | case:2 | cc:4 | ccomp:2 | compound:prt:1 | conj:3 | cop:4 | det:2 | expl:2 | fixed:1 | mark:5 | nmod:poss:1 | nsubj:8 | obj:4 | obl:2 | punct:8 | xcomp:2
ROOT:1 | advmod:1 | case:1 | nsubj:1 | obl:1 | punct:1,ROOT:3 | acl:relcl:3 | advcl:1 | advmod:7 | amod:1 | aux:1 | case:3 | cc:3 | ccomp:1 | compound:prt:1 | conj:3 | cop:4 | det:2 | expl:1 | mark:4 | nsubj:6 | nummod:1 | obl:4 | punct:5 | xcomp:2
ROOT:2 | case:1 | punct:2,ROOT:4 | advcl:2 | advmod:12 | amod:2 | aux:1 | case:3 | cc:2 | ccomp:2 | compound:prt:1 | conj:4 | cop:4 | det:4 | dislocated:2 | mark:2 | nsubj:11 | obj:2 | obl:1 | parataxis:1 | punct:8 | xcomp:2
ROOT:2 | acl:relcl:1 | advmod:1 | case:3 | cc:2 | cop:1 | det:2 | expl:1 | flat:name:1 | nmod:1 | nmod:poss:2 | nsubj:1 | nsubj:pass:1 | obl:3 | punct:2,ROOT:5 | advcl:2 | advmod:7 | amod:1 | appos:1 | case:9 | cc:8 | ccomp:1 | compound:prt:1 | conj:6 | det:1 | expl:1 | flat:name:2 | mark:1 | nmod:7 | nsubj:5 | obj:2 | obl:4 | punct:8 | xcomp:2
ROOT:2 | advmod:3 | amod:1 | aux:1 | case:2 | cc:1 | conj:1 | cop:1 | det:2 | expl:1 | fixed:1 | flat:name:1 | iobj:1 | nmod:poss:1 | nsubj:2 | obj:1 | obl:2 | punct:1,ROOT:6 | advmod:13 | amod:2 | aux:3 | case:9 | cc:6 | compound:prt:2 | conj:11 | cop:2 | csubj:1 | det:2 | expl:1 | flat:name:4 | mark:1 | nmod:3 | nsubj:6 | obj:4 | obl:7 | punct:11 | xcomp:2
ROOT:3 | advcl:1 | advmod:4 | amod:3 | appos:1 | aux:3 | case:3 | cop:1 | csubj:1 | det:1 | dislocated:1 | expl:1 | nmod:1 | nsubj:2 | obj:1 | obl:1 | punct:5 | xcomp:1,ROOT:10 | acl:2 | acl:relcl:1 | advcl:7 | advmod:20 | amod:9 | aux:5 | case:12 | cc:11 | conj:12 | cop:6 | det:6 | iobj:1 | mark:11 | nmod:1 | nmod:poss:2 | nsubj:21 | nummod:1 | obj:11 | obl:9 | parataxis:3 | punct:24 | xcomp:3
ROOT:5 | acl:1 | advmod:9 | aux:3 | case:1 | cc:2 | compound:prt:1 | conj:3 | cop:3 | dep:1 | det:4 | expl:1 | fixed:1 | mark:2 | nsubj:3 | obj:2 | obl:1 | punct:6 | xcomp:1,ROOT:12 | acl:1 | acl:relcl:2 | advcl:8 | advmod:14 | amod:10 | appos:1 | aux:7 | case:10 | cc:11 | compound:prt:2 | conj:14 | cop:8 | csubj:1 | dep:1 | det:7 | dislocated:1 | expl:3 | fixed:2 | iobj:1 | mark:10 | nmod:6 | nsubj:19 | nummod:1 | obj:10 | obl:8 | parataxis:4 | punct:25 | xcomp:2
ROOT:3 | acl:2 | advcl:3 | advmod:7 | amod:1 | aux:1 | case:2 | cc:5 | ccomp:1 | conj:6 | cop:2 | dep:1 | det:2 | mark:5 | nmod:1 | nsubj:8 | obj:2 | obl:2 | punct:5 | xcomp:3,ROOT:12 | acl:1 | advcl:10 | advmod:25 | amod:6 | aux:9 | aux:pass:1 | case:9 | cc:12 | ccomp:1 | compound:prt:3 | conj:11 | cop:7 | dep:1 | det:5 | expl:1 | fixed:1 | iobj:1 | mark:11 | nmod:1 | nmod:poss:2 | nsubj:17 | nummod:1 | obj:13 | obl:7 | obl:agent:1 | parataxis:2 | punct:28 | xcomp:3
ROOT:1 | acl:1 | advmod:2 | det:2 | nsubj:2 | obj:1 | punct:3,ROOT:15 | acl:2 | acl:relcl:2 | advcl:4 | advmod:23 | amod:8 | appos:1 | aux:4 | case:11 | cc:9 | ccomp:2 | compound:prt:2 | conj:8 | cop:8 | csubj:2 | dep:2 | det:10 | dislocated:1 | expl:2 | mark:11 | nmod:5 | nmod:poss:1 | nsubj:23 | nummod:1 | obj:15 | obl:7 | parataxis:2 | punct:28 | xcomp:4
ROOT:3 | acl:2 | advcl:1 | advmod:9 | amod:2 | aux:3 | case:3 | cc:2 | ccomp:1 | conj:1 | cop:1 | det:1 | dislocated:1 | mark:3 | nmod:2 | nsubj:3 | obj:4 | obl:3 | parataxis:1 | punct:7 | xcomp:1,ROOT:13 | advcl:7 | advmod:23 | amod:12 | appos:2 | aux:4 | case:9 | cc:12 | ccomp:3 | compound:prt:3 | conj:11 | cop:6 | det:10 | dislocated:2 | expl:2 | mark:14 | nmod:3 | nsubj:25 | nummod:4 | obj:11 | obl:9 | parataxis:4 | punct:30 | xcomp:5
ROOT:1 | case:1 | det:1 | nmod:1 | punct:2,ROOT:5 | advcl:4 | advmod:10 | amod:1 | appos:2 | aux:1 | case:4 | cc:6 | compound:prt:1 | conj:4 | cop:2 | dep:2 | det:6 | fixed:1 | mark:6 | nmod:3 | nsubj:8 | obj:2 | obl:5 | punct:16 | xcomp:2
ROOT:2 | advmod:3 | amod:2 | case:1 | cc:1 | nmod:1 | nsubj:1 | obl:1 | punct:2,ROOT:4 | acl:relcl:1 | advcl:1 | advmod:4 | amod:2 | case:8 | cc:4 | compound:prt:2 | conj:3 | det:4 | expl:1 | mark:1 | nmod:5 | nsubj:7 | nummod:1 | obj:5 | obl:5 | parataxis:2 | punct:12 | xcomp:2
ROOT:1 | advmod:2 | dep:1 | nmod:1 | nmod:poss:1 | xcomp:1,ROOT:5 | advcl:5 | advmod:19 | amod:4 | aux:2 | case:6 | cc:6 | compound:prt:1 | conj:6 | cop:4 | csubj:1 | dep:1 | det:5 | expl:2 | fixed:2 | mark:4 | nmod:2 | nsubj:15 | obj:7 | obl:4 | parataxis:6 | punct:24 | xcomp:1
ROOT:1 | acl:1 | advmod:2 | cc:1 | conj:2 | cop:1 | mark:1 | nmod:poss:1 | nsubj:2 | punct:2,ROOT:8 | advcl:4 | advmod:20 | amod:6 | aux:3 | case:10 | cc:5 | ccomp:3 | conj:4 | cop:7 | det:5 | expl:2 | fixed:2 | mark:6 | nmod:4 | nsubj:19 | nummod:1 | obj:8 | obl:6 | parataxis:3 | punct:31
ROOT:1 | advcl:1 | advmod:2 | amod:1 | aux:1 | case:2 | cop:1 | det:1 | nmod:1 | nsubj:2 | obl:1 | punct:3,ROOT:7 | acl:relcl:2 | advcl:3 | advmod:12 | amod:7 | appos:3 | aux:4 | case:14 | cc:6 | ccomp:1 | compound:prt:2 | conj:8 | cop:4 | dep:1 | det:8 | expl:2 | flat:name:1 | mark:5 | nmod:6 | nmod:poss:1 | nsubj:20 | nsubj:pass:1 | nummod:1 | obj:7 | obl:7 | parataxis:2 | punct:41 | xcomp:2
ROOT:1 | amod:1 | case:1 | conj:1 | nmod:poss:1 | obj:1 | obl:1 | punct:2,ROOT:5 | advcl:3 | advmod:13 | amod:7 | appos:2 | aux:1 | case:5 | cc:6 | compound:prt:1 | conj:4 | cop:6 | det:3 | expl:1 | mark:7 | nmod:4 | nsubj:16 | obj:2 | obl:7 | parataxis:1 | punct:22 | xcomp:2
ROOT:1 | acl:relcl:1 | advcl:1 | advmod:1 | case:1 | ccomp:1 | cop:1 | expl:1 | nmod:poss:1 | nsubj:3 | obl:1 | punct:1,ROOT:8 | acl:cleft:1 | acl:relcl:1 | advcl:2 | advmod:22 | amod:4 | appos:1 | aux:4 | case:9 | cc:6 | conj:6 | cop:7 | dep:1 | det:6 | dislocated:1 | expl:2 | fixed:2 | mark:6 | nmod:5 | nsubj:23 | obj:7 | obl:6 | obl:agent:1 | parataxis:2 | punct:31 | xcomp:1
ROOT:1 | amod:1 | cop:1 | det:1 | nsubj:1 | punct:3,ROOT:2 | advmod:4 | aux:2 | case:7 | cc:1 | conj:15 | cop:2 | dep:1 | mark:1 | nmod:1 | nsubj:5 | obj:1 | obl:4 | parataxis:1 | punct:83 | xcomp:1
ROOT:2 | advmod:1 | case:1 | conj:1 | cop:1 | nsubj:2 | obj:1 | punct:4,ROOT:2 | advmod:4 | amod:1 | aux:2 | case:4 | cc:1 | conj:13 | cop:2 | det:1 | iobj:1 | mark:3 | nmod:1 | nsubj:4 | obj:2 | obl:2 | punct:63 | xcomp:1
ROOT:1 | acl:relcl:1 | advmod:2 | case:1 | cc:1 | conj:1 | cop:1 | csubj:1 | fixed:1 | nsubj:pass:1 | nummod:1 | obl:1 | parataxis:1 | punct:8,ROOT:3 | advmod:8 | aux:2 | case:5 | cc:5 | ccomp:2 | compound:prt:1 | conj:4 | cop:3 | csubj:1 | fixed:1 | mark:1 | nsubj:5 | obl:4 | parataxis:3 | punct:27 | xcomp:3
ROOT:2 | advmod:1 | case:1 | flat:name:1 | obl:1 | punct:3,ROOT:3 | advmod:5 | appos:1 | aux:1 | case:4 | cc:5 | conj:5 | cop:5 | mark:1 | nsubj:4 | obl:3 | obl:agent:1 | parataxis:2 | punct:26 | xcomp:2
ROOT:1 | conj:2 | punct:3,ROOT:2 | advcl:1 | advmod:4 | appos:1 | aux:1 | case:7 | cc:1 | conj:12 | det:1 | mark:1 | nmod:1 | nsubj:2 | obj:1 | obl:3 | punct:20 | xcomp:2
