Abstract_Entities,Generated_Abstract_Entities
,ICA:ORG
"västerbotten:LOC,östergötland:LOC",joina:PRS
,
,
,
,
,
,
Svensson Svensson:PRS,"Svensson Svensson:PRS,SVT Play:ORG,Wallace & Gromit:PRS"
Svensson Svensson:PRS,"Svensson Svensson:PRS,Wallace & Gromit:PRS"
,
,
,
,
,"bojkott-nyår:PRS,i år:TME"
,
förra året:TME,
,"BMW =:OBJ,Audi:OBJ,Volvo:OBJ"
riksmongo:LOC,BMW:OBJ
,"Audi:OBJ,Tesla:ORG"
,Audi:OBJ
"norrman:PRS,BMW:OBJ","Audi:OBJ,Tesla:ORG"
,dyngrak:LOC
,dyngrak:LOC
,dyngrak:LOC
Anna Sjödin:PRS,dyngrak:LOC
,dyngrak:LOC
,"Solna:LOC,Birk Borkason:PRS,Sverige:LOC"
"Bork Birkason:PRS,Edit:PRS,Borkason:PRS","Birk Borkason:PRS,Sverige:LOC"
Danmark:LOC,
,
,
,
,
"Tyskland:LOC,Stockholm:LOC","Patricia:PRS,Kind People Club:ORG,Hypnotic Woods:PRS"
"stockholm:LOC,på nyår:TME","Berlin:LOC,Sthlm:LOC,Resident Advisor:ORG,Stockholm:LOC,queer-techno:ORG,Stockholm:LOC"
Moon:LOC,"Sthlm:LOC,Skeppsholmen:LOC,Fjällgatan:LOC"
,"Göteborg:LOC,Skansen Kronan:ORG,Skansberget:LOC,Masthuggskyrkan:ORG,Haga:LOC,Linné:PRS,tidigare på kvällen:TME,Älvsborgsbron:LOC,Röda Sten:LOC"
"http://www.goteborg.com/nyarsfirande-i-goteborg/:PRS,liseberg:PRS,Finland:LOC","Göteborg:LOC,Skansen:LOC,Kronan:LOC,Skansberget:LOC,Johanneberg:PRS,Slottsskogen:LOC,Linné:PRS,Haga:LOC,Avenyn:LOC,Magasinsgatan:LOC,Majorna:LOC"
"Park Lane:LOC,Trädgårn:LOC","Göteborg:LOC,på nyår:TME,Haga/:LOC,Vasastan:LOC,Eriksberg:LOC,Gbg:LOC"
Halmstad:LOC,"Eriksberg:LOC,Saltholmen:LOC,Majorna:LOC,Linné:PRS,Skansen:LOC,Kronan:LOC,Ramberget:LOC,Avenyn:LOC,Göteborg:LOC"
USA:LOC,"Sverige:LOC,British Council:ORG,Sverige:LOC,Sverige:LOC,USA:LOC"
,"Sverige:LOC,Sverige:LOC,British Council:ORG,Cambridge International:ORG,Sverige:LOC,UK:LOC,Nederländerna:LOC,USA:LOC"
Khan Academy:PRS,"Sverige:LOC,Sverige:LOC,USA:LOC,UHR:ORG"
"Sverige:LOC,Skottland:LOC,CSN:ORG","Sverige:LOC,Sverige:LOC,Europa:LOC,Sverige:LOC,Cambridge:LOC"
,"Sverige:LOC,Sverige:LOC,University of London:ORG,Open University:ORG,UK:ORG,CSN:ORG,USA:LOC"
,CSN/:PRS
,
Carolin:PRS,
Afghanistan:LOC,
,
,
"Trump:LOC,Åkesson:PRS",
"HAX:PRS,Sverige:LOC,Sverige:LOC",Sverige:LOC
,Sverige:LOC
,Sverige:LOC
,Sverige:LOC
,Alexandersson:PRS
,"Sverige:LOC,Sverige:LOC"
,Sverige:LOC
,Sverige:LOC
,"Sverige:LOC,USA:LOC,Sverige:LOC"
,"Norden:LOC,samtidigt:TME,Sverige:LOC,Sverige:LOC"
,
,"Israel:LOC,Palestina:LOC"
hela natten:TME,"Israel:LOC,Palestina:LOC"
"Björn Söder:PRS,Incognito:WRK",USA:LOC
,
,MP:ORG
,
,
,KD:ORG
,
"Sjöstedt:PRS,Åkesson:PRS","Ygeman:PRS,Elisabeth Svantesson:PRS,Jessika Roswall:PRS"
"Josefin Utas:PRS,Medborgerlig Samling:WRK","Ygeman:PRS,Elisabeth Svantesson:PRS,Mikael Damberg:PRS"
"Alice Bah Kunke:PRS,Jan Björklund:PRS,Jonas Sjöstedt:PRS","Ygeman:PRS,Elisabeth Svantesson:PRS,Karin Karlsbro:PRS,L:ORG,Jan Jönsson:PRS,L:ORG,Stockholm:LOC,Lena Hallengren:PRS"
Peter Hultqvist:PRS,"Ygeman:PRS,Elisabeth Svantesson:PRS,Karin Karlsbro:PRS,L:ORG,Morgan Johansson:PRS,Maria Malmer Stenergard:PRS,Anders Ygeman:PRS"
