Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADP:0.2000 | DET:0.2000 | NOUN:0.4000 | PUNCT:0.2000,ADJ:0.0652 | ADP:0.0435 | ADV:0.1087 | AUX:0.0217 | CCONJ:0.0217 | DET:0.0870 | NOUN:0.2174 | PART:0.0435 | PRON:0.0652 | PROPN:0.0217 | PUNCT:0.2174 | VERB:0.0870,15,46
ADJ:0.0667 | ADP:0.0667 | ADV:0.1556 | AUX:0.0667 | CCONJ:0.0333 | DET:0.0556 | NOUN:0.1222 | PART:0.0111 | PRON:0.1444 | PROPN:0.0222 | PUNCT:0.0889 | SCONJ:0.0444 | VERB:0.1222,ADJ:0.0682 | ADP:0.0909 | ADV:0.1023 | AUX:0.0455 | CCONJ:0.0341 | DET:0.0341 | NOUN:0.1023 | PART:0.0227 | PRON:0.1591 | PROPN:0.0114 | PUNCT:0.1477 | SCONJ:0.0341 | SYM:0.0114 | VERB:0.1364,90,88
ADJ:0.2222 | ADP:0.1111 | ADV:0.0556 | CCONJ:0.0556 | DET:0.0556 | NOUN:0.3333 | PRON:0.0556 | PUNCT:0.0556 | VERB:0.0556,ADJ:0.0794 | ADP:0.0635 | ADV:0.1746 | AUX:0.0317 | CCONJ:0.0317 | DET:0.0794 | NOUN:0.1587 | PRON:0.0794 | PUNCT:0.1746 | SCONJ:0.0159 | VERB:0.1111,18,63
ADJ:0.2000 | ADP:0.1000 | ADV:0.1000 | NOUN:0.1000 | PART:0.1000 | PRON:0.1000 | PUNCT:0.3000,ADJ:0.0685 | ADP:0.0685 | ADV:0.1233 | AUX:0.0411 | CCONJ:0.0548 | DET:0.0274 | NOUN:0.1370 | PART:0.0411 | PRON:0.1233 | PROPN:0.0137 | PUNCT:0.1644 | SCONJ:0.0137 | VERB:0.1233,10,73
DET:0.3333 | NOUN:0.3333 | PUNCT:0.3333,ADJ:0.0714 | ADP:0.0571 | ADV:0.1000 | AUX:0.0571 | CCONJ:0.0429 | DET:0.0714 | NOUN:0.1714 | PART:0.0143 | PRON:0.1000 | PROPN:0.0143 | PUNCT:0.1714 | SCONJ:0.0286 | VERB:0.1000,3,70
ADP:0.2000 | AUX:0.0667 | DET:0.0667 | NOUN:0.2000 | PART:0.0667 | PRON:0.2667 | PUNCT:0.0667 | VERB:0.0667,ADJ:0.1127 | ADP:0.0282 | ADV:0.1268 | AUX:0.0563 | CCONJ:0.0423 | DET:0.0282 | NOUN:0.1127 | PART:0.0141 | PRON:0.1549 | PUNCT:0.1268 | SCONJ:0.0704 | VERB:0.1268,15,71
ADP:0.1667 | ADV:0.1667 | NOUN:0.3333 | PUNCT:0.1667 | VERB:0.1667,ADJ:0.0536 | ADP:0.0536 | ADV:0.1071 | AUX:0.0714 | CCONJ:0.0357 | DET:0.0357 | INTJ:0.0179 | NOUN:0.1250 | NUM:0.0179 | PART:0.0179 | PRON:0.1607 | PUNCT:0.1071 | SCONJ:0.0536 | VERB:0.1429,6,56
ADP:0.2000 | NOUN:0.2000 | PRON:0.2000 | PUNCT:0.4000,ADJ:0.0857 | ADP:0.0429 | ADV:0.1714 | AUX:0.0714 | CCONJ:0.0286 | DET:0.0571 | INTJ:0.0143 | NOUN:0.1286 | PART:0.0286 | PRON:0.1143 | PROPN:0.0143 | PUNCT:0.1286 | SCONJ:0.0143 | SYM:0.0143 | VERB:0.0857,5,70
ADP:0.0833 | ADV:0.0417 | AUX:0.0417 | CCONJ:0.0417 | DET:0.0833 | NOUN:0.2083 | NUM:0.0833 | PRON:0.0833 | PROPN:0.0833 | PUNCT:0.1250 | SCONJ:0.0417 | VERB:0.0833,ADJ:0.0135 | ADP:0.1081 | ADV:0.0946 | AUX:0.0135 | CCONJ:0.0676 | DET:0.0135 | NOUN:0.2027 | PART:0.0135 | PRON:0.0541 | PROPN:0.0946 | PUNCT:0.1216 | SCONJ:0.0135 | SYM:0.0541 | VERB:0.1351,24,74
ADJ:0.0800 | ADP:0.1200 | ADV:0.0800 | AUX:0.0800 | CCONJ:0.0400 | DET:0.0800 | NOUN:0.1600 | PRON:0.1600 | PROPN:0.0800 | PUNCT:0.0400 | VERB:0.0800,ADJ:0.0417 | ADP:0.0729 | ADV:0.1562 | AUX:0.0521 | CCONJ:0.0521 | DET:0.0208 | NOUN:0.1354 | PART:0.0208 | PRON:0.0417 | PROPN:0.1146 | PUNCT:0.1458 | SCONJ:0.0104 | SYM:0.0417 | VERB:0.0938,25,96
