Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:3 | case:3 | det:3 | nmod:3 | punct:3,ROOT:6 | acl:1 | acl:relcl:3 | advmod:12 | amod:3 | appos:1 | aux:1 | case:5 | cc:3 | compound:prt:1 | conj:1 | cop:1 | det:6 | dislocated:1 | mark:2 | nmod:2 | nmod:poss:1 | nsubj:7 | obj:7 | obl:4 | parataxis:2 | punct:12 | xcomp:4
ROOT:2 | acl:cleft:1 | acl:relcl:1 | advcl:6 | advmod:11 | amod:3 | appos:1 | aux:1 | case:4 | cc:3 | ccomp:1 | conj:3 | cop:4 | det:3 | expl:1 | fixed:2 | mark:6 | nmod:2 | nmod:poss:2 | nsubj:14 | obj:3 | obl:1 | obl:agent:1 | parataxis:3 | punct:8 | xcomp:3,ROOT:4 | advcl:4 | advmod:9 | amod:1 | appos:1 | aux:3 | case:3 | cc:4 | compound:prt:1 | conj:4 | dep:1 | det:2 | fixed:2 | mark:5 | nsubj:9 | obj:9 | obl:1 | punct:8
ROOT:3 | advmod:1 | amod:2 | case:2 | cc:2 | conj:1 | det:1 | nsubj:1 | obj:1 | obl:1 | punct:3,ROOT:4 | advcl:4 | advmod:9 | amod:2 | aux:2 | case:3 | cc:3 | conj:2 | cop:1 | dep:1 | det:3 | fixed:1 | mark:3 | nmod:3 | nmod:poss:1 | nsubj:6 | obj:6 | punct:9
ROOT:2 | advmod:2 | case:1 | conj:1 | nmod:poss:1 | punct:3,ROOT:7 | advcl:3 | advmod:16 | amod:2 | aux:3 | case:5 | cc:5 | compound:prt:4 | conj:7 | cop:1 | det:5 | mark:3 | nmod:1 | nmod:poss:3 | nsubj:8 | nummod:1 | obj:9 | obl:5 | parataxis:1 | punct:15 | xcomp:2
ROOT:1 | det:1 | punct:1,ROOT:5 | acl:relcl:1 | advcl:2 | advmod:13 | amod:1 | appos:2 | aux:2 | case:4 | cc:4 | compound:prt:1 | conj:4 | cop:1 | dep:1 | det:3 | fixed:2 | mark:1 | nmod:1 | nsubj:7 | nummod:1 | obj:6 | obl:2 | punct:11
ROOT:2 | acl:relcl:1 | advmod:1 | case:3 | det:1 | nsubj:2 | obj:1 | obl:3 | punct:1,ROOT:6 | acl:relcl:2 | advcl:4 | advmod:9 | amod:5 | aux:2 | case:4 | cc:6 | compound:prt:1 | conj:6 | cop:6 | dep:1 | det:4 | dislocated:1 | expl:3 | fixed:1 | mark:2 | nmod:2 | nsubj:8 | nummod:3 | obj:4 | obl:5 | parataxis:2 | punct:11 | xcomp:2
ROOT:1 | advmod:1 | case:1 | nsubj:1 | obl:1 | punct:1,ROOT:5 | acl:relcl:2 | advmod:10 | amod:4 | aux:2 | case:5 | cc:5 | compound:prt:1 | conj:5 | cop:3 | csubj:1 | det:1 | fixed:1 | mark:3 | nmod:2 | nmod:poss:2 | nsubj:8 | obj:1 | obl:5 | obl:agent:1 | parataxis:1 | punct:10 | xcomp:2
ROOT:2 | case:1 | punct:2,ROOT:4 | acl:relcl:1 | advcl:5 | advmod:9 | amod:3 | appos:1 | aux:1 | case:5 | cc:3 | compound:prt:1 | conj:1 | cop:2 | det:1 | dislocated:1 | expl:2 | fixed:1 | mark:4 | nmod:1 | nsubj:5 | nsubj:pass:1 | obj:4 | obl:5 | punct:10 | xcomp:3
ROOT:2 | acl:relcl:1 | advmod:1 | case:3 | cc:2 | cop:1 | det:2 | expl:1 | flat:name:1 | nmod:1 | nmod:poss:2 | nsubj:1 | nsubj:pass:1 | obl:3 | punct:2,ROOT:7 | acl:cleft:1 | acl:relcl:1 | advcl:2 | advmod:18 | amod:2 | aux:1 | case:4 | cc:7 | compound:prt:2 | conj:10 | cop:3 | det:4 | expl:1 | fixed:1 | flat:name:1 | mark:2 | nmod:1 | nsubj:9 | nsubj:pass:1 | obj:5 | obl:4 | parataxis:3 | punct:12 | xcomp:1
ROOT:2 | advmod:3 | amod:1 | aux:1 | case:2 | cc:1 | conj:1 | cop:1 | det:2 | expl:1 | fixed:1 | flat:name:1 | iobj:1 | nmod:poss:1 | nsubj:2 | obj:1 | obl:2 | punct:1,ROOT:5 | advcl:5 | advmod:9 | amod:3 | aux:2 | case:4 | cc:7 | conj:5 | cop:1 | dep:1 | det:2 | expl:1 | fixed:1 | flat:name:1 | mark:2 | nmod:1 | nsubj:8 | obj:5 | obl:4 | parataxis:2 | punct:13 | xcomp:1
ROOT:3 | advcl:1 | advmod:4 | amod:3 | appos:1 | aux:3 | case:3 | cop:1 | csubj:1 | det:1 | dislocated:1 | expl:1 | nmod:1 | nsubj:2 | obj:1 | obl:1 | punct:5 | xcomp:1,ROOT:17 | acl:3 | acl:relcl:2 | advcl:12 | advmod:28 | amod:9 | aux:5 | case:16 | cc:13 | ccomp:3 | compound:prt:2 | conj:14 | cop:8 | det:12 | dislocated:1 | expl:3 | fixed:7 | mark:20 | nmod:3 | nmod:poss:3 | nsubj:27 | nummod:2 | obj:15 | obl:16 | parataxis:2 | punct:37 | xcomp:8
