Abstract_Entities,Generated_Abstract_Entities
,
"västerbotten:LOC,östergötland:LOC",FOMO:ORG
,
,
,
,tiktok:PRS
,
,
Svensson Svensson:PRS,"Svensson Svensson:PRS,SVT Play:ORG,Wallace &:PRS,Bingolotto:PRS,varje kväll:TME"
Svensson Svensson:PRS,"Svensson Svensson:PRS,Wallace & Gromit:PRS"
,tio minuter senare:TME
,
,
,
,
,
förra året:TME,
,"Bimmers:PRS,Audi:OBJ,Volvo:OBJ"
riksmongo:LOC,Audi:OBJ
,"BMW:OBJ,Volvo:OBJ"
,"Volvo 740/940:OBJ,Audi:OBJ,BMW:OBJ"
"norrman:PRS,BMW:OBJ",Volvo:OBJ
,dyngrak:LOC
,"dyngrak:LOC,dyngrak:LOC"
,"dyngrak:LOC,dyngrak:LOC"
Anna Sjödin:PRS,dyngrak:LOC
,Dyngrak:LOC
,"Svensson:PRS,ICA:ORG,Birk:PRS,Astrid Lindgren-core:PRS,Borkason:PRS,Anders Andersson:PRS,Per Persson:PRS,Birk Borkason:PRS"
"Bork Birkason:PRS,Edit:PRS,Borkason:PRS","Birk Borkason:PRS,Ica:ORG,Astrid:PRS,Sven Svensson:PRS,Borkason:PRS,Bork:PRS,Totte:PRS,Pontus:PRS"
Danmark:LOC,
,
,
,kemlabbet:PRS
,
"Tyskland:LOC,Stockholm:LOC","Sthlm:LOC,Patricia:PRS,Slussen:LOC,Stockholm:LOC,Monteliusvägen:LOC,Skinnarviksberget:LOC"
"stockholm:LOC,på nyår:TME","Sthlm:LOC,Resident Advisor:ORG,Stockholm:LOC,stockholm:LOC,stockholm:LOC,stockholm:LOC,Söder:LOC,Stockholm:LOC"
Moon:LOC,"Sthlm:LOC,advisor:PRS,Söder:LOC,Monteliusvägen:LOC,Skinnarviksberget:LOC,Stockholm:LOC"
,"Göteborg:LOC,Masthuggskyrkan:ORG,Skansen:LOC,Saltholmen:LOC"
"http://www.goteborg.com/nyarsfirande-i-goteborg/:PRS,liseberg:PRS,Finland:LOC","Göteborg:LOC,Eriksberg:LOC,Slottsskogen:LOC,Änggårdsbergen:LOC,på dagen:TME"
"Park Lane:LOC,Trädgårn:LOC","Göteborg:LOC,Masthuggskajen:LOC,Eriksberg:LOC,Lindholmen:LOC,Avenyn:LOC,Skansen:LOC,GÖTEBORG:LOC"
Halmstad:LOC,"Göteborg:LOC,Skansen:LOC,Kronan:LOC,Skansberget:LOC,Ramberget:LOC,Avenyn:LOC,fulnyår:PRS,Göteborg:LOC"
USA:LOC,"Sverige:LOC,USA:LOC,CSN:ORG,Cambridge:LOC,Sverige:LOC,Sverige:LOC,Europa:LOC,Nederländerna:LOC"
,"Sverige:LOC,Cambridge International/A-levels:ORG"
Khan Academy:PRS,"Sverige:LOC,EU:ORG,Nederländerna:LOC"
"Sverige:LOC,Skottland:LOC,CSN:ORG","Sverige:LOC,Cambridge:LOC"
,"Nederländerna:LOC,Irland:LOC,Tyskland:LOC"
,YOLO:a CSN:ORG
,
Carolin:PRS,
Afghanistan:LOC,
,
,
"Trump:LOC,Åkesson:PRS",
"HAX:PRS,Sverige:LOC,Sverige:LOC","Sverige:LOC,Sverige:LOC"
,"Sverige:LOC,Sverige:LOC"
,
,"Sverige:LOC,Henrik:PRS,Sverige:LOC"
,Sverige:LOC
,
,Sverige:LOC
,Sverige:LOC
,Sverige:LOC
,hela dagarna:TME
,
,"Amnesty:ORG,USA:LOC,Israel:LOC"
hela natten:TME,"Israel:LOC,Palestina:LOC"
"Björn Söder:PRS,Incognito:WRK",
,
,
,
,KD:ORG
,
,
,
,
"Dan Eliasson:PRS,Dan Eliasson:PRS,Sverige:LOC,Sverige:LOC,Sverige:LOC,flashback:LOC,sweddit:LOC","Riksrevisionens:ORG,Arbetsmiljöverkets:ORG"
,Riksrevisionens:ORG
"Sjöstedt:PRS,Åkesson:PRS","Ygeman:PRS,Karin Karlsbro:PRS,L:ORG,Johan Pehrson:PRS"
"Josefin Utas:PRS,Medborgerlig Samling:WRK","Ygeman:PRS,Elisabeth Svantesson:PRS,Maria Malmer Stenergard:PRS,Mikael Damberg:PRS"
"Alice Bah Kunke:PRS,Jan Björklund:PRS,Jonas Sjöstedt:PRS","Ygeman:PRS,Elisabeth Svantesson:PRS,Mikael Damberg:PRS"
Peter Hultqvist:PRS,"Ygeman:PRS,Elisabeth Svantesson:PRS,Anders:PRS,Mikael Damberg-typen:PRS,Johan Pehrson:PRS"
Mattias Karlsson:PRS,"Ygeman:PRS,Elisabeth Svantesson:PRS,Daniel Suhonen:PRS,Mikael Damberg:PRS,Hans Dahlgren:PRS"
,
,Försäkringskassan:ORG
worldwar2:PRS,
,
,Sverige:LOC
"Edit:PRS,USA:LOC",Regeringskansliet:ORG
,
,
