Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADP:0.2000 | DET:0.2000 | NOUN:0.4000 | PUNCT:0.2000,ADJ:0.0750 | ADP:0.0500 | ADV:0.1500 | AUX:0.0375 | CCONJ:0.0250 | DET:0.0500 | NOUN:0.1375 | NUM:0.0125 | PART:0.0250 | PRON:0.1875 | PUNCT:0.1000 | SCONJ:0.0250 | VERB:0.1250,15,80
ADJ:0.0667 | ADP:0.0667 | ADV:0.1556 | AUX:0.0667 | CCONJ:0.0333 | DET:0.0556 | NOUN:0.1222 | PART:0.0111 | PRON:0.1444 | PROPN:0.0222 | PUNCT:0.0889 | SCONJ:0.0444 | VERB:0.1222,ADJ:0.0794 | ADP:0.0635 | ADV:0.1587 | AUX:0.0635 | CCONJ:0.0794 | NOUN:0.0952 | PART:0.0159 | PRON:0.0952 | PROPN:0.0317 | PUNCT:0.1270 | SCONJ:0.0159 | VERB:0.1746,90,63
ADJ:0.2222 | ADP:0.1111 | ADV:0.0556 | CCONJ:0.0556 | DET:0.0556 | NOUN:0.3333 | PRON:0.0556 | PUNCT:0.0556 | VERB:0.0556,ADJ:0.0725 | ADP:0.0580 | ADV:0.1304 | AUX:0.0725 | CCONJ:0.0725 | DET:0.0580 | NOUN:0.1159 | PRON:0.0580 | PROPN:0.0580 | PUNCT:0.1449 | SCONJ:0.0290 | VERB:0.1304,18,69
ADJ:0.2000 | ADP:0.1000 | ADV:0.1000 | NOUN:0.1000 | PART:0.1000 | PRON:0.1000 | PUNCT:0.3000,ADJ:0.0787 | ADP:0.0562 | ADV:0.1348 | AUX:0.0562 | CCONJ:0.0674 | DET:0.0449 | INTJ:0.0112 | NOUN:0.0899 | PART:0.0112 | PRON:0.1573 | PROPN:0.0449 | PUNCT:0.1236 | SCONJ:0.0225 | VERB:0.1011,10,89
DET:0.3333 | NOUN:0.3333 | PUNCT:0.3333,ADJ:0.0308 | ADP:0.0308 | ADV:0.1692 | AUX:0.0769 | CCONJ:0.0769 | DET:0.0462 | NOUN:0.1692 | NUM:0.0154 | PART:0.0154 | PRON:0.0615 | PROPN:0.0308 | PUNCT:0.1231 | SCONJ:0.0154 | VERB:0.1385,3,65
ADP:0.2000 | AUX:0.0667 | DET:0.0667 | NOUN:0.2000 | PART:0.0667 | PRON:0.2667 | PUNCT:0.0667 | VERB:0.0667,ADJ:0.0411 | ADP:0.0411 | ADV:0.1233 | AUX:0.0411 | CCONJ:0.0137 | DET:0.0274 | INTJ:0.0137 | NOUN:0.1233 | PART:0.0959 | PRON:0.1096 | PROPN:0.0137 | PUNCT:0.1233 | SCONJ:0.0411 | VERB:0.1918,15,73
ADP:0.1667 | ADV:0.1667 | NOUN:0.3333 | PUNCT:0.1667 | VERB:0.1667,ADJ:0.0714 | ADP:0.0952 | ADV:0.1786 | AUX:0.0476 | CCONJ:0.0119 | DET:0.0238 | NOUN:0.1071 | PART:0.0238 | PRON:0.1429 | PROPN:0.0119 | PUNCT:0.0952 | SCONJ:0.0238 | VERB:0.1667,6,84
ADP:0.2000 | NOUN:0.2000 | PRON:0.2000 | PUNCT:0.4000,ADJ:0.0645 | ADP:0.0968 | ADV:0.0968 | AUX:0.0484 | CCONJ:0.0323 | DET:0.0161 | INTJ:0.0161 | NOUN:0.1613 | NUM:0.0161 | PART:0.0484 | PRON:0.1290 | PROPN:0.0161 | PUNCT:0.1129 | SCONJ:0.0161 | VERB:0.1290,5,62
ADP:0.0833 | ADV:0.0417 | AUX:0.0417 | CCONJ:0.0417 | DET:0.0833 | NOUN:0.2083 | NUM:0.0833 | PRON:0.0833 | PROPN:0.0833 | PUNCT:0.1250 | SCONJ:0.0417 | VERB:0.0833,ADJ:0.0617 | ADP:0.0247 | ADV:0.2099 | AUX:0.0864 | CCONJ:0.0370 | DET:0.0370 | NOUN:0.1235 | PART:0.0247 | PRON:0.1111 | PROPN:0.0370 | PUNCT:0.1358 | SCONJ:0.0123 | VERB:0.0988,24,81
ADJ:0.0800 | ADP:0.1200 | ADV:0.0800 | AUX:0.0800 | CCONJ:0.0400 | DET:0.0800 | NOUN:0.1600 | PRON:0.1600 | PROPN:0.0800 | PUNCT:0.0400 | VERB:0.0800,ADJ:0.0147 | ADP:0.0147 | ADV:0.1471 | AUX:0.0735 | CCONJ:0.0588 | DET:0.0294 | NOUN:0.1324 | PART:0.0294 | PRON:0.0882 | PROPN:0.0588 | PUNCT:0.1912 | SCONJ:0.0294 | VERB:0.1324,25,68
