Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:3 | case:3 | det:3 | nmod:3 | punct:3,ROOT:6 | advmod:3 | appos:1 | aux:4 | case:4 | cc:3 | conj:3 | det:5 | flat:name:1 | nmod:3 | nsubj:5 | obj:3 | obl:2 | punct:8 | xcomp:1
ROOT:2 | acl:cleft:1 | acl:relcl:1 | advcl:6 | advmod:11 | amod:3 | appos:1 | aux:1 | case:4 | cc:3 | ccomp:1 | conj:3 | cop:4 | det:3 | expl:1 | fixed:2 | mark:6 | nmod:2 | nmod:poss:2 | nsubj:14 | obj:3 | obl:1 | obl:agent:1 | parataxis:3 | punct:8 | xcomp:3,ROOT:9 | advcl:2 | advmod:5 | amod:2 | aux:2 | case:5 | cc:2 | compound:prt:1 | conj:2 | det:2 | fixed:1 | mark:2 | nmod:2 | nsubj:6 | obj:4 | obl:4 | punct:9 | xcomp:1
ROOT:3 | advmod:1 | amod:2 | case:2 | cc:2 | conj:1 | det:1 | nsubj:1 | obj:1 | obl:1 | punct:3,ROOT:6 | advcl:1 | advmod:6 | amod:6 | case:3 | cc:5 | compound:prt:2 | conj:5 | det:4 | mark:1 | nmod:4 | nmod:poss:1 | nsubj:4 | obj:5 | obl:1 | parataxis:1 | punct:8
ROOT:2 | advmod:2 | case:1 | conj:1 | nmod:poss:1 | punct:3,ROOT:11 | acl:relcl:1 | advcl:1 | advmod:4 | amod:5 | case:4 | cc:4 | compound:prt:1 | conj:3 | mark:1 | nmod:2 | nmod:poss:2 | nsubj:4 | obj:2 | obl:3 | punct:13 | xcomp:2
ROOT:1 | det:1 | punct:1,ROOT:8 | advcl:3 | advmod:13 | amod:3 | aux:1 | case:11 | cc:4 | compound:prt:1 | conj:4 | cop:3 | det:4 | mark:4 | nmod:4 | nsubj:7 | obj:3 | obl:8 | punct:9 | xcomp:1
ROOT:2 | acl:relcl:1 | advmod:1 | case:3 | det:1 | nsubj:2 | obj:1 | obl:3 | punct:1,ROOT:7 | advcl:1 | advmod:6 | appos:1 | aux:2 | case:5 | cc:7 | compound:prt:1 | conj:6 | cop:3 | det:4 | expl:1 | fixed:2 | mark:3 | nmod:2 | nsubj:6 | obj:7 | obl:3 | punct:13 | xcomp:2
ROOT:1 | advmod:1 | case:1 | nsubj:1 | obl:1 | punct:1,ROOT:7 | advcl:1 | advmod:8 | amod:4 | appos:1 | aux:2 | case:2 | cc:10 | compound:prt:4 | conj:9 | cop:3 | dep:1 | det:2 | dislocated:1 | fixed:3 | flat:name:1 | mark:1 | nsubj:9 | obj:3 | obl:3 | punct:12 | xcomp:4
ROOT:2 | case:1 | punct:2,ROOT:7 | acl:cleft:1 | advcl:1 | advmod:8 | amod:1 | aux:1 | case:5 | cc:5 | conj:3 | cop:2 | det:3 | dislocated:1 | mark:2 | nmod:2 | nsubj:9 | nummod:1 | obj:6 | obl:3 | punct:12 | xcomp:2
ROOT:2 | acl:relcl:1 | advmod:1 | case:3 | cc:2 | cop:1 | det:2 | expl:1 | flat:name:1 | nmod:1 | nmod:poss:2 | nsubj:1 | nsubj:pass:1 | obl:3 | punct:2,ROOT:8 | advcl:1 | advmod:3 | amod:2 | aux:1 | case:4 | cc:3 | compound:prt:1 | conj:3 | det:3 | fixed:3 | flat:name:1 | mark:2 | nmod:1 | nmod:poss:1 | nsubj:5 | obj:2 | obl:2 | punct:7 | xcomp:1
ROOT:2 | advmod:3 | amod:1 | aux:1 | case:2 | cc:1 | conj:1 | cop:1 | det:2 | expl:1 | fixed:1 | flat:name:1 | iobj:1 | nmod:poss:1 | nsubj:2 | obj:1 | obl:2 | punct:1,ROOT:6 | acl:relcl:1 | advcl:1 | advmod:5 | aux:3 | case:6 | cc:5 | compound:prt:1 | conj:5 | cop:1 | det:1 | expl:3 | flat:name:1 | mark:1 | nsubj:8 | obj:2 | obl:6 | parataxis:1 | punct:6 | xcomp:2
ROOT:3 | advcl:1 | advmod:4 | amod:3 | appos:1 | aux:3 | case:3 | cop:1 | csubj:1 | det:1 | dislocated:1 | expl:1 | nmod:1 | nsubj:2 | obj:1 | obl:1 | punct:5 | xcomp:1,ROOT:18 | acl:relcl:1 | advcl:6 | advmod:15 | amod:10 | aux:4 | case:12 | cc:7 | compound:prt:3 | conj:13 | cop:3 | dep:1 | det:3 | expl:1 | mark:9 | nmod:5 | nmod:poss:1 | nsubj:18 | obj:8 | obl:7 | parataxis:1 | punct:27 | xcomp:3
ROOT:5 | acl:1 | advmod:9 | aux:3 | case:1 | cc:2 | compound:prt:1 | conj:3 | cop:3 | dep:1 | det:4 | expl:1 | fixed:1 | mark:2 | nsubj:3 | obj:2 | obl:1 | punct:6 | xcomp:1,ROOT:31 | acl:1 | acl:relcl:4 | advcl:3 | advmod:20 | amod:5 | aux:5 | case:11 | cc:10 | ccomp:1 | compound:prt:4 | conj:8 | cop:4 | dep:1 | det:9 | dislocated:1 | fixed:2 | mark:8 | nmod:2 | nmod:poss:1 | nsubj:21 | nsubj:pass:1 | nummod:1 | obj:18 | obl:9 | punct:34 | xcomp:1
ROOT:3 | acl:2 | advcl:3 | advmod:7 | amod:1 | aux:1 | case:2 | cc:5 | ccomp:1 | conj:6 | cop:2 | dep:1 | det:2 | mark:5 | nmod:1 | nsubj:8 | obj:2 | obl:2 | punct:5 | xcomp:3,ROOT:21 | acl:cleft:1 | acl:relcl:1 | advcl:2 | advmod:13 | amod:4 | aux:6 | case:11 | cc:8 | ccomp:1 | compound:prt:6 | conj:7 | cop:4 | csubj:1 | dep:1 | det:8 | expl:2 | fixed:1 | iobj:1 | mark:7 | nmod:4 | nsubj:12 | nummod:4 | obj:12 | obl:7 | punct:25
ROOT:1 | acl:1 | advmod:2 | det:2 | nsubj:2 | obj:1 | punct:3,ROOT:25 | acl:1 | acl:cleft:1 | acl:relcl:5 | advcl:5 | advmod:21 | amod:3 | aux:4 | case:6 | cc:3 | ccomp:1 | compound:prt:3 | conj:5 | cop:6 | csubj:1 | det:8 | expl:2 | fixed:5 | mark:13 | nsubj:27 | obj:11 | obl:10 | parataxis:1 | punct:36 | xcomp:5
ROOT:3 | acl:2 | advcl:1 | advmod:9 | amod:2 | aux:3 | case:3 | cc:2 | ccomp:1 | conj:1 | cop:1 | det:1 | dislocated:1 | mark:3 | nmod:2 | nsubj:3 | obj:4 | obl:3 | parataxis:1 | punct:7 | xcomp:1,ROOT:17 | advcl:4 | advmod:18 | amod:5 | aux:4 | case:10 | cc:5 | compound:prt:4 | conj:5 | cop:1 | csubj:1 | dep:1 | det:6 | expl:1 | fixed:5 | mark:7 | nmod:2 | nsubj:8 | nummod:1 | obj:14 | obl:6 | punct:20 | xcomp:3
ROOT:1 | case:1 | det:1 | nmod:1 | punct:2,ROOT:10 | acl:relcl:2 | advcl:2 | advmod:10 | amod:1 | aux:2 | case:9 | cc:3 | compound:prt:1 | conj:3 | cop:1 | det:4 | dislocated:1 | mark:1 | nmod:2 | nsubj:10 | nsubj:pass:1 | obj:3 | obl:7 | parataxis:1 | punct:12 | xcomp:1
ROOT:2 | advmod:3 | amod:2 | case:1 | cc:1 | nmod:1 | nsubj:1 | obl:1 | punct:2,ROOT:10 | advcl:3 | advmod:12 | amod:1 | aux:1 | case:13 | cc:1 | compound:prt:1 | conj:2 | det:4 | expl:1 | mark:1 | nmod:1 | nsubj:12 | obj:6 | obl:12 | punct:12 | xcomp:1
ROOT:1 | advmod:2 | dep:1 | nmod:1 | nmod:poss:1 | xcomp:1,ROOT:12 | acl:relcl:2 | advcl:2 | advmod:13 | amod:2 | case:8 | cc:3 | ccomp:1 | compound:prt:1 | conj:2 | det:3 | expl:2 | mark:9 | nmod:4 | nsubj:15 | obj:6 | obl:4 | punct:12 | xcomp:1
ROOT:1 | acl:1 | advmod:2 | cc:1 | conj:2 | cop:1 | mark:1 | nmod:poss:1 | nsubj:2 | punct:2,ROOT:20 | acl:1 | acl:relcl:2 | advcl:1 | advmod:18 | amod:5 | aux:1 | case:16 | cc:2 | compound:prt:2 | conj:1 | cop:4 | det:7 | expl:3 | mark:6 | nmod:8 | nmod:poss:1 | nsubj:19 | obj:9 | obl:8 | parataxis:1 | punct:30 | xcomp:1
ROOT:1 | advcl:1 | advmod:2 | amod:1 | aux:1 | case:2 | cop:1 | det:1 | nmod:1 | nsubj:2 | obl:1 | punct:3,ROOT:24 | acl:1 | acl:relcl:1 | advcl:2 | advmod:13 | amod:3 | appos:3 | aux:2 | case:12 | cc:4 | ccomp:2 | compound:prt:3 | conj:1 | cop:2 | det:4 | expl:1 | fixed:1 | mark:7 | nmod:7 | nmod:poss:1 | nsubj:12 | nsubj:pass:1 | nummod:1 | obj:5 | obl:8 | punct:26 | xcomp:3
ROOT:1 | amod:1 | case:1 | conj:1 | nmod:poss:1 | obj:1 | obl:1 | punct:2,ROOT:39 | advcl:2 | advmod:20 | amod:11 | aux:4 | case:27 | cc:5 | ccomp:1 | compound:prt:5 | conj:4 | cop:1 | det:11 | expl:1 | fixed:2 | mark:4 | nmod:9 | nsubj:20 | nummod:3 | obj:16 | obl:18 | parataxis:2 | punct:43 | xcomp:2
ROOT:1 | acl:relcl:1 | advcl:1 | advmod:1 | case:1 | ccomp:1 | cop:1 | expl:1 | nmod:poss:1 | nsubj:3 | obl:1 | punct:1,ROOT:37 | advcl:1 | advmod:16 | amod:6 | aux:1 | case:17 | cc:2 | compound:prt:3 | conj:3 | cop:4 | det:10 | expl:1 | mark:2 | nmod:3 | nmod:poss:1 | nsubj:11 | nsubj:pass:3 | nummod:1 | obj:12 | obl:12 | punct:37 | xcomp:4
