Abstract_Entity_Counts,Generated_Abstract_Entity_Counts
,PRS:1
LOC:2,PRS:1
,TME:1
,LOC:1 | PRS:1
,LOC:2 | ORG:1 | PRS:1
,
,LOC:1 | PRS:1
,ORG:1
PRS:1,LOC:1 | PRS:2
PRS:1,LOC:2 | PRS:2
,PRS:1
,PRS:2
,PRS:1
,PRS:2
,PRS:1
,
TME:1,LOC:1 | ORG:2 | TME:1
,
LOC:1,LOC:1 | OBJ:2
,LOC:1 | OBJ:2
,LOC:1 | OBJ:3
OBJ:1 | PRS:1,OBJ:2 | ORG:2 | PRS:1 | TME:1
,LOC:1
,LOC:2 | PRS:1
,LOC:1 | PRS:1
PRS:1,LOC:1
,LOC:1 | ORG:1
,OBJ:1 | PRS:7
PRS:3,LOC:1 | OBJ:1 | PRS:8
LOC:1,ORG:1
,
,
,
,
LOC:2,LOC:8 | ORG:2 | PRS:1
LOC:1 | TME:1,LOC:6 | ORG:1 | PRS:1
LOC:1,LOC:6 | ORG:1 | PRS:2 | TME:1
,LOC:7 | ORG:1 | PRS:1 | TME:1
LOC:1 | PRS:2,LOC:4 | PRS:1
LOC:2,LOC:4 | ORG:2 | PRS:1
LOC:1,LOC:11 | ORG:1 | PRS:2 | TME:1
LOC:1,LOC:7 | ORG:4 | PRS:1
,LOC:3 | ORG:1
PRS:1,LOC:11 | ORG:4
LOC:2 | ORG:1,LOC:2 | ORG:2
,LOC:4 | ORG:4 | PRS:1
,LOC:1 | ORG:2
,
PRS:1,
LOC:1,LOC:1
,
,
LOC:1 | PRS:1,
LOC:2 | PRS:1,LOC:1 | PRS:3
,LOC:1 | PRS:1
,LOC:2 | ORG:2 | PRS:4
,ORG:1 | PRS:1
,LOC:3 | PRS:1 | TME:1
,LOC:3 | PRS:2 | TME:1
,LOC:3 | ORG:2
,LOC:3 | ORG:1 | PRS:1 | TME:1 | WRK:1
,LOC:2 | PRS:1
,LOC:2 | PRS:1 | WRK:1
,LOC:1 | ORG:2 | PRS:1
,LOC:1 | PRS:2 | WRK:1
TME:1,LOC:1 | PRS:1
PRS:1 | WRK:1,LOC:5 | ORG:1 | PRS:3
,LOC:3 | ORG:1 | PRS:1
,PRS:5
,ORG:1 | PRS:4
,PRS:6
,ORG:1 | PRS:2
,PRS:3
PRS:2,PRS:8
PRS:1 | WRK:1,PRS:5
PRS:3,PRS:7
PRS:1,PRS:5
PRS:1,LOC:1 | PRS:8
,ORG:1
,ORG:3
PRS:1,
,LOC:1 | ORG:1
,ORG:1 | PRS:5
LOC:3 | PRS:1,LOC:2 | ORG:3 | PRS:1
,LOC:2 | ORG:1 | PRS:1
,PRS:4
,PRS:1
,PRS:4
,LOC:1 | PRS:1
,PRS:3
,PRS:2
LOC:1,LOC:4
PRS:1 | TME:1,LOC:2 | PRS:10
,PRS:3
LOC:1 | PRS:1,ORG:2 | PRS:2
PRS:1,PRS:5
PRS:3,PRS:5
PRS:1,PRS:5
LOC:1 | ORG:1,LOC:1
,PRS:1
,ORG:1 | PRS:1 | TME:1
PRS:1,ORG:1 | PRS:1
,PRS:2
,PRS:1
,LOC:3
,LOC:3
,
,LOC:3
LOC:1,LOC:1 | PRS:3
,LOC:1 | PRS:1
,PRS:1
,PRS:1
,PRS:1
,PRS:1
,
,
,LOC:1
,
,LOC:1
ORG:1,ORG:1
LOC:1,LOC:1 | ORG:1 | PRS:4
,PRS:2
PRS:1,PRS:15
LOC:1 | ORG:1 | PRS:1,LOC:2 | PRS:17
PRS:2,LOC:1 | ORG:2 | PRS:16 | WRK:1
LOC:3 | PRS:6,LOC:2 | ORG:1 | PRS:12
LOC:3 | ORG:1 | PRS:11,PRS:10
ORG:1,LOC:5 | ORG:1 | PRS:1
PRS:1,OBJ:1 | PRS:1
,PRS:1
,
,PRS:1
,PRS:1
,LOC:2 | OBJ:1 | ORG:3
,LOC:2 | ORG:3
LOC:1,LOC:1 | ORG:4
,ORG:6
LOC:1,LOC:2 | ORG:2
,LOC:2 | ORG:2 | WRK:1
LOC:1 | ORG:1 | PRS:1,LOC:1
LOC:3 | PRS:4 | WRK:1,LOC:2
,LOC:1 | PRS:2
,LOC:1 | ORG:1
,LOC:3 | ORG:4 | PRS:2
,LOC:8 | PRS:2
LOC:1,LOC:4
ORG:1,LOC:8 | ORG:4 | PRS:3
LOC:1,LOC:4 | ORG:3 | PRS:5
,PRS:1 | WRK:1
LOC:2,PRS:2
,ORG:2
,
LOC:3 | PRS:2,LOC:1 | PRS:7 | TME:1
LOC:2,LOC:9
PRS:1,
,LOC:1
,LOC:3
,LOC:1 | ORG:1 | PRS:1
,LOC:2 | ORG:1
,LOC:3 | ORG:1
,LOC:7 | PRS:1
PRS:1,LOC:7 | PRS:1
LOC:1,LOC:8
LOC:1 | ORG:1,LOC:1 | ORG:3 | TME:1
,LOC:2 | ORG:1 | TME:1
,ORG:2 | TME:1
ORG:1 | TME:1,LOC:3 | ORG:2 | PRS:1 | TME:1
LOC:1 | ORG:1,LOC:2 | ORG:3 | TME:1
LOC:1 | ORG:3,LOC:4 | TME:1
,LOC:4 | ORG:4 | TME:1
LOC:3 | ORG:1,LOC:7 | ORG:2 | TME:1
,LOC:8 | ORG:4 | PRS:1 | TME:1
PRS:1,LOC:7 | ORG:1
LOC:3 | ORG:1,LOC:8 | ORG:1
,LOC:6 | TME:1
,LOC:1 | ORG:1 | PRS:2
LOC:1 | ORG:1,LOC:2 | PRS:1
PRS:2,LOC:1 | PRS:1
LOC:7 | ORG:3 | PRS:3 | WRK:1,LOC:1 | PRS:2
,LOC:3 | ORG:7 | PRS:1
LOC:1,LOC:8 | ORG:5 | PRS:1
LOC:1,LOC:1 | ORG:13
,ORG:8 | PRS:1
,LOC:2 | ORG:4 | PRS:1 | TME:1
,LOC:2
,LOC:1
,LOC:2
,LOC:1
,LOC:1
ORG:1,LOC:4 | ORG:1
LOC:1,LOC:1 | ORG:1
LOC:1,LOC:1
LOC:1 | ORG:2,LOC:1 | ORG:2
LOC:1,LOC:2
LOC:2,LOC:5 | PRS:2
,LOC:7 | PRS:1
,LOC:8 | PRS:3 | TME:1
PRS:1,
,
,PRS:1
LOC:1,PRS:1
,
PRS:1,ORG:1
,PRS:1
,PRS:1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,PRS:1
,
,
,
,
,PRS:5
PRS:1,PRS:3 | WRK:1
,
,WRK:1
,LOC:1
PRS:1,OBJ:4 | ORG:1 | PRS:1
PRS:2,ORG:1
,ORG:1
,
,
,
,PRS:2
,
,
,
,
,LOC:3 | ORG:1
,ORG:1
,LOC:1
,LOC:1 | PRS:1
,ORG:1
,
,
,LOC:4 | ORG:1 | PRS:1
,LOC:3 | ORG:2
,LOC:1
,
,
,ORG:2
,
,
PRS:1,
,MSR:1
,
,
,
,LOC:1 | PRS:2
,PRS:1
EVN:1,
,PRS:1
,ORG:1 | PRS:2 | TME:1
,PRS:1
,PRS:1 | WRK:1
,PRS:2
,PRS:1
,LOC:2 | ORG:1 | TME:1
PRS:2,ORG:3 | PRS:1 | WRK:1
PRS:4,PRS:1 | WRK:2
,LOC:1
,PRS:2
,ORG:2 | PRS:1
,
PRS:1,
,ORG:1 | PRS:2
,ORG:2 | PRS:1
,WRK:1
,ORG:1 | PRS:2
,PRS:2 | WRK:1
,ORG:1 | PRS:1
,PRS:1 | WRK:1
PRS:1,LOC:1 | PRS:1
,PRS:1
,
PRS:1,PRS:2
LOC:1 | PRS:1,PRS:3
,
,ORG:1 | PRS:1 | WRK:1
,PRS:2 | WRK:1
LOC:1,ORG:1 | PRS:1
,
,
,PRS:1
,
,PRS:1
,
LOC:10,LOC:3 | PRS:3
,LOC:4 | PRS:3
LOC:3,LOC:5 | PRS:1
,LOC:5 | PRS:2
LOC:7,LOC:3 | PRS:4
LOC:8 | MSR:1 | ORG:1,LOC:3 | PRS:2
TME:1,LOC:7 | PRS:1
,LOC:5 | PRS:1
PRS:2,LOC:2 | ORG:2 | PRS:1
,LOC:2 | PRS:2
,LOC:2
ORG:1,LOC:2
,LOC:2
,LOC:1 | ORG:1
,
LOC:1,LOC:1
,LOC:2 | ORG:1
,LOC:3 | ORG:1 | PRS:1
,LOC:2 | PRS:1
,ORG:2
,LOC:1 | PRS:1
PRS:2,LOC:3 | PRS:1
PRS:1,LOC:3 | PRS:1
,LOC:2
,
,WRK:1
ORG:1,
PRS:1 | WRK:1,
,
,
,
,
,
,
PRS:1,
,
LOC:5,LOC:6
,LOC:9
LOC:1,LOC:11
LOC:2,LOC:13
,LOC:8 | ORG:2
LOC:1,LOC:8
LOC:2,LOC:8 | ORG:1
LOC:1,LOC:13 | PRS:1
LOC:1,LOC:13
,LOC:7
LOC:1,LOC:5 | ORG:1 | PRS:3
,LOC:4 | PRS:1
LOC:1,LOC:3
,LOC:1
,LOC:1
,PRS:1
,
,
,PRS:1
,
,
,
,LOC:1 | ORG:2
,LOC:1 | WRK:1
,PRS:1 | WRK:1
,ORG:1
,OBJ:1
,OBJ:1
,OBJ:1
,OBJ:1
,OBJ:1
LOC:2 | PRS:2,LOC:4
LOC:1,LOC:2
LOC:6,LOC:5
PRS:2,LOC:4
PRS:1,LOC:4 | ORG:1
LOC:1,LOC:4 | ORG:1
,LOC:2
PRS:2,LOC:2
,LOC:1
,LOC:2 | MSR:1 | PRS:1
LOC:1,LOC:2
,LOC:4
LOC:1,LOC:3
LOC:2,LOC:3
LOC:1,LOC:3
,LOC:3
,LOC:1 | PRS:1
,LOC:2
,PRS:1
,ORG:1
,
TME:1,PRS:1
,
PRS:1,ORG:2
,
,
,LOC:1
,ORG:2
,PRS:1
,
,ORG:2
LOC:1,ORG:1
,WRK:1
PRS:1,LOC:6 | ORG:1 | PRS:2
,LOC:1 | ORG:1 | PRS:1
,
,ORG:1
,ORG:1 | PRS:3
,ORG:1
,ORG:2
,ORG:1
,PRS:1
,LOC:1
,ORG:2 | PRS:1
,LOC:1 | ORG:2 | PRS:1
,ORG:1 | PRS:3
LOC:1,ORG:3
,ORG:1
PRS:1,ORG:1 | TME:1
,
ORG:1 | PRS:1,ORG:1 | PRS:1 | TME:1
PRS:2 | TME:1,ORG:2 | PRS:3
,ORG:2 | PRS:2
,ORG:1 | PRS:1
,PRS:1
,ORG:2 | PRS:1
,LOC:1
,LOC:1
,LOC:1
,TME:1
,LOC:1
,LOC:2 | PRS:1 | TME:1
,LOC:1
,ORG:1
,LOC:1
,LOC:1
,LOC:2
,LOC:2
,LOC:1 | PRS:1
,LOC:1
,
,
,ORG:1
,ORG:1
,
,
,
,
,
,
,
LOC:1,ORG:1 | TME:1
,
,
LOC:1,PRS:1
,
,LOC:1
,PRS:2 | WRK:1
LOC:1,PRS:1
LOC:1,
PRS:1,LOC:1 | ORG:1 | PRS:1
LOC:2 | PRS:2,LOC:1 | PRS:1 | WRK:1
LOC:1 | TME:1,
LOC:1 | OBJ:1 | PRS:2,PRS:1
,WRK:1
LOC:2,LOC:23 | ORG:1 | PRS:1
,LOC:30 | ORG:1 | PRS:1
,LOC:29 | ORG:1
PRS:1,LOC:46 | ORG:3 | PRS:1 | TME:1
LOC:2,LOC:39 | ORG:1 | PRS:1 | TME:1
LOC:1,LOC:31 | ORG:3 | PRS:1
,LOC:32 | ORG:1 | PRS:3
LOC:4 | MSR:2 | ORG:2,LOC:47 | ORG:1 | PRS:1
,LOC:20 | ORG:1
LOC:5,LOC:43 | TME:1
LOC:9 | TME:1,LOC:21 | ORG:1 | PRS:1
,LOC:28 | ORG:1 | PRS:1 | TME:1
LOC:1,LOC:31 | ORG:1 | PRS:2 | TME:1
,PRS:2
PRS:1,PRS:2 | WRK:1
,ORG:2
ORG:1,ORG:2
,PRS:1
,ORG:1
,ORG:3
,ORG:1
ORG:1,LOC:1 | PRS:2
LOC:1,
,LOC:1
LOC:1 | PRS:1,LOC:1 | PRS:2
LOC:3,LOC:1 | PRS:2
LOC:4,
,LOC:3 | PRS:2
LOC:1,LOC:3
PRS:1,LOC:1 | TME:1
,LOC:2 | ORG:1
,LOC:3 | PRS:1
,LOC:2
,LOC:2
,LOC:1
,LOC:2
LOC:1,LOC:1
,LOC:2 | PRS:1
,LOC:1 | PRS:2
,PRS:1
,LOC:2 | PRS:2
,LOC:2 | PRS:2
TME:1,LOC:1 | PRS:2
,LOC:1 | PRS:1
ORG:1,LOC:1
LOC:2 | ORG:2,LOC:1
,LOC:2 | PRS:2
,LOC:1 | PRS:1
,LOC:2 | PRS:2
,LOC:4 | PRS:2
LOC:1,LOC:1
,PRS:1 | TME:1
,PRS:1
,PRS:1
,PRS:1
,PRS:1
,PRS:1
,PRS:1
LOC:3,LOC:19
LOC:1,LOC:16
LOC:9,LOC:10 | ORG:1
LOC:2,LOC:19
LOC:2,LOC:23
LOC:5 | ORG:1,LOC:19
LOC:5,LOC:14
LOC:2,LOC:17
PRS:1,LOC:17
LOC:5 | PRS:1,LOC:19
,LOC:18
LOC:3,LOC:17
LOC:1 | ORG:2,LOC:17 | ORG:1
LOC:3,LOC:18
LOC:1,LOC:24 | TME:1
LOC:11 | PRS:1 | TME:1,LOC:20
LOC:7 | PRS:2,LOC:18
LOC:3 | PRS:1,LOC:14
,LOC:1 | PRS:1
,PRS:2
,ORG:1 | PRS:2
,ORG:1 | PRS:1
LOC:1,LOC:1 | ORG:1 | TME:1
LOC:1,LOC:1
LOC:1,ORG:1 | PRS:1
,ORG:1 | PRS:1
,
,
,
,
,
,
,
,PRS:1
,
,
,
,
PRS:1,
,
,
OBJ:1,
,
,PRS:1
TME:1,
,
PRS:1,
,
,
,PRS:1
,OBJ:1
,
,
,
OBJ:1 | PRS:2,LOC:1
,
,
,
,
,
,
,
,
,
,
,LOC:1
,
,
LOC:1,
,
,
,PRS:1
,
,
,
LOC:1 | PRS:1 | TME:1,
,LOC:1
,
,
,
,
,
,
,
,
,
,LOC:2
,LOC:1
LOC:1,LOC:2
,LOC:3
,LOC:1
,ORG:1 | PRS:2
LOC:1 | PRS:1,PRS:3
LOC:1,ORG:1 | PRS:6
,ORG:2
,LOC:1 | ORG:5
,ORG:6
,ORG:2
ORG:1,ORG:6
,LOC:1 | ORG:4
,ORG:3
,ORG:6
,ORG:6
,ORG:5
,ORG:3
LOC:1,ORG:3
LOC:1,ORG:2
,ORG:2
,ORG:3
,ORG:3
,ORG:5
,
,EVN:1
,EVN:1
,ORG:1
,EVN:1
,PRS:3
PRS:1,PRS:3 | TME:2
,LOC:1 | PRS:4 | TME:2
PRS:1,LOC:1 | ORG:1
TME:1,PRS:1
,PRS:2
,LOC:1
,ORG:1
,LOC:1 | ORG:1 | TME:1
