Abstract_POS_Counts,Generated_Abstract_POS_Counts
ADP:3 | DET:3 | NOUN:6 | PUNCT:3,ADJ:1 | ADP:3 | ADV:5 | AUX:4 | CCONJ:3 | DET:5 | NOUN:7 | PART:1 | PRON:5 | PROPN:3 | PUNCT:8 | VERB:7
ADJ:6 | ADP:6 | ADV:14 | AUX:6 | CCONJ:3 | DET:5 | NOUN:11 | PART:1 | PRON:13 | PROPN:2 | PUNCT:8 | SCONJ:4 | VERB:11,ADJ:3 | ADP:5 | ADV:7 | AUX:2 | CCONJ:2 | DET:2 | NOUN:10 | PART:1 | PRON:7 | PROPN:2 | PUNCT:9 | SCONJ:2 | VERB:9
ADJ:4 | ADP:2 | ADV:1 | CCONJ:1 | DET:1 | NOUN:6 | PRON:1 | PUNCT:1 | VERB:1,ADJ:6 | ADP:3 | ADV:8 | AUX:1 | CCONJ:5 | DET:2 | NOUN:12 | PART:1 | PRON:6 | PROPN:2 | PUNCT:8 | SCONJ:1 | VERB:8
ADJ:2 | ADP:1 | ADV:1 | NOUN:1 | PART:1 | PRON:1 | PUNCT:3,ADJ:6 | ADP:7 | ADV:4 | AUX:1 | CCONJ:4 | DET:1 | NOUN:10 | PRON:8 | PROPN:3 | PUNCT:13 | VERB:6
DET:1 | NOUN:1 | PUNCT:1,ADJ:8 | ADP:13 | ADV:13 | AUX:4 | CCONJ:4 | DET:4 | NOUN:12 | NUM:1 | PART:3 | PRON:6 | PROPN:3 | PUNCT:9 | SCONJ:2 | VERB:9
ADP:3 | AUX:1 | DET:1 | NOUN:3 | PART:1 | PRON:4 | PUNCT:1 | VERB:1,ADJ:5 | ADP:6 | ADV:8 | AUX:4 | CCONJ:5 | DET:4 | NOUN:11 | PART:2 | PRON:8 | PROPN:1 | PUNCT:13 | SCONJ:2 | SYM:1 | VERB:12
ADP:1 | ADV:1 | NOUN:2 | PUNCT:1 | VERB:1,ADJ:5 | ADP:5 | ADV:11 | AUX:5 | CCONJ:8 | DET:3 | NOUN:11 | PART:3 | PRON:9 | PROPN:3 | PUNCT:14 | SCONJ:1 | SYM:1 | VERB:12
ADP:1 | NOUN:1 | PRON:1 | PUNCT:2,ADJ:4 | ADP:5 | ADV:6 | AUX:3 | CCONJ:4 | DET:3 | INTJ:1 | NOUN:13 | NUM:1 | PART:2 | PRON:9 | PROPN:1 | PUNCT:12 | SCONJ:2 | VERB:9
ADP:2 | ADV:1 | AUX:1 | CCONJ:1 | DET:2 | NOUN:5 | NUM:2 | PRON:2 | PROPN:2 | PUNCT:3 | SCONJ:1 | VERB:2,ADJ:2 | ADP:5 | ADV:6 | AUX:1 | CCONJ:4 | DET:3 | NOUN:9 | PART:1 | PRON:2 | PROPN:7 | PUNCT:6 | SCONJ:1 | VERB:7
ADJ:2 | ADP:3 | ADV:2 | AUX:2 | CCONJ:1 | DET:2 | NOUN:4 | PRON:4 | PROPN:2 | PUNCT:1 | VERB:2,ADJ:3 | ADP:6 | ADV:6 | AUX:4 | CCONJ:5 | NOUN:10 | PART:1 | PRON:9 | PROPN:4 | PUNCT:6 | SCONJ:1 | VERB:10
