Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADP:0.2000 | DET:0.2000 | NOUN:0.4000 | PUNCT:0.2000,ADJ:0.0192 | ADP:0.0577 | ADV:0.0962 | AUX:0.0769 | CCONJ:0.0577 | DET:0.0962 | NOUN:0.1346 | PART:0.0192 | PRON:0.0962 | PROPN:0.0577 | PUNCT:0.1538 | VERB:0.1346,15,52
ADJ:0.0667 | ADP:0.0667 | ADV:0.1556 | AUX:0.0667 | CCONJ:0.0333 | DET:0.0556 | NOUN:0.1222 | PART:0.0111 | PRON:0.1444 | PROPN:0.0222 | PUNCT:0.0889 | SCONJ:0.0444 | VERB:0.1222,ADJ:0.0492 | ADP:0.0820 | ADV:0.1148 | AUX:0.0328 | CCONJ:0.0328 | DET:0.0328 | NOUN:0.1639 | PART:0.0164 | PRON:0.1148 | PROPN:0.0328 | PUNCT:0.1475 | SCONJ:0.0328 | VERB:0.1475,90,61
ADJ:0.2222 | ADP:0.1111 | ADV:0.0556 | CCONJ:0.0556 | DET:0.0556 | NOUN:0.3333 | PRON:0.0556 | PUNCT:0.0556 | VERB:0.0556,ADJ:0.0952 | ADP:0.0476 | ADV:0.1270 | AUX:0.0159 | CCONJ:0.0794 | DET:0.0317 | NOUN:0.1905 | PART:0.0159 | PRON:0.0952 | PROPN:0.0317 | PUNCT:0.1270 | SCONJ:0.0159 | VERB:0.1270,18,63
ADJ:0.2000 | ADP:0.1000 | ADV:0.1000 | NOUN:0.1000 | PART:0.1000 | PRON:0.1000 | PUNCT:0.3000,ADJ:0.0952 | ADP:0.1111 | ADV:0.0635 | AUX:0.0159 | CCONJ:0.0635 | DET:0.0159 | NOUN:0.1587 | PRON:0.1270 | PROPN:0.0476 | PUNCT:0.2063 | VERB:0.0952,10,63
DET:0.3333 | NOUN:0.3333 | PUNCT:0.3333,ADJ:0.0879 | ADP:0.1429 | ADV:0.1429 | AUX:0.0440 | CCONJ:0.0440 | DET:0.0440 | NOUN:0.1319 | NUM:0.0110 | PART:0.0330 | PRON:0.0659 | PROPN:0.0330 | PUNCT:0.0989 | SCONJ:0.0220 | VERB:0.0989,3,91
ADP:0.2000 | AUX:0.0667 | DET:0.0667 | NOUN:0.2000 | PART:0.0667 | PRON:0.2667 | PUNCT:0.0667 | VERB:0.0667,ADJ:0.0610 | ADP:0.0732 | ADV:0.0976 | AUX:0.0488 | CCONJ:0.0610 | DET:0.0488 | NOUN:0.1341 | PART:0.0244 | PRON:0.0976 | PROPN:0.0122 | PUNCT:0.1585 | SCONJ:0.0244 | SYM:0.0122 | VERB:0.1463,15,82
ADP:0.1667 | ADV:0.1667 | NOUN:0.3333 | PUNCT:0.1667 | VERB:0.1667,ADJ:0.0549 | ADP:0.0549 | ADV:0.1209 | AUX:0.0549 | CCONJ:0.0879 | DET:0.0330 | NOUN:0.1209 | PART:0.0330 | PRON:0.0989 | PROPN:0.0330 | PUNCT:0.1538 | SCONJ:0.0110 | SYM:0.0110 | VERB:0.1319,6,91
ADP:0.2000 | NOUN:0.2000 | PRON:0.2000 | PUNCT:0.4000,ADJ:0.0533 | ADP:0.0667 | ADV:0.0800 | AUX:0.0400 | CCONJ:0.0533 | DET:0.0400 | INTJ:0.0133 | NOUN:0.1733 | NUM:0.0133 | PART:0.0267 | PRON:0.1200 | PROPN:0.0133 | PUNCT:0.1600 | SCONJ:0.0267 | VERB:0.1200,5,75
ADP:0.0833 | ADV:0.0417 | AUX:0.0417 | CCONJ:0.0417 | DET:0.0833 | NOUN:0.2083 | NUM:0.0833 | PRON:0.0833 | PROPN:0.0833 | PUNCT:0.1250 | SCONJ:0.0417 | VERB:0.0833,ADJ:0.0370 | ADP:0.0926 | ADV:0.1111 | AUX:0.0185 | CCONJ:0.0741 | DET:0.0556 | NOUN:0.1667 | PART:0.0185 | PRON:0.0370 | PROPN:0.1296 | PUNCT:0.1111 | SCONJ:0.0185 | VERB:0.1296,24,54
ADJ:0.0800 | ADP:0.1200 | ADV:0.0800 | AUX:0.0800 | CCONJ:0.0400 | DET:0.0800 | NOUN:0.1600 | PRON:0.1600 | PROPN:0.0800 | PUNCT:0.0400 | VERB:0.0800,ADJ:0.0462 | ADP:0.0923 | ADV:0.0923 | AUX:0.0615 | CCONJ:0.0769 | NOUN:0.1538 | PART:0.0154 | PRON:0.1385 | PROPN:0.0615 | PUNCT:0.0923 | SCONJ:0.0154 | VERB:0.1538,25,65
ADJ:0.0882 | ADP:0.0882 | ADV:0.1471 | AUX:0.1176 | DET:0.0294 | NOUN:0.1176 | NUM:0.0294 | PRON:0.0882 | PROPN:0.0588 | PUNCT:0.1471 | VERB:0.0882,ADJ:0.0625 | ADP:0.0739 | ADV:0.0909 | AUX:0.0341 | CCONJ:0.0398 | DET:0.0227 | NOUN:0.2045 | PART:0.0284 | PRON:0.0852 | PROPN:0.0057 | PUNCT:0.1534 | SCONJ:0.0398 | VERB:0.1591,34,176
ADJ:0.0800 | ADP:0.0200 | ADV:0.1400 | AUX:0.1200 | CCONJ:0.0600 | DET:0.0800 | NOUN:0.1600 | PART:0.0200 | PRON:0.0400 | PUNCT:0.1200 | SCONJ:0.0400 | VERB:0.1200,ADJ:0.0694 | ADP:0.0694 | ADV:0.0694 | AUX:0.0463 | CCONJ:0.0463 | DET:0.0370 | INTJ:0.0093 | NOUN:0.1944 | NUM:0.0093 | PART:0.0417 | PRON:0.0880 | PROPN:0.0231 | PUNCT:0.1620 | SCONJ:0.0139 | VERB:0.1204,50,216
ADJ:0.0968 | ADP:0.0645 | ADV:0.1129 | AUX:0.0323 | CCONJ:0.0968 | DET:0.0323 | NOUN:0.1613 | PART:0.0161 | PRON:0.1129 | PUNCT:0.0968 | SCONJ:0.0323 | VERB:0.1452,ADJ:0.0412 | ADP:0.0824 | ADV:0.1000 | AUX:0.0588 | CCONJ:0.0471 | DET:0.0412 | NOUN:0.1941 | NUM:0.0235 | PART:0.0118 | PRON:0.0824 | PROPN:0.0059 | PUNCT:0.1471 | SCONJ:0.0294 | VERB:0.1353,62,170
ADJ:0.0833 | ADV:0.0833 | DET:0.1667 | NOUN:0.1667 | PART:0.0833 | PROPN:0.0833 | PUNCT:0.2500 | VERB:0.0833,ADJ:0.0577 | ADP:0.0433 | ADV:0.1058 | AUX:0.0529 | CCONJ:0.0144 | DET:0.0385 | NOUN:0.1202 | NUM:0.0096 | PART:0.0288 | PRON:0.1298 | PROPN:0.0096 | PUNCT:0.1779 | SCONJ:0.0529 | VERB:0.1587,12,208
ADJ:0.0556 | ADP:0.0741 | ADV:0.2222 | AUX:0.0926 | CCONJ:0.0370 | DET:0.0185 | NOUN:0.1111 | PART:0.0370 | PRON:0.0741 | PUNCT:0.1296 | SCONJ:0.0185 | VERB:0.1296,ADJ:0.0541 | ADP:0.0878 | ADV:0.1149 | AUX:0.0338 | CCONJ:0.0338 | DET:0.0473 | NOUN:0.1689 | NUM:0.0068 | PART:0.0473 | PRON:0.0743 | PROPN:0.0068 | PUNCT:0.1419 | SCONJ:0.0203 | VERB:0.1622,54,148
ADP:0.1667 | DET:0.1667 | NOUN:0.3333 | PUNCT:0.3333,ADJ:0.0460 | ADP:0.1034 | ADV:0.1034 | AUX:0.0230 | CCONJ:0.0345 | DET:0.0460 | INTJ:0.0115 | NOUN:0.1954 | NUM:0.0115 | PART:0.0230 | PRON:0.0575 | PROPN:0.0230 | PUNCT:0.1609 | SCONJ:0.0115 | VERB:0.1494,6,87
ADJ:0.0714 | ADP:0.0714 | ADV:0.1429 | CCONJ:0.0714 | NOUN:0.2143 | PART:0.0714 | PRON:0.0714 | PUNCT:0.1429 | VERB:0.1429,ADJ:0.0213 | ADP:0.1383 | ADV:0.1064 | AUX:0.0106 | CCONJ:0.0106 | DET:0.0426 | NOUN:0.1809 | NUM:0.0213 | PART:0.0319 | PRON:0.1064 | PROPN:0.0426 | PUNCT:0.1277 | SCONJ:0.0106 | VERB:0.1489,14,94
ADV:0.2857 | NOUN:0.4286 | PART:0.1429 | PROPN:0.1429,ADJ:0.0392 | ADP:0.0882 | ADV:0.1078 | CCONJ:0.0294 | DET:0.0294 | NOUN:0.1471 | NUM:0.0098 | PART:0.0196 | PRON:0.1471 | PROPN:0.0098 | PUNCT:0.1176 | SCONJ:0.0784 | VERB:0.1765,7,102
ADV:0.1429 | AUX:0.0714 | CCONJ:0.0714 | NOUN:0.2857 | PRON:0.1429 | PUNCT:0.1429 | SCONJ:0.0714 | VERB:0.0714,ADJ:0.0422 | ADP:0.0904 | ADV:0.0843 | AUX:0.0241 | CCONJ:0.0120 | DET:0.0422 | NOUN:0.2229 | NUM:0.0060 | PART:0.0361 | PRON:0.1024 | PROPN:0.0241 | PUNCT:0.1928 | SCONJ:0.0361 | VERB:0.0843,14,166
ADJ:0.0588 | ADP:0.1176 | ADV:0.1765 | AUX:0.1176 | DET:0.0588 | NOUN:0.1765 | PRON:0.0588 | PUNCT:0.1765 | VERB:0.0588,ADJ:0.0467 | ADP:0.0800 | ADV:0.0867 | AUX:0.0267 | CCONJ:0.0267 | DET:0.0200 | NOUN:0.2000 | NUM:0.0067 | PART:0.0200 | PRON:0.0867 | PROPN:0.0267 | PUNCT:0.2133 | SCONJ:0.0600 | VERB:0.1000,17,150
ADJ:0.1111 | ADP:0.1111 | NOUN:0.2222 | PRON:0.2222 | PUNCT:0.2222 | VERB:0.1111,ADJ:0.0440 | ADP:0.1120 | ADV:0.0960 | AUX:0.0160 | CCONJ:0.0200 | DET:0.0400 | INTJ:0.0040 | NOUN:0.2320 | NUM:0.0160 | PART:0.0240 | PRON:0.0720 | PROPN:0.0080 | PUNCT:0.1760 | SCONJ:0.0160 | VERB:0.1240,9,250
ADJ:0.0714 | ADP:0.0714 | AUX:0.0714 | NOUN:0.1429 | PRON:0.2143 | PROPN:0.1429 | PUNCT:0.0714 | VERB:0.2143,ADJ:0.0695 | ADP:0.0909 | ADV:0.0749 | AUX:0.0267 | CCONJ:0.0107 | DET:0.0481 | NOUN:0.2193 | NUM:0.0053 | PART:0.0214 | PRON:0.0535 | PROPN:0.0374 | PUNCT:0.2086 | SCONJ:0.0107 | VERB:0.1230,14,187
ADJ:0.1250 | AUX:0.1250 | DET:0.1250 | NOUN:0.2500 | PUNCT:0.3750,ADJ:0.1250 | ADP:0.0625 | ADV:0.1042 | AUX:0.0208 | NOUN:0.1667 | PART:0.0208 | PRON:0.0417 | PUNCT:0.3125 | SCONJ:0.0208 | VERB:0.1250,8,48
ADJ:0.0769 | ADP:0.0769 | AUX:0.0769 | NOUN:0.1538 | PART:0.0769 | PRON:0.1538 | PUNCT:0.3077 | VERB:0.0769,ADJ:0.0972 | ADP:0.1111 | ADV:0.0556 | AUX:0.0694 | DET:0.0139 | NOUN:0.1806 | NUM:0.0278 | PART:0.0278 | PRON:0.0694 | PROPN:0.0278 | PUNCT:0.2083 | SCONJ:0.0556 | VERB:0.0556,13,72
ADJ:0.1364 | ADP:0.0455 | ADV:0.1364 | AUX:0.0455 | CCONJ:0.0455 | NOUN:0.0455 | PRON:0.0909 | PROPN:0.0455 | PUNCT:0.3636 | VERB:0.0455,ADJ:0.0843 | ADP:0.1084 | ADV:0.1084 | AUX:0.0120 | CCONJ:0.0120 | DET:0.0241 | NOUN:0.2048 | PRON:0.0361 | PROPN:0.0361 | PUNCT:0.3012 | SCONJ:0.0241 | VERB:0.0482,22,83
ADJ:0.1111 | ADP:0.1111 | ADV:0.1111 | NOUN:0.1111 | PROPN:0.2222 | PUNCT:0.3333,ADJ:0.1111 | ADP:0.0926 | ADV:0.0926 | AUX:0.0370 | NOUN:0.1667 | PART:0.0185 | PRON:0.0370 | PROPN:0.0370 | PUNCT:0.3333 | SCONJ:0.0185 | VERB:0.0556,9,54
ADJ:0.5000 | PUNCT:0.5000,ADJ:0.1429 | ADP:0.0989 | ADV:0.0769 | AUX:0.0440 | CCONJ:0.0440 | INTJ:0.0110 | NOUN:0.1319 | NUM:0.0110 | PART:0.0220 | PRON:0.0659 | PROPN:0.0220 | PUNCT:0.1648 | SCONJ:0.0659 | VERB:0.0989,6,91
ADJ:0.1111 | ADV:0.2222 | AUX:0.1111 | DET:0.1111 | NOUN:0.3333 | PUNCT:0.1111,ADJ:0.0441 | ADP:0.1029 | ADV:0.1029 | CCONJ:0.0294 | DET:0.0294 | NOUN:0.1176 | PART:0.0147 | PRON:0.0441 | PROPN:0.2059 | PUNCT:0.1618 | SCONJ:0.0294 | VERB:0.1176,9,68
ADJ:0.0476 | ADP:0.0476 | ADV:0.1429 | AUX:0.1429 | NOUN:0.0476 | PRON:0.0476 | PROPN:0.1905 | PUNCT:0.2381 | SCONJ:0.0476 | VERB:0.0476,ADJ:0.0769 | ADP:0.1026 | ADV:0.0641 | AUX:0.0256 | CCONJ:0.0385 | DET:0.0385 | NOUN:0.1026 | NUM:0.0256 | PART:0.0128 | PRON:0.0769 | PROPN:0.1923 | PUNCT:0.1410 | SCONJ:0.0128 | VERB:0.0897,21,78
ADJ:0.0625 | ADP:0.0625 | ADV:0.1250 | AUX:0.0625 | PART:0.0625 | PRON:0.2500 | PROPN:0.1250 | PUNCT:0.1250 | VERB:0.1250,ADJ:0.0571 | ADP:0.0571 | ADV:0.1000 | AUX:0.0429 | CCONJ:0.0143 | DET:0.0286 | NOUN:0.1571 | PART:0.0286 | PRON:0.1143 | PUNCT:0.1714 | SCONJ:0.0571 | VERB:0.1714,16,70
