Abstract_Dep_Counts,Generated_Abstract_Dep_Counts
ROOT:3 | case:3 | det:3 | nmod:3 | punct:3,ROOT:3 | acl:relcl:1 | advmod:11 | amod:3 | appos:2 | aux:1 | case:3 | cc:3 | conj:2 | cop:2 | det:5 | dislocated:1 | fixed:2 | mark:2 | nmod:2 | nsubj:3 | obj:3 | obl:1 | parataxis:1 | punct:12
ROOT:2 | acl:cleft:1 | acl:relcl:1 | advcl:6 | advmod:11 | amod:3 | appos:1 | aux:1 | case:4 | cc:3 | ccomp:1 | conj:3 | cop:4 | det:3 | expl:1 | fixed:2 | mark:6 | nmod:2 | nmod:poss:2 | nsubj:14 | obj:3 | obl:1 | obl:agent:1 | parataxis:3 | punct:8 | xcomp:3,ROOT:4 | advcl:2 | advmod:9 | amod:1 | aux:1 | case:4 | cc:6 | compound:prt:1 | conj:7 | cop:1 | det:1 | fixed:1 | mark:3 | nmod:1 | nmod:poss:1 | nsubj:5 | obj:6 | obl:3 | punct:7
ROOT:3 | advmod:1 | amod:2 | case:2 | cc:2 | conj:1 | det:1 | nsubj:1 | obj:1 | obl:1 | punct:3,ROOT:5 | advcl:3 | advmod:11 | amod:2 | aux:1 | case:6 | cc:6 | compound:prt:2 | conj:8 | cop:2 | csubj:1 | det:5 | mark:2 | nmod:1 | nsubj:6 | obj:5 | obl:6 | punct:7
ROOT:2 | advmod:2 | case:1 | conj:1 | nmod:poss:1 | punct:3,ROOT:5 | acl:1 | acl:relcl:1 | advcl:6 | advmod:12 | amod:2 | aux:5 | case:8 | cc:4 | compound:prt:3 | conj:7 | cop:2 | dep:1 | det:4 | fixed:1 | mark:4 | nsubj:5 | obj:4 | obl:7 | punct:10 | xcomp:1
ROOT:1 | det:1 | punct:1,ROOT:5 | advcl:2 | advmod:15 | amod:4 | aux:1 | case:3 | cc:3 | compound:prt:1 | conj:4 | cop:2 | csubj:1 | dep:1 | det:2 | expl:1 | fixed:1 | mark:3 | nmod:1 | nmod:poss:1 | nsubj:3 | obj:4 | obl:2 | parataxis:2 | punct:9
ROOT:2 | acl:relcl:1 | advmod:1 | case:3 | det:1 | nsubj:2 | obj:1 | obl:3 | punct:1,ROOT:4 | acl:relcl:2 | advcl:1 | advmod:12 | aux:1 | case:3 | cc:5 | ccomp:1 | compound:prt:1 | conj:4 | cop:5 | det:2 | expl:2 | fixed:2 | mark:8 | nsubj:8 | obj:1 | obl:2 | obl:agent:1 | punct:10 | xcomp:4
ROOT:1 | advmod:1 | case:1 | nsubj:1 | obl:1 | punct:1,ROOT:4 | acl:1 | acl:relcl:2 | advcl:3 | advmod:12 | amod:2 | aux:3 | case:6 | cc:5 | ccomp:1 | compound:prt:3 | conj:5 | cop:3 | dep:1 | det:4 | expl:2 | fixed:1 | mark:6 | nsubj:8 | nsubj:pass:1 | obj:2 | obl:5 | parataxis:3 | punct:8 | xcomp:4
ROOT:2 | case:1 | punct:2,ROOT:4 | acl:2 | acl:relcl:2 | advmod:8 | amod:2 | aux:3 | case:4 | cc:7 | compound:prt:2 | conj:2 | cop:2 | det:3 | fixed:2 | mark:4 | nmod:1 | nmod:poss:1 | nsubj:9 | nsubj:pass:1 | nummod:1 | obj:3 | obl:3 | punct:4 | xcomp:2
ROOT:2 | acl:relcl:1 | advmod:1 | case:3 | cc:2 | cop:1 | det:2 | expl:1 | flat:name:1 | nmod:1 | nmod:poss:2 | nsubj:1 | nsubj:pass:1 | obl:3 | punct:2,ROOT:5 | acl:relcl:1 | advcl:1 | advmod:13 | case:8 | cc:9 | compound:prt:2 | conj:11 | cop:2 | expl:1 | fixed:2 | flat:name:3 | mark:3 | nmod:4 | nsubj:8 | obj:2 | obl:6 | parataxis:1 | punct:10 | xcomp:2
ROOT:2 | advmod:3 | amod:1 | aux:1 | case:2 | cc:1 | conj:1 | cop:1 | det:2 | expl:1 | fixed:1 | flat:name:1 | iobj:1 | nmod:poss:1 | nsubj:2 | obj:1 | obl:2 | punct:1,ROOT:3 | acl:relcl:1 | advcl:1 | advmod:9 | amod:2 | aux:1 | case:5 | cc:1 | ccomp:1 | compound:prt:1 | conj:2 | cop:2 | expl:1 | fixed:2 | flat:name:2 | nmod:1 | nsubj:4 | obj:3 | obl:6 | punct:12 | xcomp:1
