Abstract_Entities,Generated_Abstract_Entities
,Ica:ORG
"västerbotten:LOC,östergötland:LOC",
,
,
,
,
,
,Sweddit”-känslan:ORG
Svensson Svensson:PRS,"Svensson Svensson:PRS,Wallace & Gromit:PRS,Svensson Svensson:PRS,SVT:ORG,Wallace & Gromit:PRS"
Svensson Svensson:PRS,"Svensson Svensson:PRS,SVT Play:ORG"
,FOMO:ORG
,
,"solo-nyår:PRS,några gånger:MSR"
,"solo-nyår:PRS,FOMO:ORG"
,
,
förra året:TME,
,"Audi:OBJ,Tesla:ORG,elspis:OBJ,Ica:ORG"
riksmongo:LOC,"BMW:OBJ,Audi:OBJ,Volvo:OBJ"
,Audi:OBJ
,"BMW:OBJ,München:LOC,Audi:OBJ,Volvo:OBJ"
"norrman:PRS,BMW:OBJ",
,dyngrak:LOC
,dyngrak:LOC
,dyngrak:LOC
Anna Sjödin:PRS,dyngrak:LOC
,dyngrak:LOC
,"Birk:PRS,Astrid Lindgren:PRS,Borkason:PRS,Björn Björnsson:PRS"
"Bork Birkason:PRS,Edit:PRS,Borkason:PRS","Birk:PRS,Astrid Lindgren:PRS,Borkason:PRS,Emil Andersson:PRS,Johan Svensson:PRS,Birk Borkason:PRS"
Danmark:LOC,
,
,
,
,
"Tyskland:LOC,Stockholm:LOC","Sthlm:LOC,Resident Advisor:ORG,Stockholm:LOC"
"stockholm:LOC,på nyår:TME","Berlin:LOC,Resident Advisor:ORG,Stockholm:LOC"
Moon:LOC,"Sthlm:LOC,Söder:LOC,Sthlm:LOC,Insta/:ORG,Patricia:PRS,hardgroove:PRS"
,"Göteborg:LOC,Skansen:LOC,Kronan:LOC,Skansberget:LOC,Masthuggskyrkan:ORG,Klippan:LOC,Eriksberg:LOC"
"http://www.goteborg.com/nyarsfirande-i-goteborg/:PRS,liseberg:PRS,Finland:LOC","Göteborg:LOC,Masthuggskajen:LOC,Skansen Kronan:ORG,Slottsskogen:LOC,Haga:LOC,vasastan:LOC"
"Park Lane:LOC,Trädgårn:LOC","Göteborg:LOC,Skansen:LOC,Kronan:LOC,Skansberget:LOC,Masthuggskyrkan:ORG,Älvsborgsbron:LOC,Avalon:PRS,Linné:PRS,Haga:LOC,Järntorget:LOC"
Halmstad:LOC,"Göteborg:LOC,Haga:LOC,Linné:PRS,tidigt på kvällen:TME,Skansen:LOC,Ramberget:LOC,Änggårdsbergen:LOC"
USA:LOC,"USA:LOC,Sverige:LOC"
,"Sverige:LOC,Sverige:LOC,EU:ORG,Cambridge:LOC"
Khan Academy:PRS,"Sverige:LOC,Cambridge:LOC"
"Sverige:LOC,Skottland:LOC,CSN:ORG","Sverige:LOC,Sverige:LOC,Sverige:LOC"
,"Sverige:LOC,Sverige:LOC,Cambridge:LOC,UK/:ORG,USA:LOC,Canada:LOC"
,
,
Carolin:PRS,
Afghanistan:LOC,
,
,
