Abstract_POS_Counts,Generated_Abstract_POS_Counts
ADP:3 | DET:3 | NOUN:6 | PUNCT:3,ADJ:7 | ADP:3 | ADV:12 | AUX:3 | CCONJ:2 | DET:5 | NOUN:11 | PRON:3 | PROPN:1 | PUNCT:12 | SCONJ:2 | VERB:2
ADJ:6 | ADP:6 | ADV:14 | AUX:6 | CCONJ:3 | DET:5 | NOUN:11 | PART:1 | PRON:13 | PROPN:2 | PUNCT:8 | SCONJ:4 | VERB:11,ADJ:3 | ADP:5 | ADV:11 | AUX:2 | CCONJ:4 | DET:1 | NOUN:11 | PART:1 | PRON:7 | PROPN:1 | PUNCT:6 | SCONJ:1 | SYM:2 | VERB:8
ADJ:4 | ADP:2 | ADV:1 | CCONJ:1 | DET:1 | NOUN:6 | PRON:1 | PUNCT:1 | VERB:1,ADJ:7 | ADP:6 | ADV:15 | AUX:3 | CCONJ:5 | DET:2 | NOUN:11 | PART:2 | PRON:9 | PUNCT:7 | SCONJ:1 | SYM:1 | VERB:10
ADJ:2 | ADP:1 | ADV:1 | NOUN:1 | PART:1 | PRON:1 | PUNCT:3,ADJ:10 | ADP:7 | ADV:14 | AUX:7 | CCONJ:3 | DET:4 | NOUN:13 | PART:2 | PRON:5 | PUNCT:11 | SCONJ:3 | SYM:2 | VERB:12
DET:1 | NOUN:1 | PUNCT:1,ADJ:8 | ADP:5 | ADV:14 | AUX:3 | CCONJ:3 | DET:2 | NOUN:9 | PART:4 | PRON:5 | PUNCT:9 | VERB:9
ADP:3 | AUX:1 | DET:1 | NOUN:3 | PART:1 | PRON:4 | PUNCT:1 | VERB:1,ADJ:6 | ADP:5 | ADV:11 | AUX:4 | CCONJ:4 | DET:2 | INTJ:1 | NOUN:7 | PART:3 | PRON:11 | PUNCT:12 | SCONJ:6 | VERB:7
ADP:1 | ADV:1 | NOUN:2 | PUNCT:1 | VERB:1,ADJ:11 | ADP:7 | ADV:12 | AUX:7 | CCONJ:3 | DET:5 | INTJ:1 | NOUN:11 | NUM:1 | PART:1 | PRON:11 | PUNCT:8 | SCONJ:6 | SYM:2 | VERB:9
ADP:1 | NOUN:1 | PRON:1 | PUNCT:2,ADJ:4 | ADP:8 | ADV:8 | AUX:5 | CCONJ:5 | DET:3 | NOUN:9 | NUM:1 | PART:2 | PRON:10 | PUNCT:5 | SCONJ:3 | VERB:9
ADP:2 | ADV:1 | AUX:1 | CCONJ:1 | DET:2 | NOUN:5 | NUM:2 | PRON:2 | PROPN:2 | PUNCT:3 | SCONJ:1 | VERB:2,ADJ:3 | ADP:7 | ADV:17 | AUX:2 | CCONJ:5 | NOUN:14 | PART:2 | PRON:7 | PROPN:10 | PUNCT:9 | SCONJ:2 | SYM:6 | VERB:10
ADJ:2 | ADP:3 | ADV:2 | AUX:2 | CCONJ:1 | DET:2 | NOUN:4 | PRON:4 | PROPN:2 | PUNCT:1 | VERB:2,ADJ:3 | ADP:4 | ADV:11 | AUX:3 | CCONJ:1 | NOUN:11 | PRON:4 | PROPN:5 | PUNCT:9 | SCONJ:1 | SYM:3 | VERB:6
ADJ:3 | ADP:3 | ADV:5 | AUX:4 | DET:1 | NOUN:4 | NUM:1 | PRON:3 | PROPN:2 | PUNCT:5 | VERB:3,ADJ:19 | ADP:16 | ADV:24 | AUX:13 | CCONJ:6 | DET:5 | INTJ:1 | NOUN:39 | NUM:2 | PART:8 | PRON:22 | PUNCT:34 | SCONJ:6 | SYM:1 | VERB:21
ADJ:4 | ADP:1 | ADV:7 | AUX:6 | CCONJ:3 | DET:4 | NOUN:8 | PART:1 | PRON:2 | PUNCT:6 | SCONJ:2 | VERB:6,ADJ:22 | ADP:16 | ADV:28 | AUX:17 | CCONJ:14 | DET:11 | NOUN:45 | NUM:1 | PART:6 | PRON:31 | PUNCT:37 | SCONJ:11 | SYM:1 | VERB:31
ADJ:6 | ADP:4 | ADV:7 | AUX:2 | CCONJ:6 | DET:2 | NOUN:10 | PART:1 | PRON:7 | PUNCT:6 | SCONJ:2 | VERB:9,ADJ:23 | ADP:17 | ADV:35 | AUX:20 | CCONJ:11 | DET:8 | INTJ:1 | NOUN:45 | NUM:2 | PART:11 | PRON:28 | PROPN:1 | PUNCT:45 | SCONJ:12 | SYM:2 | VERB:31
ADJ:1 | ADV:1 | DET:2 | NOUN:2 | PART:1 | PROPN:1 | PUNCT:3 | VERB:1,ADJ:19 | ADP:16 | ADV:42 | AUX:18 | CCONJ:15 | DET:12 | NOUN:48 | NUM:3 | PART:6 | PRON:35 | PROPN:1 | PUNCT:39 | SCONJ:8 | SYM:2 | VERB:27
ADJ:3 | ADP:4 | ADV:12 | AUX:5 | CCONJ:2 | DET:1 | NOUN:6 | PART:2 | PRON:4 | PUNCT:7 | SCONJ:1 | VERB:7,ADJ:22 | ADP:13 | ADV:24 | AUX:16 | CCONJ:12 | DET:11 | NOUN:37 | NUM:2 | PART:7 | PRON:18 | PUNCT:20 | SCONJ:6 | SYM:4 | VERB:21
ADP:1 | DET:1 | NOUN:2 | PUNCT:2,ADJ:8 | ADP:8 | ADV:14 | AUX:1 | CCONJ:3 | DET:3 | NOUN:12 | NUM:2 | PART:1 | PRON:5 | PROPN:2 | PUNCT:8 | SCONJ:3 | SYM:2 | VERB:7
ADJ:1 | ADP:1 | ADV:2 | CCONJ:1 | NOUN:3 | PART:1 | PRON:1 | PUNCT:2 | VERB:2,ADJ:8 | ADP:8 | ADV:14 | AUX:1 | CCONJ:4 | DET:4 | NOUN:14 | NUM:1 | PART:2 | PRON:11 | PROPN:2 | PUNCT:14 | SCONJ:5 | SYM:2 | VERB:18
ADV:2 | NOUN:3 | PART:1 | PROPN:1,ADJ:10 | ADP:19 | ADV:17 | AUX:4 | CCONJ:5 | DET:6 | NOUN:33 | PART:5 | PRON:17 | PROPN:4 | PUNCT:56 | SCONJ:3 | SYM:1 | VERB:21
ADV:2 | AUX:1 | CCONJ:1 | NOUN:4 | PRON:2 | PUNCT:2 | SCONJ:1 | VERB:1,ADJ:8 | ADP:11 | ADV:26 | AUX:9 | CCONJ:7 | DET:4 | NOUN:25 | NUM:1 | PART:2 | PRON:20 | PROPN:3 | PUNCT:38 | SCONJ:5 | VERB:16
ADJ:1 | ADP:2 | ADV:3 | AUX:2 | DET:1 | NOUN:3 | PRON:1 | PUNCT:3 | VERB:1,ADJ:8 | ADP:7 | ADV:11 | AUX:6 | CCONJ:5 | DET:7 | NOUN:22 | PART:3 | PRON:11 | PROPN:1 | PUNCT:29 | SCONJ:5 | VERB:13
ADJ:1 | ADP:1 | NOUN:2 | PRON:2 | PUNCT:2 | VERB:1,ADJ:13 | ADP:17 | ADV:19 | AUX:14 | CCONJ:14 | DET:6 | NOUN:33 | NUM:1 | PART:3 | PRON:25 | PROPN:5 | PUNCT:49 | SCONJ:6 | VERB:17
ADJ:1 | ADP:1 | AUX:1 | NOUN:2 | PRON:3 | PROPN:2 | PUNCT:1 | VERB:3,ADJ:6 | ADP:8 | ADV:17 | AUX:11 | CCONJ:8 | DET:2 | NOUN:21 | PART:1 | PRON:17 | PROPN:2 | PUNCT:31 | SCONJ:8 | VERB:15
ADJ:1 | AUX:1 | DET:1 | NOUN:2 | PUNCT:3,ADJ:15 | ADP:13 | ADV:8 | AUX:3 | CCONJ:3 | DET:2 | NOUN:17 | PRON:7 | PUNCT:33 | SCONJ:8 | SYM:1 | VERB:7
ADJ:1 | ADP:1 | AUX:1 | NOUN:2 | PART:1 | PRON:2 | PUNCT:4 | VERB:1,ADJ:12 | ADP:4 | ADV:8 | AUX:5 | CCONJ:4 | NOUN:11 | PRON:7 | PUNCT:62 | SCONJ:4 | SYM:1 | VERB:4
ADJ:3 | ADP:1 | ADV:3 | AUX:1 | CCONJ:1 | NOUN:1 | PRON:2 | PROPN:1 | PUNCT:8 | VERB:1,ADJ:6 | ADP:7 | ADV:8 | AUX:3 | CCONJ:2 | NOUN:14 | PRON:3 | PUNCT:34 | SCONJ:1 | VERB:5
ADJ:1 | ADP:1 | ADV:1 | NOUN:1 | PROPN:2 | PUNCT:3,ADJ:10 | ADP:5 | ADV:13 | AUX:6 | CCONJ:3 | DET:1 | NOUN:7 | PART:1 | PRON:5 | PUNCT:32 | SCONJ:1 | SYM:1 | VERB:4
ADJ:3 | PUNCT:3,ADJ:7 | ADP:5 | ADV:9 | AUX:4 | CCONJ:1 | NOUN:8 | PRON:6 | PUNCT:66 | SCONJ:3 | VERB:6
ADJ:1 | ADV:2 | AUX:1 | DET:1 | NOUN:3 | PUNCT:1,ADJ:7 | ADP:5 | ADV:9 | AUX:1 | CCONJ:4 | DET:1 | INTJ:2 | NOUN:10 | PART:1 | PRON:4 | PROPN:6 | PUNCT:16 | SCONJ:1 | VERB:4
ADJ:1 | ADP:1 | ADV:3 | AUX:3 | NOUN:1 | PRON:1 | PROPN:4 | PUNCT:5 | SCONJ:1 | VERB:1,ADJ:4 | ADP:4 | ADV:14 | AUX:4 | CCONJ:6 | DET:3 | INTJ:1 | NOUN:11 | PRON:7 | PROPN:10 | PUNCT:17 | SCONJ:3 | VERB:9
ADJ:1 | ADP:1 | ADV:2 | AUX:1 | PART:1 | PRON:4 | PROPN:2 | PUNCT:2 | VERB:2,ADJ:3 | ADP:5 | ADV:8 | AUX:5 | CCONJ:3 | DET:3 | NOUN:9 | PART:2 | PRON:9 | PUNCT:8 | SCONJ:1 | VERB:5
ADJ:1 | ADP:1 | ADV:5 | AUX:3 | CCONJ:2 | DET:2 | NOUN:5 | PART:1 | PRON:4 | PUNCT:2 | SCONJ:3 | VERB:4,ADJ:3 | ADP:5 | ADV:4 | AUX:2 | CCONJ:2 | DET:4 | INTJ:2 | NOUN:12 | PART:2 | PRON:8 | PUNCT:7 | SCONJ:1 | VERB:7
