word,human_count,ai_count,diff
vara,508,231,277
denna,210,191,19
samt,185,191,-6
resultat,144,0,144
syfte,141,0,141
visa,136,0,136
företag,126,0,126
studi,110,146,-36
använda,105,0,105
metod,91,0,91
se,87,0,87
studie,86,0,86
undersöka,83,0,83
arbete,79,118,-39
undersökning,75,0,75
intervju,70,0,70
påverka,67,186,-119
barn,67,0,67
ta,63,0,63
sätt,60,0,60
uppsats,0,188,-188
utgångspunkt,0,108,-108
analysera,0,85,-85
skapa,0,109,-109
sammanfattningsvis,0,109,-109
fokus,0,122,-122
exempelvis,0,105,-105
central,0,102,-102
både,0,129,-129
bidra,0,128,-128
belyse,0,91,-91
behov,0,101,-101
behandla,0,109,-109
relation,0,89,-89
