word,human_count,ai_count,diff
vara,508,585,-77
denna,210,0,210
samt,185,0,185
resultat,144,0,144
syfte,141,0,141
visa,136,0,136
företag,126,0,126
studi,110,0,110
använda,105,0,105
metod,91,0,91
se,87,0,87
studie,86,0,86
undersöka,83,0,83
arbete,79,114,-35
undersökning,75,0,75
intervju,70,0,70
barn,67,0,67
påverka,67,181,-114
ta,63,196,-133
sätt,60,150,-90
fungera,0,158,-158
både,0,147,-147
utgångspunkt,0,127,-127
uppsats,0,167,-167
tydlig,0,169,-169
fokus,0,116,-116
faktisk,0,131,-131
ge,0,167,-167
skapa,0,189,-189
samtidig,0,166,-166
fråga,0,168,-168
relation,0,113,-113
praktik,0,116,-116
handla,0,136,-136
viss,0,118,-118
