word,human_count,ai_count,diff
vara,1458,2992,-1534
ju,293,397,-104
ta,192,429,-237
se,185,434,-249
väl,122,0,122
dom,116,0,116
tro,111,0,111
själv,102,246,-144
sen,98,0,98
tycka,98,206,-108
år,97,0,97
veta,96,0,96
använda,94,0,94
denna,93,0,93
barn,88,0,88
röka,88,0,88
svensk,85,0,85
fråga,81,345,-264
folk,79,196,-117
tänka,78,0,78
kännas,0,217,-217
hoppas,0,210,-210
handla,0,319,-319
ge,0,311,-311
förstå,0,194,-194
känna,0,295,-295
kolla,0,404,-404
intressant,0,228,-228
hej,0,185,-185
lycka,0,209,-209
låta,0,361,-361
viss,0,240,-240
