word,human_count,ai_count,diff
vara,1458,2974,-1516
ju,293,766,-473
ta,192,422,-230
se,185,517,-332
väl,122,0,122
dom,116,0,116
tro,111,290,-179
själv,102,227,-125
tycka,98,270,-172
sen,98,0,98
år,97,0,97
veta,96,0,96
använda,94,0,94
denna,93,0,93
barn,88,0,88
röka,88,0,88
svensk,85,0,85
fråga,81,343,-262
folk,79,0,79
tänka,78,0,78
ge,0,272,-272
viss,0,267,-267
förstå,0,264,-264
kolla,0,455,-455
handla,0,386,-386
känna,0,351,-351
hej,0,241,-241
hoppas,0,325,-325
intressant,0,249,-249
låta,0,345,-345
kännas,0,336,-336
lycka,0,286,-286
