judge,generator,register,condition,n,n_correct,n_ai,n_human,overall_acc,overall_lo,overall_hi,balanced_acc,human_recall,ai_recall,conf_correct,conf_wrong
claude,gpt-4o-mini,ALL,_HEADLINE_,300,294,100,200,0.98,0.9570603791821394,0.9908023684422963,0.97,1.0,0.94,81.89795918367346,74.83333333333333
claude,gpt-5.2,ALL,_HEADLINE_,800,680,600,200,0.85,0.8235866510331091,0.8730681356229177,0.9,1.0,0.8,81.88823529411765,72.65833333333333
claude,gpt-5.6,ALL,_HEADLINE_,500,364,300,200,0.728,0.6873673929547526,0.7651559077947796,0.7733333333333333,1.0,0.5466666666666666,78.76923076923077,72.78676470588235
claude,mistral,ALL,_HEADLINE_,500,458,300,200,0.916,0.888400685539819,0.9372558631961696,0.9299999999999999,1.0,0.86,77.77947598253274,70.64285714285714
deepseek,gpt-4o-mini,ALL,_HEADLINE_,300,189,100,200,0.63,0.5740445552913591,0.6826682721902588,0.5575,0.775,0.34,82.28571428571429,82.27027027027027
deepseek,gpt-5.2,ALL,_HEADLINE_,800,335,600,200,0.41875,0.38503078062137897,0.4532457867620435,0.5375,0.775,0.3,81.71940298507462,86.69677419354839
deepseek,gpt-5.6,ALL,_HEADLINE_,500,215,300,200,0.43,0.38730164759035934,0.4737657600742581,0.48750000000000004,0.775,0.2,80.76279069767442,82.34035087719299
deepseek,mistral,ALL,_HEADLINE_,500,216,300,200,0.432,0.3892622537365845,0.47577465656618667,0.4891666666666667,0.775,0.20333333333333334,80.625,83.25352112676056
gemini,gpt-4o-mini,ALL,_HEADLINE_,300,277,100,200,0.9233333333333333,0.8875898961498251,0.9483723882133924,0.8925000000000001,0.985,0.8,91.5595667870036,84.04347826086956
gemini,gpt-5.2,ALL,_HEADLINE_,800,547,600,200,0.68375,0.6507138985281875,0.7150298644662265,0.7841666666666667,0.985,0.5833333333333334,91.59597806215722,91.18577075098814
gemini,gpt-5.6,ALL,_HEADLINE_,500,230,300,200,0.46,0.4167851025299866,0.5038248447069378,0.5475,0.985,0.11,90.39565217391305,91.58518518518518
gemini,mistral,ALL,_HEADLINE_,260,240,60,200,0.9230769230769231,0.8841791303553266,0.9496549493353537,0.8508333333333333,0.985,0.7166666666666667,90.40416666666667,79.25
