judge,register,condition,n,n_correct,recall,wilson_lo,wilson_hi
claude,formal,human,100,100,1.0,0.9630065017930143,1.0
claude,formal,baseline,100,100,1.0,0.9630065017930143,1.0
claude,formal,human_like,100,100,1.0,0.9630065017930143,1.0
claude,formal,detector_evasive,100,100,1.0,0.9630065017930143,1.0
claude,formal,_ALL_,400,400,1.0,0.9904877056657034,0.9999999999999999
claude,informal,human,100,100,1.0,0.9630065017930143,1.0
claude,informal,baseline,100,94,0.94,0.8752318455410406,0.9722138760368118
claude,informal,human_like,100,73,0.73,0.6356788323205499,0.8073041585042365
claude,informal,detector_evasive,100,38,0.38,0.29097599252478734,0.47790244704488916
claude,informal,_ALL_,400,305,0.7625,0.7184235572819022,0.8015824881925919
deepseek,formal,human,100,69,0.69,0.5937394428051057,0.7722030278762395
deepseek,formal,baseline,100,47,0.47,0.3751081795934127,0.5671114302990063
deepseek,formal,human_like,100,35,0.35,0.26364248243097527,0.44745556703112027
deepseek,formal,detector_evasive,100,92,0.92,0.8500189229905127,0.9589065385156194
deepseek,formal,_ALL_,400,243,0.6075,0.5588413833413011,0.6541134733768252
deepseek,informal,human,100,86,0.86,0.7786281178903616,0.9147365634006086
deepseek,informal,baseline,100,34,0.34,0.25461520797348164,0.43722271145275377
deepseek,informal,human_like,100,1,0.01,0.0017674320641406505,0.054486196178705315
deepseek,informal,detector_evasive,100,0,0.0,3.469446951953614e-18,0.03699349820698568
deepseek,informal,_ALL_,400,121,0.3025,0.25953936408389566,0.3492179921781514
gemini,formal,human,100,100,1.0,0.9630065017930143,1.0
gemini,formal,baseline,100,96,0.96,0.9016292856411208,0.9843366960084523
gemini,formal,human_like,100,100,1.0,0.9630065017930143,1.0
gemini,formal,detector_evasive,100,100,1.0,0.9630065017930143,1.0
gemini,formal,_ALL_,400,396,0.99,0.9745734353473804,0.996104516205009
gemini,informal,human,100,97,0.97,0.9154806357094724,0.9897454759759611
gemini,informal,baseline,100,80,0.8,0.7111708344068411,0.8666330666689676
gemini,informal,human_like,100,37,0.37,0.28182360534324524,0.4677947041905709
gemini,informal,detector_evasive,100,8,0.08,0.041093461484380624,0.14998107700948735
gemini,informal,_ALL_,400,222,0.555,0.506004433664882,0.6029492139583456
