order,thread_order,question,comment_order,text,is_human,condition,source_row
1,1,Vad gör Sweddit med folien på smörpaketen? Jag brukar alltid ta loss all folie direkt. Vad gör ni?,1,"Jag river också bort folien direkt, orkar inte stå och fippla varje gång man ska hyvla lite smör. Brukar spara pappret som “lock” bara så det inte tar smak av kylskåpet. Har en kompis som viker folien fint runt kanten som nån jäkla origami och kör den tills paketet är slut… fattar inte hur mycket tid folk har.",False,baseline,125
2,1,Vad gör Sweddit med folien på smörpaketen? Jag brukar alltid ta loss all folie direkt. Vad gör ni?,2,"Jag brukar också slita av folien direkt, känns liksom enklare. Men jag har kompisar som har kvar den tills de har använt smöret, typ för att det ska bevara friskheten eller nåt. Jag har aldrig fattat grejen, haha. Plus, jag glömmer alltid bort att ens ta av det innan jag ska smöra mackan. Man får leva med sin slarviga stil, eller?",False,detector_aware,121
3,1,Vad gör Sweddit med folien på smörpaketen? Jag brukar alltid ta loss all folie direkt. Vad gör ni?,3,"Jag brukar typ ha kvar folien tills jag är redo att använda smöret. Det känns som att det skyddar det lite bättre, haha. Plus, ibland glömmer jag bara bort att ta bort den innan jag slänger det i kylen. Men hey, alla gör ju som de vill! Vad gör ni med osten då? Samma sak?",False,detector_aware,122
4,1,Vad gör Sweddit med folien på smörpaketen? Jag brukar alltid ta loss all folie direkt. Vad gör ni?,4,"Haha, jag brukar också dra av folien direkt! Känns som att man har lite koll då. Men sen har jag kompisar som lämnar den på för att smöret ska ""hålla sig fräscht"" eller nåt. Vet inte riktigt om jag köper det, smör är ju smör, haha. Men ja, det är ju klart man kan göra som man vill, alla har sina egen knep.",False,detector_aware,123
5,2,Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,1,"Jag vet hur det känns! Jag har också letat som en galning efter den där klassen. Har gjort rundor på alla möjliga affärer, till och med såna små kiosker som man knappt tror har något. Känns som att den har försvunnit i ett svart hål eller nåt. Hoppas verkligen att de får in den igen snart, för jag saknar verkligen den!",False,detector_aware,1155
6,2,Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,2,Jag förstår verkligen hur du känner! Den här klassen var så populär och alla pratade om den. Har du kikat på lite mindre butiker eller specialaffärer? Ibland har de sådana skatter som större kedjor inte tar in. Kanske någon av oss kan tipsa om var det går att hitta den? Hoppas vi får se den igen snart!,False,baseline,1160
7,2,Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,3,"Det är som sagt Triumf Glass som gör den. Den har varit borta i flera år men har gjort comeback ganska nyligen, jag har själv letat efter den tidigare utan att hitta. 
Smakar precis som den gjorde förut. ",True,human,1159
8,2,Finns denna underbara klass kvar? Har letat som en tok det senaste halvåret i alla möjliga mataffärer och städer men inte hittat.,4,"Åh, jag förstår verkligen din frustration! Den klassen verkar ha försvunnit helt från hyllorna. Jag har också letat förgäves och till och med hört rykten om att de kanske har släppt den. Hoppas verkligen att den dyker upp igen snart! Om du får nys om någon affär som har den, dela gärna med dig!",False,human_like,1154
9,3,"Vilka är era bästa synonymer för ""full""?",1,"Haha, alltså, jag brukar säga att ""pannkaka"" kan funka ibland, vet ni. Det beror ju på sammanhanget, men jag älskar att använda ""proppfull"" när man snackar om något som verkligen är knökfullt. Typ överfullt kylskåp efter storhandlingen. Sen har vi ""packad"", som ju kan betyda både full i bemärkelsen mätt eller full av alkohol, haha! Och ""sprängt"" är en annan favorit när man pratar om en scenario där det verkligen är maxat. Vad använder ni för ord?",False,detector_aware,26
10,3,"Vilka är era bästa synonymer för ""full""?",2,"Oj, bra fråga! Jag brukar använda ""fyllig"" i vissa sammanhang, och ""komplett"" funkar också. Sen har vi ju ""proppfull"" när man verkligen vill betona att något är helt fullt. Beroende på situationen kan ""mätt"" vara bra, speciellt när det handlar om mat. Har ni fler tips?",False,human_like,25
