Year,Level,Title,Topic Category,Abstract,Direct Link,Keywords,Permanent Link,Full Text,new
2005,Independent thesis Basic level (degree of Bachelor)Student thesis,"Palliativ vård Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",Nursing,"I dagens samhälle drabbas många människor av cancer, där flertalet av de drabbade lider av smärta. En liten del av Danmarks cancerpatienter har möjligheten att avsluta sitt liv på Hospice. Syftet med studien var att genom fyra intervjuer belysa danska sjuksköterskors upplevelser av att vårda cancerpatienter med smärta på Hospice. Studien är fenomenologiskt inriktad. Teoretikern som användes i studien ar Katie Eriksson. Hon framhäver att kroppslig smärta på grund av sjukdom kan vara outhärdlig och skapa en ångest inför sjukdom till en själslig och andlig död. Som metod i studien användes innehållsanalys, där intervjuerna analyserades och sammanställdes. Resultatet i studien tyder på att sjuksköterskor upplever närvaro som en väsentlig del av vården med smärtpåverkade cancerpatienter. Analysen visar att närvaro innefattar närhet, beröring samt kommunikation.",,"Palliativ vård, cancer, smärta, Hospice, omvårdnad, Eriksson.",,,1
2002,Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,Säkerhetskapital En del av det Intellektuella Kapitalet,Business Administration,"Det saknas metoder att mäta informationssäkerhet inom företag och företagets tillgångar har förändrats från ett fokus på maskiner och råvaror till kunskap (intellektuellt kapital). Rapporten utforskar om det finns delar av företags intellektuella kapital som beskyddar företagets tillgångar och processer. Detta kapital kallas säkerhetskapital. Hur skulle företags informationssäkerhet kunna tydliggöras genom dess intellektuella kapital och hur kan begrepp inom informationssäkerhet och företagsvärdering hänga samman? Syftet med uppsatsen är att öka förståelsen hur informationssäkerhet är relaterat till intellektuellt kapital. Rapporten bygger på litteraturstudier om intellektuellt kapital och informationssäkerhet. Data har samlats in från dels börsnoterade företags årsredovisningar och dels från pressreleaser och börsinformation. Denna information har sedan analyserats både kvantitativt och kvalitativt och begreppet säkerhetskapital har växt fram. Teorier om företagsvärdering, intellektuellt kapital, risk management och informationssäkerhet presenteras och blir den referensram i vilket begreppet säkerhetskapital sätts i sitt sammanhang. Begreppet säkerhetskapital presenteras i form av modeller och situationer vari olika perspektiv på säkerhetskapital analyseras och utvärderas. Slutsatserna är främst i form av modeller och beskrivningar av hur man kan se på säkerhetskapital i förhållande till intellektuellt kapital och andra begrepp. Området är komplext men delar av resultaten (som är på en hög abstraktionsnivå) kan användas för att värdera andra typer av immateriella tillgångar.",,"Intellektuellt kapital, informationssäkerhet, risk, säkerhetskapital",,,1
2002,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Innan den strukturella differentieringens tidevarv,Religious Studies,"Syftet med denna undersökning är att få en inblick i om och hur förlusten av sockenkyrkan påverkade livet i Nedertorneå-Haparanda församling socialt samt religiöst och i så fall hur eventuella förändringar yttrade sig när de efter kriget 1809 förlorade hemkyrkan på Björkön-Pirkkiö till Ryssland. Församlingskyrkan blev efter gränsdragningen kvar på ryskt område. Eftersom kyrkan ansvarade för ett flertal nuvarande statliga uppgifter under denna tid, har jag funderat på hur undervisning, fattigvård samt sjukvård fungerade utan kyrka och prästerskap. Hur förrättningar och gudstjänster fungerade i en sådan komplex situation är ytterligare faktorer jag studerat närmare. För att ta reda på hur det förhöll sig med detta under den här tidsperioden har jag ägnat mig åt litteraturstudium; vilket till största delen varit av historisk karaktär. Det har rört sig om kyrkohistoria, studium av samhällsutveckling, samt allmän global och lokal historia. Utifrån det samlade materialet har jag kommit fram till att livet påverkades ur flera aspekter för invånarna i Nedertorneå-Haparanda församling när de förlorade sockenkyrkan 1809. Undervisningen med husförhör fungerade inte som de skulle, negligering av förbud att bevista den gamla stenkyrkan förekom samt en likgiltighet hos föräldrarna att undervisa sina barn och hålla husandakt är några exempel på hur detta kom till uttryck hos lokalbefolkningen.",,"sockenkyrka, kyrkoförlust, Tornedalen, Haparanda, Björkö, 1809-års krig",,,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis","Matematik för alla?: Hur lärare arbetar med individualisering Alén, Leif",Didactics,"Utgångspunkt för arbetet har varit de brister i matematikkunskaper hos eleverna som framkommit i ett flertal rapporter, samtidigt som många framställningar pekar på att dagens matematikundervisning bedrivs på ett mycket traditionellt sätt. Syftet med denna uppsats har varit att ur ett matematikdidaktiskt perspektiv belysa hur matematiklärare i grundskolans senare år planerar, genomför, följer upp och utvärderar sin undervisning i avsikt möta den stora variation av elever som finns i varje elevgrupp, dvs hur lärare arbetar för att variera sin undervisning i syfte att individualisera för eleverna. Undersökningen har genomförts som en kombination av enkät och intervju, där den inledande enkäten dels har gett en bred bild av lärarnas uppfattningar inom några väsentliga områden dels använts för att fånga in intervjupersoner för den efterföljande intervjun. Den senare delen av undersökningen, där avsikten varit att komma några utvalda lärare närmare in på livet, har genomförts som kvalitativa intervjuer. Resultatet av undersökningen visar att det både finns stora variationer mellan olika lärares sätt att arbeta, samtidigt som det finns många gemensamma uppfattningar. Den bild som jag fått genom intervjuerna, vilken i mycket stämmer överens med flera tidigare undersökningar, är att den dominerande formen av individualisering är hastighetsindividualisering där eleverna arbetar med samma material men i olika takt. För att individualisera undervisningen på ett mer effektivt sätt krävs troligtvis en större variation, än vad denna undersökning kunnat visa, både vad gäller innehåll och metoder. Ofta handlar det om resurser, intentioner kontra betingelser, och frågan om att låta sig styras eller att försöka påverka och styra. För att kunna arbeta efter det senare alternativet krävs ett systematiskt och strukturerat angrepps- och arbetssätt. Detta kräver i sin tur åtgärder på flera olika nivåer inom skolan.",,"matematik, individualisering, lärare",,,1
2006,Independent thesis Basic level (degree of Bachelor)Student thesis,"Effekten av varumärkes beskrivning på studenters attityd kring värdering och ägande av produkter Blekinge Institute of Technology, School of Management.",Business Administration,Denna studie utgörs av ett explorativt experiment. Det som har legat i fokus för denna studie har varit att mäta attityd gentemot varumärkes produkter. Eftersom det har skett genom experiment har det centrala varit att se hur attityden påverkas. Studien använder sig av vissa teorier kring varumärken som råd och tips i upplägget av experimentet. En av hypoteserna som ställdes i studien var att positiv beskrivning av varumärkes produkter ger högre utfall i värderandet och viljan att äga produkten än neutral beskrivning. Den andra hypotesen var att det inte finns någon könsskillnad i utfallet. Experimentet gav ett samstämmigt svar sett till hypotesen men vissa överraskningar och mer oväntade resultat framkom också.,,"attityd, varumärken, produkter",,,1
2006,Independent thesis Basic level (degree of Bachelor)Student thesis,"Ickeverbal kommunikation: Hur kontakt kan skapas med demensdrabbade genom beröring och genom musik Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",Nursing,"Bakgrund: Att skapa kontakt med demensdrabbade kan vara svårt om vårdaren inte har rätt kunskap i hur kontakt kan skapas. Den ickeverbala kommunikationen såsom beröring och musik kan vara av betydelse när kontakt ska skapas. Människan förknippar beröring med att vara omtyckt och genom detta ökar känslan av trygghet och tillit och på så sätt kan kontakt skapas. Ett annat sätt att skapa kontakt på är genom musik, där det har visat sig att minnet av sång och musik betyder mycket för människan och kan stärka kommunikationen. Syfte: Syftet med studien är att belysa hur kontakt kan skapas med demensdrabbade genom beröring och genom musik. Metod: En litteraturstudie som är baserad på åtta vetenskapliga artiklar. Artiklarna ar granskade och analyserade efter Burnards innehållsanalys. Orlandos omvårdnadsteori användes som teoretisk referensram och som b1.a. tar upp interaktionen mellan vårdare och patient. Resultat: I resultatet har det visat sig att genom beröring och genom musik kan vårdare få en ökad förståelse för den demensdrabbade. Kontakt och kommunikation skapar gemenskap mellan demensdrabbade och deras vårdare, känslor av välbefinnande bildas och minnesförmågan hos personer med demenssjukdom ökar.",,"Demens, beröring, ickeverbal kommunikation, musik, välbefinnande",,,1
2001,Independent thesis Basic level (degree of Bachelor)Student thesis,Varför team? En fallstudie på tre företag.,Business Administration,"SAMMANFATTNING Problem: Det finns många tankar om organisationer och hur de ska styras. Förr handlade det om att styra företagets olika resurser för att uppnå lönsamhet. I dag krävs det mer av företagen och dess traditionella organisationsformer sätts på prov. För att utvecklas och framförallt kunna konkurrera i den allt mer föränderliga omgivningen krävs det att organisationerna är öppna för nya tankesätt. Det pågår en övergång från traditionella organisationer till processorienterade organisationer. Med detta följer ofta att team inrättas. Teamen har kommit att bli grunden i de processorienterade organisationerna. Utifrån detta vill vi veta varför organisationer har infört team? Hur styr organisationen teamen? Har förväntningarna uppfyllts? Syfte: Syftet med uppsatsen är att vi ur ett ledningsperspektiv vill beskriva varför företag har infört team, hur de har utformat dem och hur de styrs. Vi vill även se om det finns indikationer på överensstämmelse mellan förväntningar och verklighet. Metod: Vi har valt att göra en kvalitativ studie då vi vill beskriva en händelse. En fallstudie passar oss bäst då vi vill få en djupare förståelse för vad införandet av team har inneburit. Slutsats: Organisationerna inför team för att de vill öka lönsamheten och motivationen hos de anställda. Införandet av team leder till att medarbetarna får större ansvar och det ökar deras motivation. Detta leder i sin tur till att företaget kan öka sin flexibilitet, kostnadseffektivitet och leveranssäkerhet. Dessa tre är faktorer som kan påverka lönsamheten.",,"styrning, team, flöde, flödesorientering, process, processorientering, lönsamhet",,,1
2002,Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,Kartläggning och utvärdering av utbildningar: en svaghet i företag?,Business Administration,"Kurs: Kandidatuppsats 41-60p, våren - 2002, Företagsekonomi Titel: Kartläggning och utvärdering av utbildningar - en svaghet i företag? Författare: Annika Andersson , Nina Blomkvist och Goce Lamevski Handledare: Göran Alsén, IEM, Blekinge Tekniska Högskola Syfte: Vårt syfte med uppsatsen är att beskriva och skapa förståelse för vilka faktorer som ligger bakom hur företag kartlägger utbildningsbehov, vilka utvärderingsmetoder som används samt hur effekter kan tydliggöras i organisationen. Vidare är syftet att efter studien kunna bemöta den kritik som vi tar upp i problemdiskussionen. Metod: Vi har i denna studie använt oss av semistrukturerade, kvalitativa intervjuer med utbildningsansvariga inom telecombranschen. Slutsats: I vår studie har vi kommit fram till att företag lägger ner, ett till synes noggrant arbete med att karlägga behov för utbildning, i kontrast till den kritik som har framhållits av forskare. Vidare har vi funnit att företag främst använder sig av enkäter vid utvärderingsprocessen, samt att syftet med utvärderingen i första hand, verkar vara att förbättra kommande utbildningar. Vad gäller att tydliggöra effekter av utbildningar, har vi uppmärksammat att den dynamiska miljön kan vara en förklarande faktor till varför inte företag lägger ner mer tid och resurser på detta moment. Vi har gjort tolkningen att tillverkande företag, i större bemärkelse än tjänsteföretag, har möjlighet att genom kunskapsprövning, utläsa effekter av utbildning.",,"utbildning, karläggning av utbildningbehov, utvärdering av utbildning",,,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Kan iranska aktörer påverkas?: USA:s förmåga till strategiskt inflytande ur ett fältperspektiv Swedish National Defence College.,Political Science,"Sedan 1979 när den amerikanska ambassaden i Teheran ockuperades av studenter och personalentogs som gisslan under 444 dagar har kontakterna mellan Iran och USA varit ansträngda. Iran harbland annat pekats ut av president George W Bush som ”en av ondskans axelmakter”. Syftet meddenna uppsats är att undersöka vilka metoder för amerikanskt strategiskt inflytande som haranvänts av USA mot Iran och haft framgång. Den valda metoden är kvalitativ textanalys. Utifrånfrågeställningen:Vilken/vilka typer av strategiskt inflytande har varit effektiva för att påverka styret av Iran?granskas tre fall av informationsoperationer (militär-, politisk- och mediaoperation) genomfördamot Iran mellan 1979 och 2006. Aktörerna ayatolla, parlament, president, prästerskap ochmedelklass beskrivs utifrån Pierre Bourdieus fältteori för att belysa vilka metoder som varitändamålsenliga och framgångsrika från USA:s sida. Granskningen visar att USA:s främsta väg tillframgång har varit psyops och mjuka metoder mot utvalda grupper medan direkt konfrontation iform av hårda politiska påtryckningar och hot om, eller bruket av militära medel inte i sammautsträckning varit framgångsrika.",,"USA, Iran, Utrikespolitik, Informationskrigföring, Chefsprogrammet, Chefsprogrammet 2004-2006, Uppsatser",,,1
2004,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Inställningar till självläkning: - en studie av diskurser kring beroendeproblematik,Social Work,"Föreliggande rapport redovisar resultat från den svenska pilotstudien inom det internationella s.k. SINR-projektet (Societal Images of Natural Recovery). Detta projekt syftar till ökad kunskap om hur olika synsätt, hos allmänheten såväl som inom olika professionella grupper, påverkar människor möjligheter att komma tillrätta med olika former av missbruk. Som ett första steg i projektet har i hittills sex större städer i fem olika länder ett mindre antal svarande, representerande olika samhällsgrupper, tillfrågats om sin uppfattning om möjligheterna att på egen hand ta sig ur olika slag av missbruksproblem. Den svenska pilotstudien har, på uppdrag av FoU-enheten, av tre socionomstuderande vid Stockholms universitet i form av ett examensarbete. Rapporten innehåller inledningsvis en översiktlig sammanfattning av förekommande perspektiv på olika former av missbruk, av aktuell forskning om s.k. ”självläkning” (”natural recovery”) från sådana problem, och av attributionsteori och attributionsforskning. Därefter redovisas resultat den svenska pilotstudien. Denna bygger på intervjuer med femton personer, representerande fem olika samhällssektorer: ”behandling”, ”kontroll”, ”vardagsterapeuter”, ”media” och ”allmänhet”. De frågor som står i fokus är respondenternas syn på möjligheten till ”självläkning” från elva olika former av missbruksproblem och vad de upplever som de största hindren mot effektiva lösningar på dessa problem. Svaren relateras också till eventuella erfarenheter (egna eller närståendes) av de aktuella problemen. Bland de mest intressanta resultaten är att de svarande tämligen genomgående ser ”illegala” beroendeproblem (olika narkotiska preparat) som betydligt svårare att komma tillrätta med än ”legala” sådana (alkohol, tobak, spel, shopping). På samma sätt uppfattas substansrelaterade beroenden ganska genomgående som betydligt svårare än beteenderelaterade sådana (spel och shopping). Om man ser till specifika former av missbruk finns ett starkt samband mellan de svarandes (negativa) syn på möjligheten att sluta med amfetamin, kokain och heroin. Däremot uppfattas cannabis som nästan lika lätt att sluta med som rökning, det beroende som de svarande i genomsnitt uppfattar det som allra lättast att komma tillrätta med. Representanterna för behandlingsområdet är, intressant nog, ganska genomgående de mest pessimistiska när det gäller möjligheten att ta sig ur ett missbruk på egen hand, medan mediarepresentanterna är de mest optimistiska. Sammantagna antyder resultaten att människor ganska lätt införlivar den officiella och av media reproducerade bilden av olika självdestruktiva beteenden. Samtidigt indikerar skillnaderna mellan olika grupper av svarande att uppfattningarna i vissa avseenden skiljer sig påtagligt åt mellan olika samhällssektorer, något som pekar på behovet av fortsatta, mer ingående studier på detta område. I ett avslutande Appendix görs några jämförelser mellan data från Stockholm och från de fem övriga deltagarstäderna. Dessa visar både på vissa likheter – t.ex. att representanterna för behandlingsområdet i flertalet städer är de mest pessimistiska vad gäller människors möjligheter att sluta med ett missbruk på egen hand – och vissa skillnader – t.ex. den särställning Sverige tycks ha när det gäller demoniseringen av heroin som den svåraste och farligaste av alla droger. Dessa resultat talar för värdet av en tvärkulturell ansats till dessa frågor.",,"Beroende, missbruk, social avvikelse, socialt stigma, icke behandlingsrelaterade",,,1
