Year,Level,Title,Topic Category,Abstract,Direct Link,Keywords,Permanent Link,Full Text,new,needs_review,dup_of_existing
2001,Independent thesis Basic level (degree of Bachelor)Student thesis,Metoder vid implementation av affärssystem: en studie om anpassning,,"Dagens företag är i stort behov av information. Företag som har många avdelningar behöver möjligheter för att enkelt och smidigt kunna samordna information för hela företaget. Affärssystem erbjuder denna möjlighet genom en modulbaserad konstruktion som integrerar ett företags samtliga avdelningar i ett enda system. Problem kan dock uppstå då ett valt affärssystem inte passar företagets verksamhet. En kompromiss mellan system och verksamhet måste då försöka uppnås. Ett affärssystem implementeras ofta i samband med en metod, vilken ger detaljerade beskrivningar för hur implementeringen ska gå till. På vilka grunder väljer företagen att arbeta efter en specifik metod då system och verksamhet behöver anpassas till varandra? Detta arbete bygger på en undersökning som har utförts genom en survey där fem företag har medverkat. Resultatet av undersökningen visar ett antal metoder samt presenterar orsaker till varför dessa metoder används.",,"Affärssystem, impementeringsmetoder, val av metod, anpassning av system och verksamhet",,,1,0,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",,,"Sammanfattning: Det finns olika valmöjligheter inom redovisning. Vilket val man gör styrs av vilket resultat man önskar visa. Det har just införts en ny lag som innebär att juridiska personer skall ta upp en schablonintäkt för sina periodiseringsfonder och vi bestämde oss för att undersöka vilka val företagen gjort och vilken betydelse olika faktorer har när de ska välja att sätta av till periodiseringsfonder eller ej. Vi valde ett deduktivt angreppssätt och de vetenskapliga teorier vi främst utgick ifrån var agentteorin och Positive Accounting Theory (PAT). Vi valde att undersöka om följande faktorer kan ha samband med vilka beslut man tar när det gäller periodiseringsfonderna: bonus till ledningen, företagens skuldsättningsgrad, storlek, bransch och ägarstruktur. Vi ställde samman en hypotes för varje faktor och i de fall vår ursprungliga rådata var kontinuerligt kvantitativ testade vi dessa hypoteser med hjälp av så kallade t-tester. I andra fall gjorde vi korstabeller med χ2-test. Från PAT är det endast skuldsättningsgraden som påvisar ett svagt samband. Signifikansnivån på de andra två faktorerna, bonus och storlek, var för höga för att visa ett samband och vi falsifierade därmed dessa. Att det inte föreligger något samband kan bero på att vårt urval är för litet eller att teorin inte är direkt applicerbar på svensk företagskultur. Av de två sista faktorerna vi testade var det bara ägarstrukturen som visade ett samband.",,"Agentteorin, Positive Accounting Theory, Periodiseringsfonder, redovisningsval, bokslutspolitik",,,1,1,0
2005,Independent thesis Basic level (degree of Bachelor),"Ingen kan göra allt, men alla kan göra något - en studie kring pedagogers uppfattning om sin kompetens i att möta barn i sorg",,Vårt syftet med C-uppsatsen är att ur en pedagogisk synvinkel få en inblick i pedagogers uppfattning om sin kompetens i hur man möter barn i sorg. För att ta reda på detta har vi intervjuat sex pedagoger i södra Sverige. Vi har använt oss av en kvalitativ metod med semistrukturerade intervjuer. Vi har bearbetat litteratur som belyser pedagogens handlande och skolans roll. Vi har även behandlat litteratur som tar upp vilka olika krisfaser man går igenom när man har drabbats av en traumatisk händelse. Vi har även jämfört litteraturen med våra intervjupersoners svar och analyserat och diskuterat dessa utifrån en hermeneutisk analysmetod. Vi har kommit fram till att pedagogerna anser att deras kompetens är god. Dock har inte alla fått någon fortbildning inom området.,,"kompetens, krisfaser, sorg, beredskapsplan, pedagogers handlande.",,,1,0,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",,,"Studiens syfte har varit att undersöka tonårstjejers syn på och konstruktion av genus och sexualitet och huruvida de anser att det finns samband mellan genus, sexualitet, jämställdhet och feminism. Fokus har legat på sexuellt handlingsutrymmer, förhållandet mellan kärlek och sexuella handlingar, på vilket sätt utseende och klädstil kopplas till kön och sexualitet, syn på hetero-, homo-, och bisexualitet samt tonårstjejernas grad av feministisk medvetenhet. Studien har byggts på kvalitativa samtalsintervjuer med sammanlagt sju tonårstjejer mellan 15-20 år. Studien gör en postmodernistisk feministisk ansats och utgår i sin analys ifrån Yvonne Hirdmans och Judith Butlers teoribildning om genus, kön och sexualitet. Det blir genom studien tydligt hur de studerade tonårstjejerna förhåller sig till olika genusnormer kring hur en normal tjej bör vara, se ut och uttrycka sin sexualitet.",,"Genus, Kön, Sexualitet, Ungdomar, Tonårstjejer, Unga tjejer, Jämställdhet, Feminism, Queerteori, Social konstruktion",,,1,1,0
2005,Independent thesis Basic level (degree of Bachelor)Student thesis,"Palliativ vård Blekinge Institute of Technology, School of Health Science. Blekinge Institute of Technology, School of Health Science.",,"I dagens samhälle drabbas många människor av cancer, där flertalet av de drabbade lider av smärta. En liten del av Danmarks cancerpatienter har möjligheten att avsluta sitt liv på Hospice. Syftet med studien var att genom fyra intervjuer belysa danska sjuksköterskors upplevelser av att vårda cancerpatienter med smärta på Hospice. Studien är fenomenologiskt inriktad. Teoretikern som användes i studien ar Katie Eriksson. Hon framhäver att kroppslig smärta på grund av sjukdom kan vara outhärdlig och skapa en ångest inför sjukdom till en själslig och andlig död. Som metod i studien användes innehållsanalys, där intervjuerna analyserades och sammanställdes. Resultatet i studien tyder på att sjuksköterskor upplever närvaro som en väsentlig del av vården med smärtpåverkade cancerpatienter. Analysen visar att närvaro innefattar närhet, beröring samt kommunikation.",,"Palliativ vård, cancer, smärta, Hospice, omvårdnad, Eriksson.",,,1,0,0
2002,Independent thesis Basic level (degree of Bachelor)Student thesisAlternative title,Säkerhetskapital En del av det Intellektuella Kapitalet,,"Det saknas metoder att mäta informationssäkerhet inom företag och företagets tillgångar har förändrats från ett fokus på maskiner och råvaror till kunskap (intellektuellt kapital). Rapporten utforskar om det finns delar av företags intellektuella kapital som beskyddar företagets tillgångar och processer. Detta kapital kallas säkerhetskapital. Hur skulle företags informationssäkerhet kunna tydliggöras genom dess intellektuella kapital och hur kan begrepp inom informationssäkerhet och företagsvärdering hänga samman? Syftet med uppsatsen är att öka förståelsen hur informationssäkerhet är relaterat till intellektuellt kapital. Rapporten bygger på litteraturstudier om intellektuellt kapital och informationssäkerhet. Data har samlats in från dels börsnoterade företags årsredovisningar och dels från pressreleaser och börsinformation. Denna information har sedan analyserats både kvantitativt och kvalitativt och begreppet säkerhetskapital har växt fram. Teorier om företagsvärdering, intellektuellt kapital, risk management och informationssäkerhet presenteras och blir den referensram i vilket begreppet säkerhetskapital sätts i sitt sammanhang. Begreppet säkerhetskapital presenteras i form av modeller och situationer vari olika perspektiv på säkerhetskapital analyseras och utvärderas. Slutsatserna är främst i form av modeller och beskrivningar av hur man kan se på säkerhetskapital i förhållande till intellektuellt kapital och andra begrepp. Området är komplext men delar av resultaten (som är på en hög abstraktionsnivå) kan användas för att värdera andra typer av immateriella tillgångar.",,"Intellektuellt kapital, informationssäkerhet, risk, säkerhetskapital",,,1,0,0
2006,Independent thesis Basic level (degree of Bachelor)Student thesis,Från Hakkaribergen till Orans kust: en jämförelse mellan genrerna raweh och rai,,"Denna studie grundar sig på en undersökning där jag har försökt finna likheter mellan raweh och rai. För att kunna hitta eventuella likheter har jag valt att använda mig av en analysmetod, som heter cantometrics. Med hjälp av cantometrics kodningsformulär har jag analyserat sex olika musikstycken, tre av raweh och tre av rai. Av de 37 analyspunkter som cantometrics innefattar har jag valt att använda 25 av dessa i min analys. Efter analysen visade det sig att kodningsresultaten av raweh och rai endast är lika i 7 punkter medan de särskiljer sig i de andra 18 punkterna. Detta resultat tyddes till det följande: De sju gemensamma punkterna för raweh och rai anser jag inte vara tillräckligt för att bedöma att raweh och rai är lika. Enligt min analys samt undersökning som kodats enligt cantometricsmodellen finns det få likheter mellan raweh och rai.",,"raweh, rai",,,1,0,1
2006,"Independent thesis Basic level (degree of Bachelor), 10 credits / 15 HE creditsStudent thesis",Läroplanens konkreta spår i det pedagogiska arbetet,,"Det pågår ständigt diskussioner om den senaste läroplanen. Frågor som berör mig mest är: vilken ställning jag ska inta i dessa debatter, hur jag kan argumentera mitt val och finns det något samspel mellan de praktiska (lärarnas) och teoretiska (läroplanen) överväganden. Då har jag bestämt mig att ägna faktabaserade delen av uppsatsen åt studierna av studentlitteratur som på olika sätt berör ämnet, styrdokument, tidigare forskning, samt tidningsartiklar. Jag ville veta hur skolväsenden utvecklades i Sverige, vilka teorier och riktningar ligger i grunden på olika pedagogiska synen på undervisning och kunskapens natur. Jag har inriktat mig på läxor för att undersöka det rådande pedagogiska synsättet. Det var ett sätt (genom att visa hur hemläxan behandlas) att identifiera och synliggöra de problem som skolan brottas med. Den delen bygger jag i stort sätt på att ta del i andras forskning, samt genomföra en egen undersökning i form av enkäter och intervjuer. Slutsatser, som jag kom fram till, var: att befintliga styrdokument inte följs och att mål- och resultatstyrningen av skolan ännu inte fungerar, att lärarna saknar ett eget vetenskapligt kunskapssystem för att utveckla sin kompetens och behöver självklart stöd som måste komma i form av utbildning, handledning och samtal. Lärare måste intellektuellt övertygas om fördelarna med det nya i en skolreform. Till detta krävs dels tid, dels dialog med personer som de känner förtroende för.",,"läxa, kompetens, mål- och resultatstyrning",,,1,0,1
2005,Independent thesis Basic level (degree of Bachelor)Student thesis,Balettmapp Kungliga Operan: Operahusens design och arkitektur,,En presentation av Kungliga Svenska Baletten. Denna ska distribueras till operahus världen över innan ny turné påbörjas. Shanghais operahus var det första som fick den färdiga produkten. Fördjupningen rör olika operahus design och arkitektur ut- och invändigt. Även en del av husens relevanta historia tas upp.,,"balett, opera, operahus, design, arkitektur, Kungliga Operan, Teatro alla Scala, Opéra de Paris Garnier, Sydney Opera House, Opéra de la Bastille, Operaen København",,,1,0,1
2001,Independent thesis Basic level (degree of Bachelor)Student thesis,Vidareutveckling av informationssystem: Vilka olika aktiviteter går att identifiera i VAD-fasen?,,"Utmärkande för morgondagens IS är att integrera befintliga resurser med nya IS (Lindencrona 2000), dvs att vidareutveckla i stället för att nyutveckla. Då det saknas systematiserad kunskap om den utvecklingsprocess som äger rum då morgondagens IS ska utvecklas är det av yttersta vikt att arbeten vars syfte är att belysa denna process genomförs. Syftet med denna rapport är att undersöka vilka olika aktiviteter som går att identifiera i VAD-fasen, processen fram till kravspecifikationen, då ett administrativt informationssystem ska vidareutvecklas. Inom ramen för detta examensarbete har en litteratur-survey, fokuserad på att samla in material som detaljerat belyser VAD-fasen, utförts. För att samla in material som möjliggör en identifiering av olika aktiviteter i VAD-fasen då ett IS ska vidareutvecklas, har en enkät- respektive en intervju-undersökning av olika organisationer inom aktuell population genomförts. Då det insamlade materialet analyserats har i VAD-fasen följande fyra olika aktiviteter kunnat identifieras då ett IS ska vidareutvecklas: · Fatta beslut · Utföra undersökningar med hjälp av informationsinsamlande aktiviteter · Författa dokument · Deltaga i diskussioner Det erhållna resultatet innebär en god plattform att utgå ifrån då ytterligare forskning ska göras inom området och då metoder för utvecklingen av morgondagens IS ska utvecklas och arbetas fram.",,"Informationssystem, VAD-fasen, vidareutveckling, aktiviteter",,,1,0,1
