Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADJ:0.0986 | ADP:0.1197 | ADV:0.0282 | AUX:0.0423 | CCONJ:0.0493 | DET:0.0845 | NOUN:0.2817 | NUM:0.0070 | PART:0.0070 | PRON:0.0634 | PUNCT:0.0563 | SCONJ:0.0563 | VERB:0.1056,,142,0
ADJ:0.1027 | ADP:0.1849 | ADV:0.0068 | AUX:0.0205 | CCONJ:0.0411 | DET:0.0411 | NOUN:0.3493 | NUM:0.0068 | PART:0.0205 | PRON:0.0205 | PUNCT:0.0753 | SCONJ:0.0274 | VERB:0.1027,,146,0
ADJ:0.0963 | ADP:0.1560 | ADV:0.0321 | AUX:0.0275 | CCONJ:0.0459 | DET:0.0275 | NOUN:0.3165 | NUM:0.0321 | PART:0.0046 | PRON:0.0550 | PROPN:0.0092 | PUNCT:0.0826 | SCONJ:0.0183 | VERB:0.0963,,218,0
ADJ:0.0471 | ADP:0.1490 | ADV:0.0627 | AUX:0.0863 | CCONJ:0.0431 | DET:0.0353 | NOUN:0.2196 | NUM:0.0078 | PART:0.0275 | PRON:0.1137 | PUNCT:0.0627 | SCONJ:0.0353 | VERB:0.1098,,255,0
ADJ:0.1048 | ADP:0.1333 | ADV:0.0286 | AUX:0.0571 | CCONJ:0.0762 | DET:0.0476 | NOUN:0.2857 | NUM:0.0190 | PART:0.0095 | PRON:0.0571 | PUNCT:0.0667 | SCONJ:0.0381 | VERB:0.0762,,105,0
ADJ:0.0821 | ADP:0.1418 | ADV:0.0299 | AUX:0.0075 | CCONJ:0.0672 | DET:0.0672 | NOUN:0.2985 | NUM:0.0224 | PART:0.0075 | PRON:0.0522 | PUNCT:0.0896 | SCONJ:0.0224 | SYM:0.0075 | VERB:0.1045,,134,0
ADJ:0.0577 | ADP:0.1250 | ADV:0.0577 | AUX:0.0577 | CCONJ:0.0192 | DET:0.0673 | NOUN:0.2115 | NUM:0.0192 | PART:0.0096 | PRON:0.1058 | PROPN:0.0673 | PUNCT:0.0865 | SCONJ:0.0096 | VERB:0.1058,,104,0
ADJ:0.1020 | ADP:0.1412 | ADV:0.0784 | AUX:0.0431 | CCONJ:0.0392 | DET:0.0784 | NOUN:0.2392 | NUM:0.0235 | PART:0.0157 | PRON:0.0627 | PROPN:0.0078 | PUNCT:0.0706 | SCONJ:0.0157 | VERB:0.0824,,255,0
ADJ:0.1718 | ADP:0.1411 | ADV:0.0491 | AUX:0.0245 | CCONJ:0.0675 | DET:0.0613 | NOUN:0.2822 | PART:0.0123 | PRON:0.0123 | PROPN:0.0061 | PUNCT:0.0613 | SCONJ:0.0368 | VERB:0.0736,,163,0
ADJ:0.0841 | ADP:0.1681 | ADV:0.0442 | AUX:0.0487 | CCONJ:0.0398 | DET:0.0752 | NOUN:0.2522 | NUM:0.0088 | PART:0.0354 | PRON:0.0354 | PROPN:0.0177 | PUNCT:0.0619 | SCONJ:0.0221 | VERB:0.1062,,226,0
ADJ:0.0462 | ADP:0.1462 | ADV:0.0385 | AUX:0.0385 | CCONJ:0.0462 | DET:0.0385 | NOUN:0.3308 | NUM:0.0154 | PRON:0.0462 | PROPN:0.0692 | PUNCT:0.1077 | SCONJ:0.0077 | VERB:0.0692,,130,0
ADJ:0.0993 | ADP:0.1348 | ADV:0.0284 | AUX:0.0355 | CCONJ:0.0284 | DET:0.0426 | NOUN:0.3050 | NUM:0.0284 | PART:0.0071 | PRON:0.0213 | PROPN:0.0071 | PUNCT:0.1206 | SCONJ:0.0142 | VERB:0.1277,,141,0
