Abstract_Entities,Generated_Abstract_Entities
"västerbotten:LOC,östergötland:LOC",
,
,
,FOMO:ORG
,
,
,
"http://www.goteborg.com/nyarsfirande-i-goteborg/:PRS,liseberg:PRS,Finland:LOC","Göteborg:LOC,Skansen:LOC,Kronan:LOC,Skansberget:LOC,Ramberget:LOC,Slottsskogen:LOC,Linné:PRS"
Halmstad:LOC,"Göteborg:LOC,på nyår:TME,Ramberget:LOC,Skeppsbron:LOC,Linné:PRS"
USA:LOC,"Sverige:LOC,USA:LOC,Europa:LOC,Nederländerna:LOC,Danmark:LOC,Tyskland:LOC,Cambridge:LOC"
Khan Academy:PRS,"Sverige:LOC,Cambridge:LOC,Cambridge International:ORG,Pearson Edexcel:PRS,Sverige:LOC,Köpenhamn:LOC,Europa:LOC,UK/:ORG"
"Sverige:LOC,Skottland:LOC,CSN:ORG","Sverige:LOC,Sverige:LOC,Cambridge International:ORG"
Carolin:PRS,
Afghanistan:LOC,
,
"HAX:PRS,Sverige:LOC,Sverige:LOC",Sverige:LOC
,
"Björn Söder:PRS,Incognito:WRK","Amnesty:ORG,USA:LOC"
,
,MP:ORG
,
,MP:ORG
,"Riksrevisionens:ORG,Polisförbundet:ORG"
,"Riksrevisionens:ORG,Statskontorets:ORG,Polisförbundets:ORG"
"Dan Eliasson:PRS,Dan Eliasson:PRS,Sverige:LOC,Sverige:LOC,Sverige:LOC,flashback:LOC,sweddit:LOC","Riksrevisionens:ORG,Statskontorets:ORG,Polisförbundets:ORG"
"Sjöstedt:PRS,Åkesson:PRS","Ygeman:PRS,Elisabeth Svantesson:PRS,Per Bolund:PRS,Gulan Avci:PRS"
"Josefin Utas:PRS,Medborgerlig Samling:WRK","numera:TME,Ygeman:PRS,Elisabeth Svantesson:PRS,Karin Enström:PRS,Lotta Edholm:PRS,Morgan Johansson:PRS"
"Alice Bah Kunke:PRS,Jan Björklund:PRS,Jonas Sjöstedt:PRS","Mikael Damberg:PRS,Karin Enström:PRS,Elisabeth Svantesson:PRS,Johan Pehrson:PRS,Amanda Lind:PRS,Jakob Forssmed:PRS"
,
worldwar2:PRS,
,
"Edit:PRS,USA:LOC",Regeringskansliet:ORG
,
,Regeringskansliet:ORG
"Copenhagen:LOC,Seattle:LOC,robeph:PRS,Sverige:LOC","nu:TME,USA:LOC,USA:LOC,USA:LOC,Iowa:LOC"
,"USA:LOC,chew:PRS,USA:LOC,Sverige:LOC"
"under sin tid:TME,Göran Persson:PRS","Göran Persson:PRS,FP:ORG,KD:ORG,Sverige:LOC,Sverige:LOC,Sverige:LOC"
,
"Sverige:LOC,Stefan Löfven:PRS",
Hanif Bali:PRS,"Magdalena Andersson:PRS,Ulf Kristersson:PRS,Annie Lööf:PRS,Jimmie Åkesson:PRS"
"Porjus vattenkraftverk:ORG,Norrland:LOC",
,
Afghanistan:LOC,
,Folien:LOC
,Folien:LOC
,
HBO Nordic:ORG,"Max:PRS,den här veckan:TME,HBO:ORG"
,"Max:PRS,Marvel:PRS,Max:PRS"
"Petter:PRS,Sverige:LOC,Lorentz & Sakarias:PRS,Norlie & KKV:PRS,Zacke:PRS,Daniel Adams-Ray:PRS,USA:LOC,Sverige:LOC,Ken Ring:PRS","Petter:PRS,Veronica Maggio:PRS,Håkan Hellström:PRS,Oskar Linnros:PRS,Daniel Adams-Ray:PRS,Kent:PRS,Molly Sandén:PRS,Laleh:PRS,Tove Lo:PRS,Sverige:LOC,Max Martin:PRS,Petter:PRS"
