Abstract_POS,Generated_Abstract_POS
"Jag_PRON,gjorde_VERB,inte_PART,lumpen_NOUN,,_PUNCT,började_VERB,på_ADP,universitet_NOUN,istället_ADV,._PUNCT,Skulle_AUX,egentligen_ADV,börja_VERB,efter_ADP,en_DET,termin_NOUN,studier_NOUN,,_PUNCT,men_CCONJ,jag_PRON,skickade_VERB,ett_DET,brev_NOUN,och_CCONJ,slapp_VERB,._PUNCT,Förmodligen_ADV,ett_DET,bra_ADJ,val_NOUN,av_ADP,många_ADJ,skäl_NOUN,,_PUNCT,bland_ADP,annat_PRON,eftersom_SCONJ,jag_PRON,stör_NOUN,mig_PRON,på_ADP,meningslösa_ADJ,sysslor_NOUN,(_PUNCT,enligt_ADP,mig_PRON,)_PUNCT,och_CCONJ,inkompetenta_ADJ,auktoriteter_NOUN,(_PUNCT,vilket_PRON,man_PRON,antagligen_ADV,skulle_AUX,stött_VERB,på_ADP,)_PUNCT,._PUNCT,

_SPACE,Militären_NOUN,är_AUX,i_ADP,mina_PRON,ögon_NOUN,inte_PART,till_ADP,för_ADP,någon_DET,tänkande_ADJ,människa_NOUN,,_PUNCT,det_PRON,är_AUX,ju_ADV,därför_ADV,nästan_ADV,varje_DET,land_NOUN,i_ADP,världen_NOUN,har_AUX,åldern_NOUN,satt_VERB,vid_ADP,18_NUM,år_NOUN,,_PUNCT,de_DET,flesta_ADJ,går_VERB,nog_ADV,inte_PART,med_ADP,frivilligt_ADV,efter_ADP,att_PART,ha_VERB,mognat_VERB,lite_ADV,._PUNCT","Jag_PRON,gjorde_VERB,lumpen_NOUN,och_CCONJ,det_PRON,var_AUX,verkligen_ADV,en_DET,blandning_NOUN,av_ADP,svett_NOUN,och_CCONJ,skratt_NOUN,!_PUNCT,Tycker_VERB,nog_ADV,att_SCONJ,det_PRON,gav_VERB,mig_PRON,mycket_ADV,,_PUNCT,både_CCONJ,disciplin_NOUN,och_CCONJ,roliga_ADJ,minnen_NOUN,._PUNCT,Men_CCONJ,jag_PRON,förstår_VERB,att_SCONJ,det_PRON,inte_PART,är_AUX,för_ADP,alla_PRON,._PUNCT,Kul_NOUN,att_PART,se_VERB,fler_PRON,som_PRON,vill_AUX,snacka_VERB,om_SCONJ,det_PRON,!_PUNCT,😄_NOUN"
"utbildningsreserven_NOUN,,_PUNCT,fick_VERB,placering_NOUN,som_SCONJ,stadsskytteslusk_NOUN,men_CCONJ,den_DET,enheten_NOUN,las_VERB,ner_ADV,._PUNCT,synd_NOUN,,_PUNCT,många_PRON,verkar_VERB,ha_AUX,haft_VERB,kul_NOUN,;_PUNCT,[_PROPN,https://www.flashback.info/showthread.php?t=175573](https://www.flashback.info/showthread.php?t=175573_PROPN,)_PUNCT","Jag_PRON,gjorde_VERB,lumpen_NOUN,och_CCONJ,det_PRON,var_AUX,verkligen_ADV,en_DET,blandning_NOUN,av_ADP,upplevelser_NOUN,!_PUNCT,Lärde_VERB,mig_PRON,mycket_ADV,om_ADP,mig_PRON,själv_ADJ,och_CCONJ,fick_VERB,några_DET,grymma_ADJ,kompisar_NOUN,på_ADP,köpet_NOUN,._PUNCT,Visst_ADV,var_AUX,det_PRON,tufft_NOUN,ibland_ADV,,_PUNCT,men_CCONJ,det_PRON,är_AUX,väl_ADV,det_PRON,som_PRON,gör_VERB,det_PRON,minnesvärt_ADJ,,_PUNCT,eller_CCONJ,hur_ADV,?_PUNCT"
"Känns_VERB,ibland_ADV,som_SCONJ,jag_PRON,är_AUX,en_PRON,av_ADP,de_DET,sista_ADJ,som_PRON,hunnit_VERB,med_ADP,tre_NUM,repövningar_NOUN,utöver_ADP,originallumpen_NOUN,vid_ADP,42_NUM,års_NOUN,ålder_NOUN,._PUNCT,Fick_VERB,dock_ADV,ett_DET,sorgkantat_ADJ,brev_NOUN,från_ADP,ÖB_PROPN,för_ADP,ett_DET,par_NOUN,år_NOUN,sedan_ADV,där_ADV,han_PRON,beklagade_VERB,att_SCONJ,det_PRON,inte_PART,fanns_VERB,någon_DET,plats_NOUN,för_ADP,mig_PRON,längre_ADV,._PUNCT,Måste_AUX,erkänna_VERB,att_SCONJ,jag_PRON,hade_VERB,görskoj_NOUN,80_NUM,%_NOUN,av_ADP,tjänstgöringen_NOUN,faktiskt_ADV,._PUNCT","Haha_PROPN,,_PUNCT,fattar_VERB,!_PUNCT,Jag_PRON,gjorde_VERB,lumpen_NOUN,själv_ADJ,och_CCONJ,det_PRON,var_AUX,verkligen_ADV,en_DET,blandning_NOUN,av_ADP,skratt_ADJ,och_CCONJ,stress_NOUN,._PUNCT,Vissa_ADJ,stunder_NOUN,var_AUX,helt_ADV,sjuka_ADJ,,_PUNCT,men_CCONJ,jag_PRON,lärde_VERB,mig_PRON,mycket_ADV,om_ADP,mig_PRON,själv_ADJ,._PUNCT,Också_ADV,kul_ADP,att_PART,höra_VERB,alla_DET,galna_ADJ,historier_NOUN,från_ADP,andra_PRON,!_PUNCT"
"Samma_DET,här_ADV,._PUNCT","Jag_PRON,gjorde_VERB,lumpen_NOUN,och_CCONJ,det_PRON,var_AUX,en_DET,galen_ADJ,tid_NOUN,!_PUNCT,Mycket_ADV,skratt_ADJ,,_PUNCT,några_DET,tuffa_ADJ,stunder_NOUN,,_PUNCT,men_CCONJ,jag_PRON,skulle_AUX,inte_PART,vilja_AUX,vara_VERB,utan_CCONJ,den_DET,upplevelsen_NOUN,._PUNCT,En_DET,del_NOUN,av_ADP,att_PART,växa_VERB,upp_ADV,,_PUNCT,typ_NOUN,!_PUNCT,😊_NOUN"
"Jag_PRON,gjorde_VERB,inte_PART,lumpen_NOUN,,_PUNCT,och_CCONJ,jag_PRON,ångrar_VERB,det_PRON,inte_PART,._PUNCT,Inledningsvis_ADV,blev_VERB,jag_PRON,placerad_ADJ,som_SCONJ,civilpliktig_ADJ,i_ADP,Porjus_PROPN,vattenkraftverk_NOUN,,_PUNCT,och_CCONJ,det_PRON,hade_AUX,säkert_ADV,varit_AUX,intressant_ADJ,med_ADP,tanke_NOUN,på_ADP,min_PRON,senare_ADJ,utbildning_NOUN,och_CCONJ,mitt_PRON,nuvarande_ADJ,jobb_NOUN,,_PUNCT,men_CCONJ,det_PRON,hade_AUX,varit_AUX,11_NUM,långa_ADJ,månader_NOUN,i_ADP,en_DET,liten_ADJ,by_NOUN,i_ADP,Norrland_PROPN,._PUNCT,Min_PRON,tjänst_NOUN,drogs_VERB,in_ADV,,_PUNCT,och_CCONJ,jag_PRON,valde_VERB,att_PART,plugga_VERB,,_PUNCT,resa_VERB,och_CCONJ,jobba_VERB,det_DET,året_NOUN,istället_ADV,,_PUNCT,och_CCONJ,känner_VERB,att_SCONJ,den_DET,tiden_NOUN,gav_VERB,mer_ADV,._PUNCT,

_SPACE,I_ADP,princip_NOUN,resonerar_VERB,jag_PRON,på_ADP,samma_DET,sätt_NOUN,nu_ADV,som_SCONJ,den_DET,dagen_NOUN,för_ADP,snart_ADV,12_NUM,år_NOUN,sen_ADV,jag_PRON,mönstrade_ADJ,._PUNCT,

_SPACE,Bra_NOUN,med_ADP,lumpen_NOUN,:_PUNCT,

_SPACE,*_PUNCT,självdisciplin_NOUN,
_SPACE,*_PUNCT,utveckla_ADJ,ledaregenskaper_NOUN,
_SPACE,*_PUNCT,möte_NOUN,människor_NOUN,med_ADP,annan_ADJ,bakgrund_NOUN,från_ADP,resten_NOUN,av_ADP,landet_NOUN,

_SPACE,Dåligt_ADJ,:_PUNCT,

_SPACE,*_PUNCT,tar_VERB,död_NOUN,på_ADP,kreativitet_NOUN,
_SPACE,*_PUNCT,ett_DET,år_NOUN,av_ADP,ditt_PRON,liv_NOUN,går_VERB,mer_ADV,eller_CCONJ,mindre_ADV,till_ADP,spillo_NOUN,
_SPACE,*_PUNCT,tiden_NOUN,är_AUX,bättre_ADJ,investerad_ADJ,i_ADP,utbildning_NOUN,eller_CCONJ,jobb_NOUN","Haha_PROPN,,_PUNCT,jag_PRON,gjorde_VERB,lumpen_NOUN,och_CCONJ,det_PRON,var_AUX,verkligen_ADV,en_DET,blandning_NOUN,av_ADP,snobbigt_ADJ,och_CCONJ,riktigt_ADV,kul_NOUN,!_PUNCT,Många_ADJ,galna_ADJ,minnen_NOUN,,_PUNCT,men_CCONJ,jag_PRON,kan_AUX,förstå_VERB,att_SCONJ,man_PRON,kan_AUX,ångra_NOUN,att_SCONJ,man_PRON,inte_PART,testade_ADJ,._PUNCT,Det_PRON,är_AUX,en_DET,helt_ADV,unik_ADJ,upplevelse_NOUN,!_PUNCT,🍻_NOUN"
"forsokte_VERB,snusa_VERB,lite_ADV,Copenhagen_NOUN,och_CCONJ,Camel_PROPN,snus_NOUN,nar_VERB,jag_PRON,bodde_VERB,i_ADP,Seattle_PROPN,,_PUNCT,men_CCONJ,det_DET,ar_NOUN,verkligen_ADV,inte_PART,samma_DET,grej_ADV,som_SCONJ,hemma_ADV,._PUNCT,Pasarna_NOUN,ar_NOUN,alldeles_ADV,for_ADV,stora_ADJ,och_CCONJ,,_PUNCT,som_PRON,robeph_NOUN,skriver_VERB,,_PUNCT,sa_VERB,ar_ADV,materialet_NOUN,lite_ADV,off_ADV,ocksa_NOUN,._PUNCT,Tror_VERB,for_ADP,ovrigt_ADJ,inte_PART,att_SCONJ,konceptet_NOUN,ar_ADV,sa_VERB,slaende_ADJ,nar_VERB,det_PRON,inte_PART,ar_ADV,en_DET,del_NOUN,av_ADP,kulturen_NOUN,som_PRON,den_DET,ar_ADV,i_ADP,Sverige_PROPN,._PUNCT","Det_PRON,blir_VERB,intressant_ADJ,att_PART,se_VERB,!_PUNCT,Amerikanerna_NOUN,är_AUX,ju_ADV,lite_ADV,skeptiska_ADJ,mot_ADP,tobaksprodukter_NOUN,,_PUNCT,men_CCONJ,snus_NOUN,har_VERB,ju_ADV,ändå_ADV,sin_PRON,charm_NOUN,._PUNCT,Kanske_ADV,får_VERB,det_DET,fäste_ADJ,den_DET,här_ADV,gången_NOUN,?_PUNCT,🧐_PUNCT"
"kommenterade_VERB,lite_ADV,med_ADP,en_DET,snubbe_NOUN,om_ADP,just_ADV,camel_NOUN,snus_NOUN,,_PUNCT,han_PRON,var_AUX,inte_PART,så_ADV,förtjust_ADV,,_PUNCT,men_CCONJ,varför_ADV,inte_PART,?_PUNCT,med_ADP,alla_DET,sluta_VERB,röka_VERB,på_ADP,offentliga_ADJ,platser_NOUN,lagar_NOUN,så_ADV,._PUNCT","Hmm_INTJ,,_PUNCT,svårt_ADJ,att_PART,säga_VERB,!_PUNCT,Snus_PROPN,har_VERB,ju_ADV,sin_PRON,charm_NOUN,,_PUNCT,men_CCONJ,amerikanerna_NOUN,kanske_ADV,inte_PART,är_AUX,lika_ADV,snabb_ADJ,på_ADP,att_PART,hoppa_VERB,på_ADP,trenden_NOUN,._PUNCT,Vi_PRON,får_AUX,se_VERB,!_PUNCT,🍂_VERB,😄_NOUN"
"reddit_VERB,e_ADV,fran_NOUN,Amerika_PROPN,(_PUNCT,jag_PRON,bor_VERB,i_ADP,amerika_ADJ,och_CCONJ,orkar_VERB,inte_PART,byta_VERB,till_ADP,svenskt_ADJ,alfabet_NOUN,)_PUNCT,och_CCONJ,tjejer_NOUN,har_AUX,ar_ADV,ingenting_PRON,som_SCONJ,svenska_ADJ,tjejer_NOUN,och_CCONJ,det_PRON,gor_VERB,mig_PRON,ledsen_NOUN,._PUNCT","Jag_PRON,håller_VERB,med_ADP,,_PUNCT,det_PRON,känns_VERB,som_SCONJ,att_SCONJ,många_PRON,av_ADP,de_DET,här_ADV,könsrollerna_NOUN,är_AUX,aningen_NOUN,föråldrade_ADJ,._PUNCT,Här_ADV,i_ADP,Sverige_PROPN,är_AUX,det_PRON,mycket_ADV,mer_ADV,vanligt_ADJ,att_SCONJ,vi_PRON,båda_PRON,tar_VERB,initiativ_NOUN,i_ADP,olika_ADJ,sammanhang_NOUN,,_PUNCT,och_CCONJ,det_PRON,där_ADV,med_ADP,dateringen_NOUN,är_AUX,verkligen_ADV,inte_PART,så_ADV,stel_ADJ,,_PUNCT,åtminstone_ADV,i_ADP,min_PRON,bekantskapskrets_NOUN,._PUNCT,Känns_VERB,som_SCONJ,att_SCONJ,det_PRON,är_VERB,dags_NOUN,att_PART,uppdatera_VERB,vår_PRON,syn_NOUN,på_ADP,relationer_NOUN,!_PUNCT"
"Ehh_PROPN,..._PUNCT,jag_PRON,skoja_VERB,bara_ADV,._PUNCT,Egentligen_ADV,är_AUX,det_PRON,en_DET,jättebra_ADJ,artikel_NOUN,!_PUNCT,;)_PUNCT","Ja_INTJ,,_PUNCT,jag_PRON,känner_VERB,igen_ADV,den_DET,förvirringen_NOUN,!_PUNCT,Här_ADV,i_ADP,Sverige_PROPN,är_AUX,det_PRON,verkligen_ADV,mer_ADV,blandat_ADJ,när_SCONJ,det_PRON,kommer_VERB,till_ADP,roller_NOUN,och_CCONJ,initiativ_NOUN,._PUNCT,Såklart_ADV,finns_VERB,det_PRON,traditionella_ADJ,normer_NOUN,kvar_ADV,,_PUNCT,men_CCONJ,många_PRON,av_ADP,oss_PRON,går_VERB,ju_ADV,utanför_ADP,dem_PRON,och_CCONJ,det_PRON,känns_VERB,mer_ADV,naturligt_ADJ,._PUNCT,Det_PRON,är_AUX,intressant_ADJ,hur_ADV,olika_ADJ,kulturer_NOUN,och_CCONJ,forum_NOUN,kan_AUX,ha_VERB,så_ADV,olika_ADJ,perspektiv_NOUN,!_PUNCT"
"Ah_PRON,!_PUNCT,Du_PRON,bör_AUX,förbättra_VERB,wikipediaartikeln_NOUN,._PUNCT","Jag_PRON,håller_VERB,med_ADP,!_PUNCT,Här_ADV,hemma_ADV,känns_VERB,det_PRON,som_SCONJ,att_SCONJ,vi_PRON,har_AUX,kommit_VERB,långt_ADV,i_ADP,jämställdheten_NOUN,,_PUNCT,och_CCONJ,många_PRON,av_ADP,de_DET,gamla_ADJ,könsrollerna_NOUN,stämmer_VERB,inte_PART,längre_ADV,._PUNCT,Så_ADV,mycket_ADV,beror_VERB,ju_ADV,också_ADV,på_ADP,vilket_DET,sammanhang_NOUN,man_PRON,rör_VERB,sig_PRON,i_ADP,._PUNCT,Känns_VERB,som_SCONJ,att_SCONJ,vi_PRON,är_AUX,ganska_ADV,öppna_ADJ,och_CCONJ,att_SCONJ,det_PRON,är_AUX,mer_ADV,fritt_ADV,fram_ADV,för_ADP,både_CCONJ,tjejer_NOUN,och_CCONJ,killar_NOUN,att_PART,ta_VERB,initiativ_NOUN,nu_ADV,för_ADP,tiden_NOUN,._PUNCT"
