Row,POS_Diff_ADJ,POS_Diff_ADP,POS_Diff_ADV,POS_Diff_AUX,POS_Diff_CCONJ,POS_Diff_DET,POS_Diff_INTJ,POS_Diff_NOUN,POS_Diff_NUM,POS_Diff_PART,POS_Diff_PRON,POS_Diff_PROPN,POS_Diff_PUNCT,POS_Diff_SCONJ,POS_Diff_SPACE,POS_Diff_SYM,POS_Diff_VERB
1,-0.0015,-0.0242,0.0533,0.0212,-0.0008,0.0215,0.0,0.0199,0.0,-0.0116,-0.0147,0.0108,-0.0588,0.0103,0.0,-0.0114,-0.0142
2,-0.0235,0.0084,0.078,0.0697,-0.0585,-0.0025,0.0,-0.0526,0.0241,-0.0426,-0.0075,0.0588,0.0141,-0.0213,0.0,-0.0053,-0.0395
3,-0.0145,-0.0397,0.0654,0.0454,0.0152,0.0452,0.0,-0.0291,-0.005,-0.0198,-0.0695,-0.005,-0.0243,0.0201,0.0,-0.0149,0.0304
4,0.0077,0.0001,0.0089,-0.0519,0.0423,0.0075,0.0,0.0276,-0.005,-0.0186,-0.0109,-0.005,-0.0468,0.0026,0.0,-0.005,0.0462
5,-0.0158,0.0295,0.1106,0.0524,-0.0166,-0.0261,0.0,-0.0719,-0.0179,0.0102,-0.0286,0.0,0.0001,-0.0261,0.0,-0.0045,0.0046
6,-0.0513,-0.0309,0.0495,0.0705,0.0606,0.0198,-0.0204,0.0086,0.0,-0.0309,0.0192,0.0,-0.0823,0.0093,0.0,0.0,-0.0217
7,-0.0714,0.0179,-0.0581,0.0224,-0.0536,-0.0224,-0.0179,0.0268,0.0,-0.0045,0.1474,0.0,-0.0446,0.0581,0.0,0.0,0.0
8,-0.0172,-0.0081,0.0522,0.0299,-0.0086,0.0023,0.0,-0.0469,0.005,0.015,0.0331,-0.0077,-0.0365,0.0091,0.0,-0.0235,0.002
9,-0.0446,0.0175,-0.0549,-0.0117,0.0161,-0.0395,0.0,0.0314,-0.0066,-0.0066,-0.0314,0.057,-0.0351,-0.0329,0.0,0.1761,-0.0351
10,0.0076,0.0556,0.0261,0.0471,0.0345,-0.0202,0.0,-0.0421,0.0,-0.0009,0.0101,-0.0076,-0.1094,-0.0016,0.0,-0.037,0.0379
11,-0.0119,0.045,0.0095,0.0279,-0.0153,0.0042,0.0,0.0013,0.0108,0.0266,0.0421,-0.0103,-0.088,-0.0153,0.0,-0.029,0.0024
12,0.0175,0.021,0.0183,0.0261,-0.0144,0.0163,0.0,-0.0104,0.0093,-0.0083,0.0435,0.0002,-0.1151,0.0134,0.0,-0.0242,0.0066
13,-0.0203,0.0642,-0.0485,0.0227,-0.0299,0.0546,-0.0112,-0.0369,0.0132,-0.0299,0.0568,0.0395,-0.0485,-0.0205,0.0,0.0,-0.0052
14,-0.0773,0.0742,-0.0552,-0.0194,-0.003,0.027,-0.0087,0.0645,0.0,-0.0078,0.0028,0.0,0.0086,-0.0194,0.0,0.0,0.0134
15,-0.0066,0.0161,-0.0268,-0.1042,-0.0429,0.0976,-0.0143,-0.068,-0.0143,0.0303,0.0547,0.0,-0.0066,-0.0185,0.0,0.0244,0.0791
16,-0.0021,0.0482,-0.0663,0.0305,0.0003,0.0324,-0.0072,-0.03,0.0158,0.0022,0.0348,0.0086,-0.0472,-0.0077,0.0,0.0,-0.0123
17,-0.0706,0.0868,-0.0503,-0.0168,-0.0344,0.0009,0.0,0.0583,0.0,0.0068,-0.0385,0.0,0.1003,-0.0588,0.0,0.0,0.0162
18,-0.0476,0.0223,-0.0543,-0.0392,-0.028,-0.0214,0.0,-0.0709,0.0227,0.0339,0.066,0.0633,-0.0316,-0.0214,0.0,-0.0098,0.1163
19,0.0479,-0.0338,0.0569,-0.0216,-0.0155,-0.0183,0.0,-0.1313,0.0272,0.0089,0.0418,0.0,0.0082,0.0057,0.0,-0.0061,0.0296
20,0.0159,0.0318,-0.0591,0.0045,-0.0091,0.025,0.0,0.1227,0.025,0.0,0.0545,-0.1455,-0.0568,0.0273,0.0,-0.0455,0.0091
21,-0.0241,0.0159,0.1563,0.0053,-0.0361,-0.012,0.0,-0.0805,0.0,0.0,0.0453,-0.0376,0.0652,-0.0241,0.0,-0.012,-0.0617
22,-0.019,-0.0286,-0.0089,0.0642,-0.0292,0.0149,0.0,-0.0625,0.0,0.0149,0.0499,0.0126,-0.0194,0.0053,0.0,-0.0325,0.0384
23,0.0209,-0.0104,-0.017,-0.0072,0.014,0.0729,0.0,0.0409,-0.0044,-0.0094,-0.0209,0.0,-0.1339,0.0295,0.0,-0.0222,0.047
24,0.0635,0.043,-0.0456,0.0045,0.0091,0.0795,0.0,-0.0096,0.0,-0.0024,0.034,-0.0023,-0.1641,0.0045,0.0,-0.0159,0.002
25,-0.0225,0.0061,0.0404,0.03,0.0184,0.028,0.0,-0.07,-0.0223,0.0217,0.0483,0.0054,-0.093,-0.0123,0.0,-0.0116,0.0333
26,-0.0099,-0.0186,-0.0045,-0.0153,0.0218,0.0185,-0.0011,0.026,0.0131,0.0174,-0.0394,0.013,-0.0241,-0.0273,0.0,0.0131,0.0173
27,0.0958,0.0065,-0.063,-0.0121,0.0533,0.024,0.0,-0.007,0.0,-0.0214,-0.0083,-0.0081,-0.0753,-0.0121,0.0,-0.0053,0.033
28,0.0553,0.0587,-0.0814,0.0104,-0.0126,0.0195,0.0,0.022,0.0,0.015,0.0083,0.1404,-0.1936,-0.0321,0.0,-0.0046,-0.0055
29,0.0,-0.0055,0.0377,0.0605,0.0179,0.0158,-0.0048,-0.0048,0.0,0.0124,0.0117,-0.0144,-0.0749,-0.0028,0.0,-0.0048,-0.044
30,-0.0084,-0.0586,-0.0929,0.0303,-0.0142,0.0154,0.0149,0.0973,0.0,-0.0147,-0.0931,0.0847,-0.0473,-0.0343,0.0,0.1842,-0.063
31,-0.0389,0.0074,0.0704,0.0137,-0.0414,0.0225,-0.0044,-0.1086,0.0,0.0268,0.1147,-0.0044,-0.1374,0.0025,0.0,-0.0175,0.0947
32,0.0272,-0.0123,0.0419,0.0112,-0.0057,-0.0097,-0.0034,-0.0243,0.0,-0.0191,0.0331,0.0119,-0.0941,0.025,0.0,0.0,0.0181
33,-0.0119,0.0632,-0.0062,-0.0292,-0.0075,0.0157,-0.0058,-0.001,0.0,-0.0189,0.0545,0.0,-0.0439,-0.0073,0.0,-0.0058,0.0039
34,0.0165,0.0311,0.0574,0.0218,0.015,0.009,-0.0079,-0.0383,-0.021,-0.0075,0.0344,-0.0026,-0.0889,-0.003,0.0,-0.0236,0.0078
35,-0.0497,-0.0081,0.0448,-0.0012,-0.0046,0.0175,0.0053,-0.0225,0.0,0.0297,0.0182,0.0384,-0.0899,0.0003,0.0,-0.0034,0.0253
36,-0.0443,0.0498,0.0114,-0.0078,-0.0261,0.0059,-0.0046,-0.0022,0.0,0.0621,-0.0246,0.0196,-0.0356,0.0059,0.0,-0.0046,-0.005
37,-0.0124,0.0113,0.0917,0.0057,0.0003,0.011,0.0,0.0108,-0.0015,-0.0069,0.0446,-0.0246,-0.1277,0.0057,0.0,-0.0188,0.0109
