group,token_length
Formal Human,134
Formal Human,135
Formal Human,200
Formal Human,239
Formal Human,98
Formal Human,122
Formal Human,95
Formal Human,237
Formal Human,153
Formal Human,212
Formal Human,116
Formal Human,124
Formal Human,328
Formal Human,207
Formal Human,101
Formal Human,312
Formal Human,215
Formal Human,227
Formal Human,241
Formal Human,126
Formal Human,144
Formal Human,103
Formal Human,52
Formal Human,199
Formal Human,170
Formal Human,247
Formal Human,257
Formal Human,114
Formal Human,121
Formal Human,249
Formal Human,132
Formal Human,205
Formal Human,75
Formal Human,130
Formal Human,224
Formal Human,198
Formal Human,264
Formal Human,82
Formal Human,239
Formal Human,208
Formal Human,187
Formal Human,83
Formal Human,401
Formal Human,197
Formal Human,418
Formal Human,130
Formal Human,186
Formal Human,145
Formal Human,196
Formal LLM,196
Formal LLM,181
Formal LLM,316
Formal LLM,164
Formal LLM,249
Formal LLM,210
Formal LLM,305
Formal LLM,231
Formal LLM,235
Formal LLM,217
Formal LLM,202
Formal LLM,204
Formal LLM,182
Formal LLM,212
Formal LLM,212
Formal LLM,292
Formal LLM,306
Formal LLM,231
Formal LLM,206
Formal LLM,232
Formal LLM,162
Formal LLM,179
Formal LLM,184
Formal LLM,208
Formal LLM,254
Formal LLM,165
Formal LLM,112
Formal LLM,251
Formal LLM,166
Formal LLM,216
Formal LLM,181
Formal LLM,238
Formal LLM,245
Formal LLM,300
Formal LLM,214
Formal LLM,176
Formal LLM,219
Formal LLM,166
Formal LLM,183
Formal LLM,189
Formal LLM,184
Formal LLM,172
Formal LLM,205
Formal LLM,176
Formal LLM,167
Formal LLM,188
Formal LLM,219
Formal LLM,157
Formal LLM,148
