group,token_length
Informal Human,12
Informal Human,82
Informal Human,17
Informal Human,7
Informal Human,14
Informal Human,5
Informal Human,3
Informal Human,21
Informal Human,24
Informal Human,29
Informal Human,44
Informal Human,56
Informal Human,9
Informal Human,47
Informal Human,4
Informal Human,12
Informal Human,7
Informal Human,12
Informal Human,14
Informal Human,7
Informal Human,13
Informal Human,5
Informal Human,9
Informal Human,14
Informal Human,6
Informal Human,3
Informal Human,8
Informal Human,16
Informal Human,14
Informal Human,31
Informal Human,30
Informal Human,11
Informal Human,14
Informal Human,13
Informal Human,24
Informal Human,12
Informal Human,22
Informal Human,84
Informal Human,8
Informal Human,33
Informal Human,42
Informal Human,15
Informal Human,68
Informal Human,292
Informal Human,15
Informal Human,6
Informal Human,24
Informal Human,72
Informal Human,65
Informal Human,18
Informal Human,36
Informal Human,9
Informal Human,173
Informal Human,9
Informal Human,12
Informal Human,8
Informal Human,20
Informal Human,26
Informal Human,16
Informal Human,17
Informal Human,10
Informal Human,20
Informal Human,5
Informal Human,14
Informal Human,24
Informal Human,40
Informal Human,25
Informal Human,35
Informal Human,24
Informal Human,71
Informal Human,16
Informal Human,52
Informal Human,41
Informal Human,1023
Informal Human,16
Informal Human,138
Informal Human,42
Informal Human,27
Informal Human,10
Informal Human,17
Informal Human,5
Informal Human,101
Informal Human,59
Informal Human,18
Informal Human,47
Informal Human,156
Informal Human,57
Informal Human,105
Informal Human,57
Informal Human,26
Informal Human,9
Informal Human,12
Informal Human,6
Informal Human,6
Informal Human,3
Informal Human,22
Informal Human,101
Informal Human,41
Informal Human,67
Informal Human,33
Informal Human,19
Informal Human,17
Informal Human,69
Informal Human,26
Informal Human,31
Informal Human,17
Informal Human,27
Informal Human,21
Informal Human,20
Informal Human,4
Informal Human,6
Informal Human,6
Informal Human,30
Informal Human,16
Informal Human,11
Informal Human,13
Informal Human,17
Informal Human,3
Informal Human,29
Informal Human,63
Informal Human,49
Informal Human,12
Informal Human,19
Informal Human,35
Informal Human,23
Informal Human,51
Informal Human,18
Informal Human,21
