tag,Formal Human,Formal LLM
OTHER,0.2594283745605726,0.21748916204199711
ROOT,0.05151864627393158,0.0349314079228039
advmod,0.04538463017622447,0.058173543448421725
amod,0.07040949124458955,0.08041054201619624
case,0.12001183036329915,0.09668734387897354
cc,0.04704978974442209,0.07523988320525152
conj,0.04854916538017043,0.09605665196281035
det,0.055423831824960926,0.03836154429653663
mark,0.05368503362709054,0.05462353869596438
nsubj,0.06604886535805593,0.05406601399073781
obj,0.04499758382585322,0.04313621793460476
obl,0.06300527323160798,0.052048054008122346
punct,0.07448748438922152,0.09877609659757967
