tag,Formal Human,Formal LLM,Informal Human,Informal LLM
OTHER,0.2594283745605726,0.21748916204199711,0.2403085400115297,0.23633253350154196
ROOT,0.05151864627393158,0.0349314079228039,0.08553461209304106,0.06528811115446938
advmod,0.04538463017622447,0.058173543448421725,0.10732220690078174,0.09703138316184179
amod,0.07040949124458955,0.08041054201619624,0.036734839817016425,0.04530846990027066
case,0.12001183036329915,0.09668734387897354,0.06411580001235494,0.059769042003672786
cc,0.04704978974442209,0.07523988320525152,0.03333879092018775,0.04523562491589441
conj,0.04854916538017043,0.09605665196281035,0.03633002149819836,0.04632833769648139
det,0.055423831824960926,0.03836154429653663,0.036425651513022586,0.03145909548483057
mark,0.05368503362709054,0.05462353869596438,0.04317232624743899,0.0681374671981088
nsubj,0.06604886535805593,0.05406601399073781,0.09881109747979919,0.09150189015432611
obj,0.04499758382585322,0.04313621793460476,0.051761813178874176,0.05377375330009641
obl,0.06300527323160798,0.052048054008122346,0.04850049446988468,0.044854849401867514
punct,0.07448748438922152,0.09877609659757967,0.11764380585787283,0.11497944212659912
