word,human_count,ai_count,diff
vara,508,243,265
denna,210,214,-4
samt,185,216,-31
resultat,144,0,144
syfte,141,0,141
visa,136,0,136
företag,126,0,126
studi,110,166,-56
använda,105,0,105
metod,91,0,91
se,87,0,87
studie,86,0,86
undersöka,83,0,83
arbete,79,90,-11
undersökning,75,0,75
intervju,70,0,70
påverka,67,210,-143
barn,67,0,67
ta,63,0,63
sätt,60,0,60
uppsats,0,174,-174
utgångspunkt,0,99,-99
stöd,0,86,-86
bidra,0,137,-137
skapa,0,102,-102
både,0,127,-127
behov,0,92,-92
sammanfattningsvis,0,86,-86
relation,0,101,-101
fokus,0,117,-117
exempelvis,0,111,-111
belyse,0,90,-90
central,0,108,-108
analysera,0,90,-90
