Abstract_Sentiment,Generated_Abstract_Sentiment
NEUTRAL (0.90),NEUTRAL (0.93)
NEUTRAL (0.76),NEUTRAL (0.81)
NEUTRAL (0.92),NEUTRAL (0.95)
NEUTRAL (0.95),NEUTRAL (0.95)
NEUTRAL (0.96),NEUTRAL (0.95)
NEUTRAL (0.94),NEUTRAL (0.95)
NEUTRAL (0.95),NEUTRAL (0.95)
NEUTRAL (0.97),NEUTRAL (0.97)
NEUTRAL (0.94),NEUTRAL (0.96)
NEUTRAL (0.80),NEUTRAL (0.87)
NEUTRAL (0.91),NEUTRAL (0.94)
NEUTRAL (0.96),NEUTRAL (0.96)
NEUTRAL (0.95),NEUTRAL (0.93)
NEUTRAL (0.71),NEUTRAL (0.69)
NEUTRAL (0.79),NEUTRAL (0.79)
NEUTRAL (0.94),NEUTRAL (0.95)
NEUTRAL (0.91),NEUTRAL (0.94)
NEUTRAL (0.93),NEUTRAL (0.93)
NEUTRAL (0.88),NEUTRAL (0.83)
NEUTRAL (0.94),NEUTRAL (0.95)
NEUTRAL (0.92),NEUTRAL (0.92)
NEUTRAL (0.94),NEUTRAL (0.92)
NEUTRAL (0.91),NEUTRAL (0.91)
NEUTRAL (0.96),NEUTRAL (0.96)
NEUTRAL (0.89),NEUTRAL (0.90)
NEUTRAL (0.93),NEUTRAL (0.94)
NEUTRAL (0.92),NEUTRAL (0.94)
NEUTRAL (0.91),NEUTRAL (0.87)
NEUTRAL (0.93),NEUTRAL (0.92)
NEUTRAL (0.94),NEUTRAL (0.93)
NEUTRAL (0.92),NEUTRAL (0.90)
NEUTRAL (0.62),NEUTRAL (0.63)
NEUTRAL (0.85),NEUTRAL (0.90)
NEUTRAL (0.87),NEUTRAL (0.86)
NEUTRAL (0.96),NEUTRAL (0.95)
NEUTRAL (0.95),NEUTRAL (0.93)
NEUTRAL (0.91),NEUTRAL (0.92)
NEUTRAL (0.96),NEUTRAL (0.96)
NEUTRAL (0.95),NEUTRAL (0.95)
NEUTRAL (0.94),NEUTRAL (0.96)
NEUTRAL (0.90),NEUTRAL (0.91)
NEUTRAL (0.91),NEUTRAL (0.87)
NEUTRAL (0.81),NEUTRAL (0.90)
NEUTRAL (0.94),NEUTRAL (0.94)
NEUTRAL (0.74),NEUTRAL (0.73)
NEUTRAL (0.92),NEUTRAL (0.90)
NEUTRAL (0.81),NEUTRAL (0.92)
NEUTRAL (0.94),NEUTRAL (0.94)
NEUTRAL (0.97),NEUTRAL (0.96)
