Year,Level,Title,Topic Category,Abstract,Direct Link,Keywords,Permanent Link,Full Text,Generated Abstract
2019,Bachelor's Thesis,Visionen om det narkotikafria samhället: En diskursanalys,Social Sciences,Syftet med denna uppsats är att belysa hur visionen om det narkotikafria samhället uppenbarar sig i diskurser som behandlar narkotikamissbruk som socialt problem. Empiriskt material i form av ett policydokument och en debattföljetong har analyserats utifrån ett socialkonstruktivistiskt och diskursanalytiskt perspektiv. Analysen pekar mot att definitionskampen om narkotikamissbruk som socialt problem finns över många diskurser; samtidigt ses visionen om det narkotikafria samhället ofta vara närvarande. En nationell diskurs som kan ses utgå från vad vi som nation anser och vill ha i vårt land. En moraldiskurs som lägger värde i olika beteenden och åsikter. En juridisk och polisiär diskurs som utifrån narkotikas juridiska status ramar in fenomenet och en barn-och ungdomsdiskurs som formulerar narkotikan som det största hotet. Alla dessa kan enligt studien ses som en del i konstruktionen av narkotikamissbruk som socialt problem.,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1335073,Narkotikamissbruk; nolltolerans; narkotikapolicy; debatt; socialkonstruktivism; diskurs,https://urn.kb.se/resolve?urn=urn:nbn:se:liu:diva-158608,https://liu.diva-portal.org/smash/get/diva2:1335073/FULLTEXT01.pdf,
2014,Bachelor's Thesis,Kraften av beröring: Beröring som komplementär metod för att minska stress på arbetsplatsen,Social Sciences,Arbetsmarknadens förändringar i form av högre arbetstakt; tillfälliga anställningar och krav på flexibla arbetsvillkor; gör att allt fler upplever stress i arbetslivet. Långvarig stress medför stora hälsorisker för individen. Eftersom många av dagens sjukskrivningar beror på stressrelaterade sjukdomar; såsom depression och utmattning är det viktigt att studera metoder för stresshantering på arbetsplatsen. Beröring i form av massage kan minska stress hos individer samt fungerar som ett komplement i behandlingen för stressrelaterade sjukdomar. Ett fältexperiment med 28 tjänstemän utfördes för att undersöka om en kortvarig massage på arbetstid kunde inverka positivt på den arbetsrelaterade stressen jämfört med en avslappningsövning och vanlig rast. Studien visade signifikant minskning av stressnivån efter massageinterventionen. Resultatet ger en antydan om att upplevelsen av stress går att reducera med hjälp av fysisk beröring. Stickprovets storlek samt förväntnings- effektens inverkan på resultatet diskuteras.,https://www.diva-portal.org/smash/record.jsf?pid=diva2:712460,fysisk beröring; massage; avslappning; arbetsrelaterad stress,https://urn.kb.se/resolve?urn=urn:nbn:se:mdh:diva-24860,https://www.diva-portal.org/smash/get/diva2:712460/FULLTEXT01.pdf,
2017,Bachelor's Thesis,Det är så brett så jag vet inte vart jag ska börja,Social Sciences,Syftet med studien är att få en fördjupad förståelse för hur pedagoger tolkar och utvecklar arbetet kring begreppet hållbar utveckling utifrån den kunskap de besitter. Teorier om kunskap och hållbar utveckling samt begreppet handlingskompetens är centrala delar i föreliggande studie. Studien utgår från en kvalitativ metod och är grundad på semistrukturerade intervjuer med sammanlagt sex pedagoger från två förskolor i södra Sverige. Studien utgår från två forskningsfrågor: (1) hur förhåller sig pedagoger till begreppet hållbar utveckling ur ett lärandeperspektiv samt (2) om normer och värderingar synliggörs; hur speglas dessa i pedagogernas arbete med kunskapsbildning för hållbar utveckling. Resultatet av studien visar att pedagogers uppfattningar av begreppet hållbar utveckling riktar sig åt de tre dimensionerna ekologisk; ekonomisk och social. Pedagogernas kunskapsbildning grundar sig i fortbildningen Grön flagg eller pedagogernas eget intresse. Främst sker lärandet för hållbar utveckling utifrån ämnen som kan göras konkreta för barnen; till exempel källsortering och skräpplockning. Pedagogerna beskriver situationer där barnens handlingskompetens speglas. Pedagogerna anser att de verkar som förebilder för barnen. Det är främst den normerande undervisningsformen som synliggörs i pedagogernas beskrivningar av arbetet för lärandet av hållbar utveckling. Den styrs av attityder och värderingar som är grunden för om de agerar för hållbar utveckling.,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1495151,Förskola; Handlingskompetens; Hållbar utveckling; Kunskap; Känslor; Lärande; Miljöundervisning; Normer; Värderingar,https://urn.kb.se/resolve?urn=urn:nbn:se:mau:diva-33262,https://www.diva-portal.org/smash/get/diva2:1495151/FULLTEXT01.pdf,
2010,Bachelor's Thesis,Handledningsprocesser i Medarbetarsamtalet,Social Sciences,I detta arbete har jag tittat på handledning på arbetsplatser. Handledning är idag ett svårdefinierbart begrepp som används allt mer på arbetsplatser. Syftet med detta arbete är att studera handledning och olika handledningsprocesser och se hur man skulle kunna använda sig av dem på arbetsplatser och i medarbetarsamtalet. Jag kommer att avgränsa mig genom att titta på momentet som rör medarbetarens utveckling i medarbetarsamtalet. I min teoretiska utgångspunkt har jag utgått ifrån att det kan förekomma handledning i medarbetarsamtalet; men att man inte kan se hela samtalet som handledning. För att undersöka detta har jag intervjuat 8 personer; fördelat på 2 arbetsplatser; om medarbetarsamtalet. Hälften har varit chefer och hälften medarbetare. I intervjuerna har det framkommit att man definitivt kan se handledande förhållningssätt i medarbetarsamtalet på båda företagen och att man också kan använda sig av de metoder och tankesätt som finns inom handledning för att utveckla medarbetarsamtalet ytterligare. Om man säger att själva medarbetarsamtalet i sig inte är handledning fullt ut; men att man kan se handledning förekomma på arbetsplatser; så skulle man kunna säga att medarbetarsamtalet är själva startskottet för den handledning som sedan sker under det dagliga arbetet. En utgångspunkt för medarbetare och chefer där man på medarbetarsamtalet har stämt av varandras förväntningar och samtyckt om var det behövs utveckling samt hur arbetet fungerar i stort på arbetsplatsen. Utefter detta kan man sedan arbeta med dessa saker i det dagliga arbetet under tiden till nästa medarbetarsamtal.,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1498155,Handledning; Handledningsprocesser; Kompetensutveckling; Medarbetarsamtal,https://urn.kb.se/resolve?urn=urn:nbn:se:mau:diva-36096,,
2014,Bachelor's Thesis,Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan.: En argumentationsanalys av debattartiklar från Kyrkans tidning och Dagens Nyheter.,Humanities and the Arts,I Samkönade äktenskaps vara eller icke vara inom Svenska kyrkan utförs en argumentationsanalys; baserad på hermeneutiks metod och kvalitativ textanalys; av debattartiklar som behandlat frågan som Svenska kyrkan ska behålla vigselrätten efter att svenska staten har gjort äktenskapsbalken könsneutral. Alla undersökta debattartiklar är publicerade mellan 2008-12-11 och 2009-10-31 i Kyrkans tidning och Dagens Nyheter. I resultatanalysen framgår det att både ja- och nej-sidan använder sig av ungefär samma typer av argument men med olika vinklingar och tolkningar. Nej-sidan använder sig dock mer av ett toleransperspektiv än ja-sidan. I ja-sidans argumenterande kan man hitta en underliggande normkritik av heteronormativiteten.,https://www.diva-portal.org/smash/record.jsf?dswid=1517&pid=diva2%3A857551&c=1&searchType=SIMPLE&language=en&query=Samk%C3%B6nade+%C3%A4ktenskaps+vara+eller+icke+vara+inom+Svenska+kyrkan.%3A+En+argumentationsanalys+av+debattartiklar+fr%C3%A5n+Kyrkans+tidning+och+Dagens+Nyheter.&af=%5B%5D&aq=%5B%5B%5D%5D&aq2=%5B%5B%5D%5D&aqe=%5B%5D&noOfRows=50&sortOrder=author_sort_asc&sortOrder2=title_sort_asc&onlyFullText=false&sf=all,Samkönade äktenskap; Svenska kyrkan; argumentationsanalys; Dagens Nyheter; Kyrkans tidning,,,
2014,Bachelor's Thesis,Kön; sexualitet; etnicitet och socioekonomisk bakgrund: Om intersektionalitet i gymnasiets religionsläroböcker,Humanities and the Arts,I uppsatsen kopplas styrdokumentens uppmaning om undervisning kring intersektionalitet med det innehåll som finns i religionskunskapsläroböcker för gymnasiet som publicerats efter gymnasiereformen 2011. Syftet var att studera om läroböckerna tar upp intersektionalitet uttalat eller indirekt och/eller om de olika kategorierna kön; sexualitet; socioekonomisk bakgrund och etnicitet behandlas var för sig samt i vilka sammanhang det i sådana fall sker. Tre frågeställningar formulerades. Den första handlade om hur gymnasiets religionsläroböcker med utgivning från och med 2011 beskriver förhållandet mellan världsreligionerna och kategorierna kön; sexualitet; socioekonomisk bakgrund och etnicitet. Den andra frågan handlade om i vilka andra sammanhang (kapitel) de olika kategorierna beskrivs i läroböckerna. Den tredje frågan gällde vad som tas upp om själva begreppet samt fenomenet intersektionalitet i dessa religionsläroböcker.,,intersektionalitet; kön; sexualitet; etnicitet; socioekonomisk bakgrund; läroboksanalys; identitet; etik och moral; religion,,,
2015,Bachelor's Thesis,Paulus lagsyn i Rom 3:21-31,Humanities and the Arts,Denna uppsats behandlar Paulus syn på lagen vilket är ett mycket omdebatterat område inom paulusforskningen. Frågan om Paulus lagsyn är så central för den övergripande paulustolkingen att alla som vill förstå Paulus och hans texter måste bilda sig en uppfattning om detta. Det har skrivits många hyllmeter och diskussionen verkar långt ifrån avslutad. Frågan kräver dock tydliga avgränsningar för att kunna behandlas i denna relativt korta uppsats. Därför kommer jag fokusera på en perikop i ett av Paulus brev som behandlar denna fråga. Min frågeställning blir då: Vad menar Paulus med ”lagen” i Rom 3:21-31? ,,Paulus; paulusforskning; lag; lagen; Romarbrevet; Sander; Dunn; Wright; Fitzmyer; Moo; Ware; Jewett,,,
2015,Bachelor's Thesis,Mesopotamiens gudomligförklarade kungar: En undersökning av teologiska perspektiv på två gudomligförklarade kungar i det forntida Mesopotamien,Humanities and the Arts,Ämnet för denna undersökning är de teologiska perspektiven runt två gudomligförklarade kungar i det forntida Mesopotamien; nämligen den gammalakkadiske kungen Naram-Sin (ca. 2254-2218 f.kr.) och den nysumeriske kungen Shulgi (ca. 2094-2047 f.kr.). De teologiska perspektiven behandlas här med hjälp av en induktionsbaserad historisk undersökning som utgår från vad olika forskare har skrivit i ämnet. Eftersom detta är en c-uppsats och det inte har varit möjligt att använda sig av primärkällor såsom arkeologiskt material och historiska källor på originalspråk så utgår denna undersökning uteslutande från forskningslitteratur. Undersökningen består av tre delar; i de två första delarna behandlas de teologiska perspektiven på kungarna var för sig och i det tredje görs en jämförelse mellan perspektiven. Undersökningens upplägg ser ut på så sätt att först har det gjorts observationer av vad som står om de teologiska perspektiven på monarkerna i de olika forskarnas verk. Sedan har perspektiven brutits ner i olika delämnen och därefter har informationen om dem sorterats in i de olika delämnena. Utifrån detta försöker sedan undersökningen att skissa fram en bild av de teologiska perspektivens karaktär. Uppsatsens tyngdpunkt ligger framförallt på att peka på olika tendenser i de religiösa föreställningarna runt dem med avseende på vilka teman de kretsar kring. I undersökningen framkommer det att perspektiven är ganska spretiga och går i många olika riktningar och även att det finns skillnader och likheter i perspektiven mellan kungarna. Två teman som dock ofta återkommer är fruktbarhet och himlen.,,gudomligförklaring; kungamakt,,,
2016,Bachelor's Thesis,Kyrkan som plats vid skolavslutningar?: En studie av lärare och lärarstudenters attityder gentemot kyrkovistelse och konfessionella inslag,Humanities and the Arts,Denna studie syftar till att undersöka vad blivande lärare och aktiva lärare har för attityder tillskolavslutning och högtidsfirande i kyrkan samt skolavslutning och högtidsfirande i kyrkan medkonfessionella inslag. Studien baseras på en internetenkät som blivande lärare och aktiva läraresvarat på. Resultatet visar att den största andelen av de aktiva lärarna och blivande lärarna varpositiva till vistelsen i kyrkolokalerna i samband med skolavslutningar och högtidsfirande. Denstörsta andelen var däremot negativa till företeelsen med konfessionella inslag vid dessahögtidsfiranden. Äldre aktiva lärare och blivande lärare var i högre grad positiva till bådevistelsen i kyrkan och de konfessionella inslagen än de yngre. Slutsatserna är att sekulariseringeni Sverige ser ut att fortsätta i linje med de reviderade sekulariseringsteorierna; då konfessionalitetinte länge ses som något önskvärt bland den största andelen av aktiva lärare och blivande lärare.Dock finns det också nämnvärda avvikelser från detta mönster. Kyrkan fortsätter samtidigt ha ensekulär; traditionsbunden roll i skolan och är därför fortfarande relevant.,,Skola; kyrka; skolavslutningar och högtidsfirande; Konfessionella inslag; sekularisering,,,
2015,Bachelor's Thesis,Effektivisering av bygglovsprocessen gällande ändring av kulturhistoriskt värdefull bebyggelse: En fallstudie av ett miljonprogramsområde-Nya Nordostprojektet i Gävle,Engineering and Technology,En stor del av Sveriges bebyggelse har byggts mellan 1965 och 1974 eftersom det rådde stor bostadsbrist i Sverige. Regeringen beslutade att en miljon bostäder skulle uppföras under denna tid; det s.k. miljonprogrammet. Det byggdes bostäder i varierande former och storlekar för att bygga bort bostadsbristen. Storskaligheten och en stor grad av upprepning av identiska hus är kännetecken för miljonprogrammets bebyggelser. Nu är det dags att renovera dessa byggnader. I och med att dessa byggnader är av allmänt intresse då de speglar en del av Sveriges arkitekturhistoria ställer kommunerna vissa krav vid renovering av dem. Det kommunala företaget Gavlegårdarna i Gävle tar initiativ till att utveckla bygglovsprocessen för sådana bebyggelser. Detta görs för att reducera tiden för framställande av ett godkänt bygglov samt effektivisera och underlätta kommunikationen med kommunen under hela projektet. För att kunna bevara dessa byggnader i högsta möjliga mån har Gavlegårdarna utarbetat en effektiviseringsprocess genom att hyra in en extern bevarandeexpert för att fungera som en bro mellan företaget och kommunen samt för att kunna dela med sig av sina erfarenheter gällande bevarandet av det eventuella området. Dessutom har Gavlegårdarna låtit kommunen vara med från ett tidigt skede; d.v.s. redan från den första presentationen av förslaget. Därmed har kommunen fått vara med och medverka i förslaget; redan innan bygglovsansökan.,,Miljonprogrammet; bygglovsprocessen; Gavlegårdarna,,FULLTEXT01.pdf,
